x_Al_target,branch,x_Al,V,Vstd,a,astd,Ef,G,Gstd,Omega_total_eV,n_atoms,n_sites,n,n_total,alpha_mean,alpha_std
0.6,vacancy,0.598131,13.737892546337344,0.02795985057596377,2.8425482131982243,0.0019291752062978761,-0.5902042769289412,-0.635585879354435,0.0030713050848980667,-68.00768909092454,107,128,3,3,,
0.61,antisite,0.609375,12.887945093828167,0.0534761601926574,2.9539558794751515,0.004082936583390466,-0.5142260896890871,-0.5454628040695736,0.002829768614276155,-69.81923892090542,128,128,3,3,-0.10685107607552073,0.10092949398101987
0.62,vacancy,0.621359,14.128406323880315,0.006175964613771472,2.833023233989452,0.00041283313176306496,-0.5575226201866207,-0.607473757525598,0.0008463108495064613,-62.56979702513659,103,128,3,3,,
0.63,antisite,0.632812,13.296644543924847,0.14643935232659608,2.984833469979557,0.01097499615273818,-0.4856717727304451,-0.5202416688465389,0.005846900026705048,-66.59093361235698,128,128,3,3,-0.14225514403292178,0.05420461908896417
0.64,vacancy,0.64,14.467898129703686,0.02041433349066077,2.8275378378861924,0.0013301286793687135,-0.5322566710096349,-0.5850085866808018,0.0052217729427590015,-58.500858668080184,100,128,3,3,,
0.65,antisite,0.648438,13.525897187207418,0.16161593894412093,3.001885240253472,0.011978288443873992,-0.4654671382307427,-0.5018656459152454,0.002678214754415996,-64.23880267715141,128,128,3,3,-0.09950382950382952,0.1362284152184351
0.66,vacancy,0.659794,14.809342517636503,0.019280318503858987,2.820822710671471,0.0012240883156643433,-0.5059931021199675,-0.5609820670006238,0.003525162293796475,-54.41526049906051,97,128,3,3,,
0.67,antisite,0.671875,14.117206395153296,0.08405152660650984,3.0450334283206306,0.006043241255978403,-0.43974933623744494,-0.47835009245484583,0.0036439181178689185,-61.22881183422027,128,128,2,2,0.02294293908037335,0.03010929055962601
0.68,vacancy,0.679348,15.129224205913053,0.0053172611489359185,2.8134647916934052,0.0003296048132822432,-0.47236754253418106,-0.5301821571767854,0.00021723018084759014,-97.55351692052851,184,250,6,10,-0.023081232296058428,0.01781495396522452
0.69,antisite,0.6875,14.380076859362143,0.029094317122490145,3.0638222778750417,0.002066239346327737,-0.4279915599873713,-0.46772052893531124,0.0019266577488758127,-59.86822770371984,128,128,6,8,0.047219165637212526,0.04639258365099365
0.7,antisite,0.703125,14.394542322809933,0.07471587982238692,3.0648458460383408,0.005302786819749002,-0.4067135903164858,-0.44731073233058705,3.616375493412484e-05,-57.25577373831514,128,128,2,2,,
0.7,vacancy,0.6983239999999998,15.425382238060047,0.03903131580710368,2.8058173295989186,0.002367394852190052,-0.4418306896345649,-0.5005824808425364,0.0006161062786861849,-89.60426407081401,179,250,6,10,-0.020205812283554742,0.025138448397336005
0.71,antisite,0.7109379999999998,14.557895737099974,0.027909116883378986,3.076399375967933,0.001967253533459086,-0.39754481231760147,-0.4384808556762394,0.001330187041036008,-56.12554952655864,128,128,7,11,0.013924237761882714,0.06402215570277692
0.72,vacancy,0.7183910000000001,15.49971771151633,0.02055624602687286,2.783904100166771,0.0012301434542911836,-0.40891901631263666,-0.4680714747024535,0.0005415035946664926,-81.4444365982269,174,250,6,10,-0.01101487044295795,0.018354484873577954
0.73,antisite,0.726562,14.778876018457156,0.07064698234132895,3.091881455224331,0.004930430810351265,-0.38089938028727344,-0.4223262356303068,0.00529400654157871,-54.05775816067927,128,128,8,12,0.026369175317070125,0.060009321786446065
