x_Al_target,branch,x_Al,Ef,Efstd,a,V,n,n_atoms,G_1273K,Gstd_1273K,minus_T_S_1273K,G_1473K,Gstd_1473K,minus_T_S_1473K,delta_Ef_0K_all_eV,delta_G_1273K_0K_all_eV,delta_G_1473K_0K_all_eV,delta_Ef_1273K_eV,delta_G_1273K_1273K_eV,delta_G_1473K_1273K_eV,delta_Ef_1473K_eV,delta_G_1273K_1473K_eV,delta_G_1473K_1473K_eV
0.47,vacancy,0.47107399999999994,-0.6253533789281785,0.0016853613460047464,2.8569197921981018,12.333575194166748,6,121,-0.6437094898958468,0.0016853613460047464,-0.018356110967668093,-0.6465934036378213,0.0016853613460047464,-0.021240024709642702,0.04643856229178511,0.028082451324116908,0.02519853758214241,0.04171240176654001,0.023356290798871804,0.020472377056897306,0.04171240176654001,0.023356290798871804,0.020472377056897306
0.48,vacancy,0.479675,-0.6472267191800262,0.0017993097300413041,2.8653303747997825,12.240495526670985,3,123,-0.6613599001402527,0.0017993097300413041,-0.014133180960226532,-0.6635803527655827,0.0017993097300413041,-0.016353633585556637,0.030579030119741724,0.01644584915951519,0.014225396534185197,0.027258169555695377,0.013124988595468845,0.010904535970138851,0.027258169555695377,0.013124988595468845,0.010904535970138851
0.49,vacancy,0.488,-0.667340156036214,0.0009454957452278515,2.8729711824427824,12.141260534139812,6,125,-0.6766754172147188,0.0009454957452278515,-0.009335261178504806,-0.6781420725451989,0.0009454957452278515,-0.010801916508984766,0.016286422500197295,0.0069511613216924895,0.005484505991212418,0.01432576681662745,0.004990505638122644,0.003523850307642573,0.01432576681662745,0.004990505638122644,0.003523850307642573
0.51,vacancy,0.512,-0.6830752335155793,6.168953284024375e-05,2.8780927955445867,12.206308422789965,3,125,-0.6924104946940842,6.168953284024375e-05,-0.009335261178504806,-0.6938771500245641,6.168953284024375e-05,-0.010801916508984766,0.0017945792312598075,-0.007540681947245109,-0.009007337277724958,0.0013393804623698102,-0.007995880716135106,-0.009462536046614956,-0.007666677606436134,-0.01700193878494105,-0.0184685941154209
0.52,vacancy,0.520325,-0.675564608512946,0.0012682079209013545,2.8738718820498135,12.350287687905706,3,123,-0.6896977894731725,0.0012682079209013545,-0.014133180960226532,-0.6919182420985027,0.0012682079209013545,-0.016353633585556637,0.004346868730734088,-0.009786312229492444,-0.01200676485482266,0.0035758758159265547,-0.010557305144299978,-0.012777757769630194,-0.011678135038113546,-0.02581131599834008,-0.028031768623670295
0.53,vacancy,0.528926,-0.6690163110725607,0.0012993548835014447,2.8701264357811183,12.505403060512407,3,121,-0.6873724220402287,0.0012993548835014447,-0.018356110967668093,-0.6902563357822035,0.0012993548835014447,-0.021240024709642702,0.005772446211639415,-0.012583664756028679,-0.015467578498003398,0.004675189579229966,-0.013680921388438128,-0.016564835130412847,-0.017033913395626876,-0.03539002436329497,-0.03827393810526969
0.54,vacancy,0.537815,-0.656473828429661,0.002590832990315319,2.865978923585827,12.660533368770006,3,119,-0.6786338103518298,0.002590832990315319,-0.022159981922168837,-0.6821153471817071,0.002590832990315319,-0.025641518752046122,0.013020677288463234,-0.009139304633705603,-0.012620841463582888,0.011586232167998478,-0.010573749754170358,-0.014055286584047644,-0.01679410832132633,-0.038954090243495165,-0.04243562707337245
0.56,vacancy,0.561404,-0.6384614594475377,0.002224693648481947,2.8567971524982845,13.08921001438155,3,114,-0.6687721703014698,0.002224693648481947,-0.03031071085393211,-0.6735342615589612,0.002224693648481947,-0.035072802111423496,0.016983535617851375,-0.013327175236080735,-0.01808926649357212,0.014654283517441136,-0.015656427336490975,-0.02041851859398236,-0.03142971562063912,-0.06174042647457123,-0.06650251773206262
0.58,vacancy,0.581818,-0.6128371819416718,0.0035779907375475557,2.8486398147068557,13.449308722977833,3,110,-0.6485592309612054,0.0035779907375475557,-0.035722049019533464,-0.6541714931795138,0.0035779907375475557,-0.041334311237841925,0.02906995324510042,-0.006652095774433153,-0.012264357992741615,0.027345698241775684,-0.00837635077775789,-0.013988612996066352,-0.03405910668102152,-0.0697811557005551,-0.07539341791886356
0.6,vacancy,0.598131,-0.5902042769289412,0.0030713050848980667,2.8425482131982243,13.737892546337344,3,107,-0.6294240867644154,0.0030713050848980667,-0.03921980983547413,-0.635585879354435,0.0030713050848980667,-0.04538160242549372,0.03982108627930081,0.0006012764438265705,-0.0055605161461930175,0.03964384325866421,0.0004240334231899734,-0.005737759166829615,-0.0340039471038357,-0.07322375693930994,-0.07938554952932952
