x_Al_target,branch,x_Al,Ef,Efstd,a,V,Ef_hull,delta_above_hull
0.6,vacancy,0.598131,-0.5902042769289412,0.003071305084898058,2.8425482131982243,13.737892546337344,-0.630025363208242,0.03982108627930081
0.61,antisite,0.609375,-0.5142260896890871,0.002829768614276155,2.9539558794751515,12.887945093828167,-0.6175711125025363,0.10334502281344915
0.62,vacancy,0.621359,-0.5575226201866207,0.0008463108495064613,2.833023233989452,14.128406323880315,-0.6033910789250447,0.045868458738424045
0.63,antisite,0.632812,-0.4856717727304451,0.005846900026705048,2.984833469979557,13.296644543924847,-0.5898393495723235,0.10416757684187844
0.64,vacancy,0.64,-0.5322566710096349,0.0052217729427590075,2.8275378378861924,14.46789812970369,-0.5813341692189349,0.04907749820929996
0.65,antisite,0.648438,-0.4654671382307427,0.0026782147544160244,3.001885240253472,13.525897187207418,-0.5713499299560116,0.10588279172526893
0.66,vacancy,0.659794,-0.5059931021199676,0.0035251622937962036,2.820822710671471,14.809342517636503,-0.5579129755746702,0.051919873454702614
0.67,antisite,0.671875,-0.43974933623744494,0.0036439181178689185,3.0450334283206306,14.117206395153296,-0.5436181670257988,0.10386883078835385
0.69,antisite,0.6875,-0.4303918938725621,0.0011777494554177901,3.06410061217105,14.384006386104124,-0.5251299306566144,0.09473803678405229
0.7,antisite,0.703125,-0.4067135903164858,3.616375493412484e-05,3.0648458460383408,14.394542322809933,-0.5066416942874301,0.09992810397094432
0.71,antisite,0.710938,-0.39695818183301634,0.0006323900682901098,3.075743192663584,14.548588945783363,-0.4973969844792741,0.10043880264625776
0.73,antisite,0.726562,-0.3739068511415957,0.004325626128935213,3.0804051602763525,14.614835307536499,-0.47890993135721727,0.10500308021562155
0.75,antisite,0.75,-0.3490970251624175,0.0036312758763032377,3.113386302344099,15.08929847340184,-0.451176985179877,0.1020799600174595
0.77,antisite,0.773438,-0.3258655880270384,,3.1247340596170803,15.254893782932768,-0.4088782571588114,0.08301266913177296
0.79,antisite,0.789062,-0.29765517326768576,0.0014727936233847603,3.1359949596401187,15.420438169902503,-0.3806815114210721,0.08302633815338634
0.8,antisite,0.796875,-0.2856099476117411,0.00113802364649147,3.135090289599029,15.407097126562174,-0.3665813338449741,0.08097138623323302
0.5,perfect,0.5,-0.6920193068237968,0.0,2.882456714930723,11.974527545032217,-0.692016963021663,-2.34380213370855e-06
