path,n_Ni_sublattice,n_defect_sublattice,c_defect,n_1nn_pairs,n_defect_defect_pairs,alpha_1nn_WC,a_eff_A,structure_id,branch,x_Al_target,seed
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s0.extxyz,13,51,0.796875,144,94,-0.027980691187150297,3.4942597667726663,b2_x0.700_vacNi_alrich_sqs_5x5x5_s0.extxyz,vacancy,0.7,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s1.extxyz,13,51,0.796875,144,96,-0.0498526207868768,3.5104055111166494,b2_x0.700_vacNi_alrich_sqs_5x5x5_s1.extxyz,vacancy,0.7,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s2.extxyz,12,52,0.8125,144,98,-0.030900723208415526,3.5102960123507105,b2_x0.700_vacNi_alrich_sqs_5x5x5_s2.extxyz,vacancy,0.7,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s3.extxyz,39,86,0.688,375,180,-0.014061654948620994,2.8084730543936276,b2_x0.700_vacNi_alrich_sqs_5x5x5_s3.extxyz,vacancy,0.7,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s4.extxyz,36,89,0.712,375,188,0.01106762614148038,2.807762282763075,b2_x0.700_vacNi_alrich_sqs_5x5x5_s4.extxyz,vacancy,0.7,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s5.extxyz,45,80,0.64,375,155,-0.00911458333333326,2.806797896731615,b2_x0.700_vacNi_alrich_sqs_5x5x5_s5.extxyz,vacancy,0.7,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s6.extxyz,39,86,0.688,375,173,0.02537407607715869,2.8063294186586374,b2_x0.700_vacNi_alrich_sqs_5x5x5_s6.extxyz,vacancy,0.7,6
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s7.extxyz,36,89,0.712,375,201,-0.05731599545511945,2.803067759164388,b2_x0.700_vacNi_alrich_sqs_5x5x5_s7.extxyz,vacancy,0.7,7
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s8.extxyz,39,86,0.688,375,182,-0.02532900667027227,2.7997460078498166,b2_x0.700_vacNi_alrich_sqs_5x5x5_s8.extxyz,vacancy,0.7,8
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.700_vacNi_alrich_sqs_5x5x5_s9.extxyz,33,92,0.736,375,208,-0.023944549464398168,2.8027348823121496,b2_x0.700_vacNi_alrich_sqs_5x5x5_s9.extxyz,vacancy,0.7,9
