x_Al_target,x_Al,branch,seed,defect_kind,n_defect,E_perfect_eV,E_defect_eV,deltaE_per_defect_eV,dE_total_eV,dNi,dAl,n_atoms,n_sites
0.44,0.4375,antisite,1,Ni_antisite_on_Al,8,-694.0398846214761,-704.2755109700058,0.7240047855633067,-10.235626348529763,8,-8,128,128
0.44,0.438596,vacancy,1,Al_vacancy,14,-694.0398846214761,-615.6884582176052,1.8680932602521823,78.35142640387085,0,-14,114,128
0.44,0.4375,antisite,2,Ni_antisite_on_Al,8,-694.0398846214761,-703.7738523172202,0.7867121171615112,-9.733967695744127,8,-8,128,128
0.44,0.438596,vacancy,2,Al_vacancy,14,-694.0398846214761,-614.845820001246,1.9282817042778397,79.19406462023005,0,-14,114,128
0.46,0.460938,antisite,0,Ni_antisite_on_Al,5,-694.0398846214761,-700.6347240886788,0.6844901856889777,-6.594839467202746,5,-5,128,128
0.46,0.462185,vacancy,0,Al_vacancy,9,-694.0398846214761,-643.9698605205133,1.834898814050921,50.07002410096277,0,-9,119,128
0.46,0.460938,antisite,1,Ni_antisite_on_Al,5,-694.0398846214761,-700.5115647800139,0.7091220474219512,-6.471680158537879,5,-5,128,128
0.46,0.462185,vacancy,1,Al_vacancy,9,-694.0398846214761,-643.9422426984468,1.8379674609472023,50.0976419230293,0,-9,119,128
0.46,0.460938,antisite,2,Ni_antisite_on_Al,5,-694.0398846214761,-700.7835010509915,0.6547347932264387,-6.743616429515441,5,-5,128,128
0.46,0.462185,vacancy,2,Al_vacancy,9,-694.0398846214761,-643.2697014181881,1.9126942698648308,50.77018320328796,0,-9,119,128
0.48,0.476562,antisite,0,Ni_antisite_on_Al,3,-694.0398846214761,-698.292977863793,0.5857603316905488,-4.253093242316936,3,-3,128,128
0.48,0.479675,vacancy,0,Al_vacancy,5,-694.0398846214761,-666.2996272113728,1.8196142848534869,27.740257410103254,0,-5,123,128
0.48,0.476562,antisite,1,Ni_antisite_on_Al,3,-694.0398846214761,-698.1926197537201,0.6192130350481738,-4.152735132244061,3,-3,128,128
