name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
TiFe,2015642,Pm-3m,CsCl,2,0.0,-0.45054737189313165,,0.0
PuBi,2016180,Pm-3m,CsCl,2,0.0,-0.32138080250000023,,0.08276408000000046
MnSn,2016196,Pm-3m,CsCl,2,0.0,0.26269206967784875,,0.3290443533333332
MnSb,2016200,Pm-3m,CsCl,2,0.0,0.290684810603449,,0.32799807750000015
VRu,2018051,Pm-3m,CsCl,2,0.0,-0.2249774999999996,,0.04925713300000001
NdN,2019709,Pm-3m,CsCl,2,0.0,-0.6811083151717527,,0.7828973949999973
CrN,2019865,Pm-3m,CsCl,2,0.0,0.052572112328247655,,0.6708373300000012
MnN,2019867,Pm-3m,CsCl,2,0.0,0.31666148043169606,,0.703167070000001
FeN,2019869,Pm-3m,CsCl,2,0.0,0.6221371723282454,,0.8510887550000004
CoN,2019871,Pm-3m,CsCl,2,0.0,0.8670245973282471,,0.8766571249141242
NiN,2019873,Pm-3m,CsCl,2,0.0,1.0045573423282468,,1.0183431791210937
CuN,2019875,Pm-3m,CsCl,2,0.0,1.3009338723282475,,1.3009338723282475
ZnN,2019877,Pm-3m,CsCl,2,0.0,1.0701487123282472,,1.0701487123282472
DySb,2019925,Pm-3m,CsCl,2,0.0,-0.7974755008333352,,0.33766886499999926
HoSb,2019926,Pm-3m,CsCl,2,0.0,-0.777413289166665,,0.3392793049999998
ErSb,2019927,Pm-3m,CsCl,2,0.0,-0.7561108074999998,,0.34029533999999995
TmSb,2019928,Pm-3m,CsCl,2,0.0,-0.7291155475000002,,0.33942995499999995
MgO,2020985,Pm-3m,CsCl,2,2.7060000000000004,-2.186054592522712,,0.7602776850000001
ThC,2023377,Pm-3m,CsCl,2,0.0,0.3650063412499991,,0.6503280746874996
BiS,2023869,Pm-3m,CsCl,2,0.0,-0.11761864450667847,,0.31938299700199324
InAg,2025608,Pm-3m,CsCl,2,0.0,0.03329612124999981,,0.08032434950000011
WN,2029479,Pm-3m,CsCl,2,0.0,0.5902784373282461,,1.0834091366666663
CaO,2029493,Pm-3m,CsCl,2,2.931,-2.7048966779393773,,0.491055115
CsXe,2029525,Pm-3m,CsCl,2,0.0,0.13707989500000006,,0.13707989500000006
ArMg,2029544,Pm-3m,CsCl,2,0.0,0.738092670416665,,0.738092670416665
MgXe,2029546,Pm-3m,CsCl,2,1.5330000000000001,0.698515995416665,,0.698515995416665
