name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
YbPt3,18034,Pm-3m,AuCu3,2,0.0,-0.790495415000001,,0.07539047499999807
ZnPt3,18037,Pm-3m,AuCu3,2,0.0,-0.325846145000001,,0.0007710562499994023
ZrPt3,18039,Pm-3m,AuCu3,2,0.0,-1.017251925,,0.011098583749999946
PuRh3,18042,Pm-3m,AuCu3,2,0.0,-0.40754205,,0.0
PuSn3,18046,Pm-3m,AuCu3,2,0.0,-0.435220762638402,,0.0001831625000003334
ScRh3,18055,Pm-3m,AuCu3,2,0.0,-0.615306173750001,,0.0011009949999993829
TaRh3,18066,Pm-3m,AuCu3,2,0.0,-0.6129252475,,0.0008480499999998781
ThRh3,18071,Pm-3m,AuCu3,2,0.0,-0.726907635,,0.0
TiRh3,18074,Pm-3m,AuCu3,2,0.0,-0.637218398446567,,0.0011723049999989854
URh3,18078,Pm-3m,AuCu3,2,0.0,-0.672581106250002,,0.0014078799999980296
VRh3,18081,Pm-3m,AuCu3,2,0.0,-0.373145982500001,,0.014075297499999306
ZrRh3,18089,Pm-3m,AuCu3,2,0.0,-0.682506185000001,,0.001363719999998958
URu3,18098,Pm-3m,AuCu3,2,0.0,-0.323850643749999,,0.0
USi3,18109,Pm-3m,AuCu3,2,0.0,-0.374706395,,0.0
SmTl3,18112,Pm-3m,AuCu3,2,0.0,-0.277479648125,,0.00270406750000024
TbSn3,18123,Pm-3m,AuCu3,2,0.0,-0.33898677880507,,0.014555896018598524
ThSn3,18125,Pm-3m,AuCu3,2,0.0,-0.510827515138402,,0.00013970250000006068
Ti3Sn,18128,Pm-3m,AuCu3,2,0.0,-0.333598379552499,,0.03704907875000002
USn3,18132,Pm-3m,AuCu3,2,0.0,-0.197936296388401,,0.00044904750000035465
YSn3,18135,Pm-3m,AuCu3,2,0.0,-0.494753831388402,,0.023511687268598425
YbSn3,18138,Pm-3m,AuCu3,2,0.0,-0.514966627638402,,0.00011728750000006283
TbTl3,18149,Pm-3m,AuCu3,2,0.0,-0.0672390749166678,,0.005174874999999801
ThTl3,18162,Pm-3m,AuCu3,2,0.0,-0.16096145125,,0.0012070574999999972
TiZn3,18167,Pm-3m,AuCu3,2,0.0,-0.209320203446566,,0.0
