material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-2443,DyHg,B2,Dy,Hg,1.0,1.0,3.69320548,-41.2528405,0.0
mp-1185438,Lu3Hg,L1$_2$,Lu,Hg,3.0,1.0,4.714644,-41.089523631666665,0.08639078000000201
mp-1183062,AcDy3,L1$_2$,Ac,Dy,1.0,3.0,5.1806112,-41.069441195,0.07628107687499801
mp-188,AlPt3,L1$_2$,Al,Pt,1.0,3.0,3.889931739999999,-41.0380479975,0.013889883124996002
mp-1184453,Gd3Er,L1$_2$,Gd,Er,3.0,1.0,5.14561346,-40.956194565,0.07291820166667401
mp-2054,TbHg,B2,Tb,Hg,1.0,1.0,3.71130884,-40.878399395,0.0
mp-976784,NiAu3,L1$_2$,Ni,Au,1.0,3.0,4.028168,-40.8452285325,0.088920869999995
mp-702,CeHg,B2,Ce,Hg,1.0,1.0,3.84151864,-40.572162385,0.0
mp-973191,LiTl3,L1$_2$,Li,Tl,1.0,3.0,4.69762631,-40.5679174775,0.041037442499998
mp-1184431,Gd3Dy,L1$_2$,Gd,Dy,3.0,1.0,5.16460216,-40.46935427,0.07980226749999901
mp-1184558,Hf3Sn,L1$_2$,Hf,Sn,3.0,1.0,4.41221291,-40.3136231425,0.021194234166664
mp-1185539,CeGd3,L1$_2$,Ce,Gd,1.0,3.0,5.029572,-40.17925961625001,0.078651548750002
mp-734,LaHg,B2,La,Hg,1.0,1.0,3.89793592,-40.13555846,0.0
mp-11467,NdHg,B2,Nd,Hg,1.0,1.0,3.816707779999999,-39.95080334,0.0
mp-11469,PrHg,B2,Pr,Hg,1.0,1.0,3.84568674,-39.933970425,0.0
mp-1186601,PmGd3,L1$_2$,Pm,Gd,1.0,3.0,5.19581107,-39.843104,0.089803090625011
mp-1186348,NdGd3,L1$_2$,Nd,Gd,1.0,3.0,5.2035737300000005,-39.8089589325,0.09329728812500801
mp-861931,LiPt3,L1$_2$,Li,Pt,1.0,3.0,3.85327292,-39.69389888,0.0
mp-881,NpSn3,L1$_2$,Np,Sn,1.0,3.0,4.6983479500000005,-39.63593062,0.0
mp-11536,NpRh3,L1$_2$,Np,Rh,1.0,3.0,4.01334177,-39.42137035,0.0
mp-1263,URu3,L1$_2$,U,Ru,1.0,3.0,3.971163879999999,-39.4077992525,0.0
mp-20360,PuIn3,L1$_2$,Pu,In,1.0,3.0,4.6517148,-38.949529615,0.0
mp-11248,LiAu3,L1$_2$,Li,Au,1.0,3.0,4.02832705,-38.9171240675,0.0
mp-1187636,Tm3Hg,L1$_2$,Tm,Hg,3.0,1.0,4.743084,-38.87282983583333,0.092455349166669
mp-1150,URh3,L1$_2$,U,Rh,1.0,3.0,3.99671969,-38.7983576,0.0
mp-1185041,KHg3,L1$_2$,K,Hg,1.0,3.0,4.94070216,-38.74201071,0.040811829166656
mp-2375,NpPd3,L1$_2$,Np,Pd,1.0,3.0,4.14004214,-38.7111744975,0.008822396250003
mp-1184479,Gd3In,L1$_2$,Gd,In,3.0,1.0,4.89018364,-38.573882185,0.0
mp-11541,ZrOs,B2,Zr,Os,1.0,1.0,3.27648544,-38.534614245,0.0
mp-11484,ZrIr,B2,Zr,Ir,1.0,1.0,3.31733,-38.482491705,0.08134236125000101
mp-30825,PaRh3,L1$_2$,Pa,Rh,1.0,3.0,4.03072325,-38.2545690025,0.0
mp-2667,CsAu,B2,Cs,Au,1.0,1.0,4.28285436,-38.20726542,0.0
mp-1186137,NaHg3,L1$_2$,Na,Hg,1.0,3.0,4.6406287299999995,-38.1108605175,0.018782196249999
mp-1184154,Er3Hg,L1$_2$,Er,Hg,3.0,1.0,4.769467,-37.973705433333336,0.094196477499998
mp-11572,TaTc,B2,Ta,Tc,1.0,1.0,3.17495269,-37.845997535,0.0
mp-976599,LiHg3,L1$_2$,Li,Hg,1.0,3.0,4.42729552,-37.79389561,0.029448351250003002
mp-21482,NpIn3,L1$_2$,Np,In,1.0,3.0,4.659453,-37.683866312499994,0.006129355312502
mp-1184469,Gd3Y,L1$_2$,Gd,Y,3.0,1.0,5.17994368,-37.55477101,0.071383205000003
mp-435,ThSn3,L1$_2$,Th,Sn,1.0,3.0,4.7435484,-37.3505039125,0.018821856249999002
mp-12110,TaRu,B2,Ta,Ru,1.0,1.0,3.178842,-37.320900969444445,0.033519810000001
mp-20941,UIn3,L1$_2$,U,In,1.0,3.0,4.64520852,-37.22198858,0.0
mp-11575,YTl,B2,Y,Tl,1.0,1.0,3.77760313,-37.209161535,0.0
mp-2509,ThRh3,L1$_2$,Th,Rh,1.0,3.0,4.10888851,-37.20409551,0.0
mp-975256,Ho3Hg,L1$_2$,Ho,Hg,3.0,1.0,4.786948,-37.19546909750001,0.09404333499999401
mp-867189,Pm3Pb,L1$_2$,Pm,Pb,3.0,1.0,4.94401984001122,-36.6537820725,0.0
mp-1184059,Dy3Hg,L1$_2$,Dy,Hg,3.0,1.0,4.8052209999999995,-36.524974645,0.09234721749999801
mp-861987,PaIn3,L1$_2$,Pa,In,1.0,3.0,4.641244907194472,-36.3995507025,0.0
