material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-1014219,HfZn,Hf,Zn,1.0,1.0,3.27510484,-27.2631909,0.008220216666664,MP,B2,3.3236828748639002
mp-614455,GdCu,Gd,Cu,1.0,1.0,3.4850603700000002,-27.263102815,0.009389447500002,MP,B2,3.4684046548558123
mp-1206794,LiAu,Li,Au,1.0,1.0,3.08394824,-27.048493715,0.0,MP,B2,3.137180716712744
mp-20582,LaIn,La,In,1.0,1.0,3.95407724,-26.8104547,0.0,MP,B2,3.9543679786604473
mp-20298,SmIn,Sm,In,1.0,1.0,3.81904579,-26.78034338,0.0,MP,B2,3.8307315196558784
mp-1206423,NdIn,Nd,In,1.0,1.0,3.86783884,-26.62682906,0.0,MP,B2,3.88244225349075
mp-20023,PrIn,Pr,In,1.0,1.0,3.89873027,-26.60955203,0.0,MP,B2,3.904067599134495
mp-2497,GdZn,Gd,Zn,1.0,1.0,3.58385041,-26.498766095,0.0,MP,B2,3.5545707991351767
mp-2012,LiHg,Li,Hg,1.0,1.0,3.3013319,-26.2532881,0.0,MP,B2,3.2767064471522094
mp-2475,SmAg,Sm,Ag,1.0,1.0,3.68571271,-25.84684232,0.0,MP,B2,3.68102159015582
mp-1948,LaAg,La,Ag,1.0,1.0,3.8079889700000003,-25.82781645,0.0,MP,B2,3.8046580491603885
mp-1236,NdAg,Nd,Ag,1.0,1.0,3.733872159999999,-25.666263935,0.0,MP,B2,3.732732323990691
mp-183,CeCd,Ce,Cd,1.0,1.0,3.850494,-25.639444321250004,0.08205001624999701,MP,B2,3.8219146936484156
mp-1002226,ErAs,Er,As,1.0,1.0,3.547401,-25.607561915,0.490369644999997,MP,B2,3.554114550861228
mp-12753,GdAl,Gd,Al,1.0,1.0,3.62796413,-25.435769435,0.059707795999997,MP,B2,3.571993516229381
mp-11516,NbRu,Nb,Ru,1.0,1.0,3.186487999999999,-25.288474488333332,0.024435130000000003,MP,B2,3.178284679792251
mp-646,PrCd,Pr,Cd,1.0,1.0,3.87492905,-25.11611969,0.0,MP,B2,3.867358062140367
mp-1001917,HoAs,Ho,As,1.0,1.0,3.56089,-25.111231545,0.48182539,MP,B2,3.565890543179295
mp-1625,SnSb,Sn,Sb,1.0,1.0,3.803308,-25.0890788,0.137170954999998,MP,B2,3.7518683886729445
mp-214,ZrRu,Zr,Ru,1.0,1.0,3.26200472,-24.82603288,0.0,MP,B2,3.2471928647320105
mp-1010161,DyAs,Dy,As,1.0,1.0,3.576506,-24.67895332,0.47629319500000006,MP,B2,3.591170080230196
mp-2808,ZrRh,Zr,Rh,1.0,1.0,3.28272273,-24.244361295,0.08393397999999701,MP,B2,3.25369095337599
mp-10148,InSb,In,Sb,1.0,1.0,3.807652,-24.154523955000002,0.22595077499999702,MP,B2,3.6803192161095626
mp-1094874,ZrSn,Zr,Sn,1.0,1.0,3.580086,-24.058169162083335,0.29196223458333304,MP,B2,3.67479650559525
mp-998897,YSb,Y,Sb,1.0,1.0,3.804791,-24.04516667,0.35114656000000005,MP,B2,3.857715726361407
mp-11496,LuZn,Lu,Zn,1.0,1.0,3.45578837,-23.903654125,0.0,MP,B2,3.4347180588385218
mp-2636,GdMg,Gd,Mg,1.0,1.0,3.83063586,-23.861962885,0.0,MP,B2,3.784678605390815
mp-899,InRh,In,Rh,1.0,1.0,3.20967535,-23.857012905,0.0,MP,B2,3.24049329737677
mp-13496,ZrPd,Zr,Pd,1.0,1.0,3.360046,-23.48369734,0.06452598250000101,MP,B2,3.3248952177585225
mp-21215,InPd,In,Pd,1.0,1.0,3.27188478,-23.318690175,0.011751512142858,MP,B2,3.3116975617593027
mp-985,TmCu,Tm,Cu,1.0,1.0,3.38448683,-23.284754295,0.0,MP,B2,3.351636061204897
mp-1955,ErCu,Er,Cu,1.0,1.0,3.39976775,-22.67065421,0.0,MP,B2,3.369132818328406
mp-2316,TmZn,Tm,Zn,1.0,1.0,3.49373398,-22.42055993,0.0,MP,B2,3.461244462092165
mp-1971,HoCu,Ho,Cu,1.0,1.0,3.41849426,-22.14065867,0.0,MP,B2,3.3809088106464724
mp-22704,YIn,Y,In,1.0,1.0,3.7594189,-22.049681705,0.0,MP,B2,3.767446187284493
mp-1009018,InAg,In,Ag,1.0,1.0,3.46478866,-21.912624355,0.10658124151786101,MP,B2,3.4403397475325908
mp-1660,ErZn,Er,Zn,1.0,1.0,3.50789832,-21.811399955,0.0,MP,B2,3.4787412192156735
mp-2334,DyCu,Dy,Cu,1.0,1.0,3.43607761,-21.68017208,0.0,MP,B2,3.4061883476973738
mp-973891,LaV,La,V,1.0,1.0,3.739359,-21.367576955000004,0.549601012499998,MP,B2,3.7400920297049423
