material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-305598,YIr,B2,Ir,Y,1,1,3.428593,-0.7851235125,0.0001023432549580594,OQMD,3.487358381701817
oqmd-306094,TiIr,B2,Ir,Ti,1,1,3.11441,-0.784140916893133,0.09948306749999936,OQMD,3.0952718252061704
oqmd-305161,LaAu,B2,Au,La,1,1,3.772715,-0.780283285,0.04296959750000029,OQMD,3.758353874254376
oqmd-307319,PmPd,B2,Pd,Pm,1,1,3.588228,-0.77912503625,0.0,OQMD,3.5864930391534156
oqmd-304888,AcAu,B2,Ac,Au,1,1,3.891085,-0.77875631375,0.0,OQMD,3.865625027793073
oqmd-307110,BaAs,B2,As,Ba,1,1,4.028875,-0.7786137125,0.2827932208333329,OQMD,4.06030444299012
oqmd-307421,HoSb,B2,Ho,Sb,1,1,3.780206,-0.777401554166665,0.33929103999999977,OQMD,3.8269603100187135
oqmd-304660,CaSb,B2,Ca,Sb,1,1,3.881585,-0.7728355125,0.14983411749999997,OQMD,3.9645972302290664
oqmd-305163,NdAu,B2,Au,Nd,1,1,3.706503,-0.7693341875,0.04354417999999971,OQMD,3.714807884825557
oqmd-307390,ZrIr,B2,Ir,Zr,1,1,3.31292,-0.766906655,0.09042442125000005,OQMD,3.264135654174279
oqmd-305560,EuSn,B2,Eu,Sn,1,1,3.904738,-0.764598978425601,0.07802439250000004,OQMD,3.946262131781578
oqmd-306090,LaPd,B2,La,Pd,1,1,3.671682,-0.76181289,0.07005627250000035,OQMD,3.649843067896953
oqmd-304486,ErSb,B2,Er,Sb,1,1,3.769061,-0.7561096275,0.34029651999999977,OQMD,3.805881094869644
oqmd-304797,ZrRh,B2,Rh,Zr,1,1,3.297709,-0.753047655,0.052732841249999995,OQMD,3.255327186872961
oqmd-304879,PrAu,B2,Au,Pr,1,1,3.728707,-0.75047630375,0.0454059075000004,OQMD,3.735718150590262
oqmd-305141,NdPd,B2,Nd,Pd,1,1,3.618635,-0.750233307499999,0.06576784250000012,OQMD,3.6062970784681343
oqmd-307796,TiRh,B2,Rh,Ti,1,1,3.102536,-0.749986981893132,0.03254461750000104,OQMD,3.086463357904852
oqmd-305826,PaPt,B2,Pa,Pt,1,1,3.50988,-0.748799479999999,0.054688280000000034,OQMD,3.427784837956929
oqmd-305009,BaBi,B2,Ba,Bi,1,1,4.324698,-0.7483990075,0.13240398416104138,OQMD,4.298901238548153
oqmd-304443,MgPd,B2,Mg,Pd,1,1,3.172318,-0.746530574583335,0.0003901449999998974,OQMD,3.3191184555578084
oqmd-307247,BePt,B2,Be,Pt,1,1,2.847534,-0.745170409999999,6.891500000016926e-05,OQMD,2.8473806576903002
oqmd-305767,GdIr,B2,Gd,Ir,1,1,3.452988,-0.74340197875,0.029748675584296724,OQMD,3.4931082266988045
oqmd-307379,CeBi,B2,Bi,Ce,1,1,4.01873,-0.74045107125,0.24761551999999998,OQMD,4.057069751775688
oqmd-306773,TiOs,B2,Os,Ti,1,1,3.086194,-0.736112281893133,0.00016004999999996716,OQMD,3.077830161043108
oqmd-305175,SrBi,B2,Bi,Sr,1,1,4.123402,-0.7347326225,0.1081227724985907,OQMD,4.192420402848601
oqmd-306550,SrAu,B2,Au,Sr,1,1,3.818951,-0.733294205,0.05289778000000034,OQMD,3.8931664687153535
oqmd-306006,TbAs,B2,As,Tb,1,1,3.58756,-0.729947924833335,0.48165030500000505,OQMD,3.6222556609122676
oqmd-304639,TmSb,B2,Sb,Tm,1,1,3.757715,-0.7291348475,0.3394106550000001,OQMD,3.79751997988921
oqmd-306045,PrBi,B2,Bi,Pr,1,1,3.988899,-0.72857578125,0.25261282500000004,OQMD,4.03497208472351
oqmd-305756,ThIr,B2,Ir,Th,1,1,3.579191,-0.728332134999999,0.28819267000000093,OQMD,3.531994233404047
oqmd-304851,YbBi,B2,Bi,Yb,1,1,3.923154,-0.7276686025,0.0906379487500002,OQMD,3.9899636635881786
oqmd-306834,CeAu,B2,Au,Ce,1,1,3.748014,-0.726471548750001,0.05404831499999907,OQMD,3.75781581764244
oqmd-304982,ThRh,B2,Rh,Th,1,1,3.570651,-0.723262745000001,0.234733105,OQMD,3.5261983093136053
oqmd-306350,PrPd,B2,Pd,Pr,1,1,3.64198,-0.72259896875,0.07032488499999967,OQMD,3.6272073442328394
oqmd-304852,SrPt,B2,Pt,Sr,1,1,3.673494,-0.72181885,0.10499254999999996,OQMD,3.8758742255261036
oqmd-306574,SmRh,B2,Rh,Sm,1,1,3.49701,-0.71557653375,0.0,OQMD,3.5146943702040456
oqmd-305706,NdBi,B2,Bi,Nd,1,1,3.963278,-0.71402849,0.25775649999999994,OQMD,4.014061818958805
oqmd-307338,AcPd,B2,Ac,Pd,1,1,3.785485,-0.71372199875,0.07531794000000003,OQMD,3.828171050535057
oqmd-307320,HfOs,B2,Hf,Os,1,1,3.255336,-0.708788592499999,0.0,OQMD,3.213963796094773
oqmd-307427,PmBi,B2,Bi,Pm,1,1,3.950238,-0.70208855875,0.26113170000000097,OQMD,3.994257779644087
oqmd-305535,CaBi,B2,Bi,Ca,1,1,3.959746,-0.6992434775,0.09525544666666641,OQMD,4.062714894803752
oqmd-305956,LaSn,B2,La,Sn,1,1,3.960487,-0.694440093425601,0.1563896925,OQMD,3.9505566499346987
oqmd-307146,GaRh,B2,Ga,Rh,1,1,3.036488,-0.690248457500001,9.105000000175778e-06,OQMD,3.11252649663588
oqmd-305002,CePd,B2,Ce,Pd,1,1,3.669517,-0.69007863875,0.07701409500000023,OQMD,3.6493050112850165
oqmd-305367,BaAu,B2,Au,Ba,1,1,4.006339,-0.688884305,0.035617082500000175,OQMD,4.06030444299012
oqmd-305770,CaPd,B2,Ca,Pd,1,1,3.515437,-0.68829668,0.000424994999999595,OQMD,3.65495015431308
oqmd-306260,SmBi,B2,Bi,Sm,1,1,3.92684,-0.68304531625,0.264896315,OQMD,3.982043522595503
oqmd-305084,LuSb,B2,Lu,Sb,1,1,3.735176,-0.68193416,0.33877881499999996,OQMD,3.7742018121217846
oqmd-306816,PmRh,B2,Pm,Rh,1,1,3.515716,-0.681743666250001,0.02387295499999975,OQMD,3.5326464939747564
oqmd-306265,YbSn,B2,Sn,Yb,1,1,3.816139,-0.680706408425601,0.03964911500000001,OQMD,3.882912505135254
oqmd-305337,EuHg,B2,Eu,Hg,1,1,3.824049,-0.672156217483134,0.0009045199999999642,OQMD,3.8953570159812254
oqmd-304487,AlNi,B2,Al,Ni,1,1,2.885803,-0.66928167,0.00016468500000099695,OQMD,2.997393478446328
oqmd-305588,HfAs,B2,As,Hf,1,1,3.33395,-0.664194455,0.34259335374999955,OQMD,3.3739061462369735
oqmd-306791,AlRu,B2,Al,Ru,1,1,3.008656,-0.66276286,0.0,OQMD,3.0842206574530624
oqmd-306517,LaRh,B2,La,Rh,1,1,3.586583,-0.652591210000001,0.08826709249999898,OQMD,3.6423719624195123
oqmd-306616,GdBi,B2,Bi,Gd,1,1,3.903887,-0.64838749625,0.2704352533333333,OQMD,3.951648911788944
oqmd-307785,EuPb,B2,Eu,Pb,1,1,3.975257,-0.643821875,0.029803440000000014,OQMD,4.038874169678936
oqmd-306160,ThPd,B2,Pd,Th,1,1,3.625118,-0.643173340000001,0.12296469749999894,OQMD,3.5827701780035155
oqmd-305712,ZrRu,B2,Ru,Zr,1,1,3.277858,-0.643027745000001,0.0,OQMD,3.23688515680198
oqmd-307331,BaPt,B2,Ba,Pt,1,1,3.854389,-0.642185619999999,0.12010510000000096,OQMD,4.06030444299012
oqmd-307384,SmIr,B2,Ir,Sm,1,1,3.499053,-0.64132127875,0.07195970830252163,OQMD,3.523502837505364
oqmd-305143,EuGe,B2,Eu,Ge,1,1,3.690875,-0.6409938075,0.18318337249999994,OQMD,3.734603272649071
oqmd-306177,SiRu,B2,Ru,Si,1,1,2.941206,-0.6368057925,0.002274092499999991,OQMD,3.01538592151133
oqmd-305255,YBi,B2,Bi,Y,1,1,3.883928,-0.636779655,0.27843695833333293,OQMD,3.9458990667919567
oqmd-305169,PuPt,B2,Pt,Pu,1,1,3.384101,-0.636491020000001,0.168428624999999,OQMD,3.4261817923691
oqmd-307458,CaSn,B2,Ca,Sn,1,1,3.854559,-0.635358823425601,0.06775640999999999,OQMD,3.955663736350826
