material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type
mp-1187532,Tl3Au,Tl,Au,3.0,1.0,4.73532544,-52.4901764975,0.074874852500002,MP,L1$_2$
mp-972185,Tl3Hg,Tl,Hg,3.0,1.0,4.850267390000227,-52.20823689,0.027282111666664003,MP,L1$_2$
mp-265,TaIr3,Ta,Ir,1.0,3.0,3.90530826,-52.17511517,0.0,MP,L1$_2$
mp-1186103,NaAc3,Na,Ac,1.0,3.0,5.579067,-52.16459940788793,0.20455529398707,MP,L1$_2$
mp-1187243,TaOs3,Ta,Os,1.0,3.0,3.91497248,-52.049900465,0.0,MP,L1$_2$
mp-1185287,LiAc3,Li,Ac,1.0,3.0,5.437827,-51.90798518541667,0.16680097729166402,MP,L1$_2$
mp-867248,LaBi3,La,Bi,1.0,3.0,5.0117565944042894,-51.89655375,0.063453869999996,MP,L1$_2$
mp-1184759,IrPt3,Ir,Pt,1.0,3.0,3.951253,-51.62398874749999,0.08163729000000301,MP,L1$_2$
mp-21430,YbPb3,Yb,Pb,1.0,3.0,4.827551692421106,-51.61984883,0.0,MP,L1$_2$
mp-1007693,HfOs3,Hf,Os,1.0,3.0,3.973561,-51.19063339249999,0.25909898000000403,MP,L1$_2$
mp-1018054,HfPt3,Hf,Pt,1.0,3.0,4.00245006,-51.0801258825,0.007669869374979,MP,L1$_2$
mp-20503,GdTl3,Gd,Tl,1.0,3.0,4.74773385,-51.027932595,0.0,MP,L1$_2$
mp-1007690,HgPt3,Hg,Pt,1.0,3.0,4.07257,-50.893200736874995,0.102995956250005,MP,L1$_2$
mp-1187199,Ta3Bi,Ta,Bi,3.0,1.0,4.278221,-50.72528748075,0.344155489999998,MP,L1$_2$
mp-510400,GdIr3,Gd,Ir,1.0,3.0,4.05641374,-50.50175071,0.0,MP,L1$_2$
mp-977310,OsAu3,Os,Au,1.0,3.0,4.090436,-50.4960151875,0.6890121375,MP,L1$_2$
mp-1187214,Ta3Pb,Ta,Pb,3.0,1.0,4.26586,-50.176557177,0.338600884999998,MP,L1$_2$
mp-867238,SmPb3,Sm,Pb,1.0,3.0,4.8866422734052275,-50.083560365,0.0,MP,L1$_2$
mp-20939,PrPb3,Pr,Pb,1.0,3.0,4.92583102,-50.0464719075,0.0,MP,L1$_2$
mp-20601,NdPb3,Nd,Pb,1.0,3.0,4.9098076200000005,-50.0392381975,0.0,MP,L1$_2$
mp-1064843,EuTl3,Eu,Tl,1.0,3.0,4.865602460277516,-49.8548122025,0.0,MP,L1$_2$
mp-973055,Hg3Au,Hg,Au,3.0,1.0,4.5137920000000005,-49.52128729114583,0.15170252374999602,MP,L1$_2$
mp-790,LuPt3,Lu,Pt,1.0,3.0,4.04578667,-49.320240915,0.0,MP,L1$_2$
mp-570164,YbTl3,Yb,Tl,1.0,3.0,4.69050518606075,-49.2344920625,0.0,MP,L1$_2$
mp-1185482,Lu3Np,Lu,Np,3.0,1.0,4.83200081,-48.95091229750001,0.365050722812497,MP,L1$_2$
mp-300,YbPt3,Yb,Pt,1.0,3.0,4.056163507215176,-48.932286105,0.0,MP,L1$_2$
mp-817,TmTl3,Tm,Tl,1.0,3.0,4.69516739,-48.894968215,0.0,MP,L1$_2$
mp-1183629,CdBi3,Cd,Bi,1.0,3.0,4.953346,-48.77730203625,0.12565019499999802,MP,L1$_2$
mp-2351,TmPt3,Tm,Pt,1.0,3.0,4.06374824,-48.557938575,0.0,MP,L1$_2$
mp-2013,HoTl3,Ho,Tl,1.0,3.0,4.71117179,-48.3770378625,0.0,MP,L1$_2$
mp-1913,ErPt3,Er,Pt,1.0,3.0,4.07338756,-48.241490325,0.0,MP,L1$_2$
mp-2415,DyTl3,Dy,Tl,1.0,3.0,4.71695516,-48.17397771,0.0,MP,L1$_2$
mp-23159,SrBi3,Sr,Bi,1.0,3.0,5.05221907,-48.1194439475,0.051393767812498006,MP,L1$_2$
mp-1186019,MoPb3,Mo,Pb,1.0,3.0,4.776143,-47.9923394275,0.739506015000003,MP,L1$_2$
mp-1184703,Hf3Pb,Hf,Pb,3.0,1.0,4.45124106,-47.9864988725,0.019860790000002,MP,L1$_2$
mp-195,HoPt3,Ho,Pt,1.0,3.0,4.08447716,-47.961447995,0.0,MP,L1$_2$
mp-20603,CeTl3,Ce,Tl,1.0,3.0,4.80610781,-47.9206055825,0.0,MP,L1$_2$
mp-2465,DyPt3,Dy,Pt,1.0,3.0,4.09425166,-47.7209023225,0.0,MP,L1$_2$
mp-20291,YPb3,Y,Pb,1.0,3.0,4.8624544499999995,-47.65474169,0.015527627499999001,MP,L1$_2$
mp-862970,PmTl3,Pm,Tl,1.0,3.0,4.77538698,-47.648901045,0.0,MP,L1$_2$
mp-2026,PrTl3,Pr,Tl,1.0,3.0,4.81674655,-47.63103788,0.0,MP,L1$_2$
mp-1549,TbPt3,Tb,Pt,1.0,3.0,4.10499822,-47.513297495,0.0,MP,L1$_2$
mp-11318,CePt3,Ce,Pt,1.0,3.0,4.14913182,-47.35819607,0.0,MP,L1$_2$
mp-1185989,MnBi3,Mn,Bi,1.0,3.0,4.851888,-47.152361432112066,0.39517754551724205,MP,L1$_2$
mp-11487,LaPt3,La,Pt,1.0,3.0,4.21443376,-46.954128365,0.14129061907894402,MP,L1$_2$
mp-1996,NdIr3,Nd,Ir,1.0,3.0,4.13379,-46.86828183833334,0.35847677249999704,MP,L1$_2$
mp-976725,Hf3Au,Hf,Au,3.0,1.0,4.350654,-46.725963542500004,0.14295759000000102,MP,L1$_2$
mp-1183974,GaBi3,Ga,Bi,1.0,3.0,4.91774,-46.62016067437499,0.120689488125002,MP,L1$_2$
mp-21162,SrPb3,Sr,Pb,1.0,3.0,5.00469932,-46.4242844625,0.0,MP,L1$_2$
mp-1187486,Tl3Sb,Tl,Sb,3.0,1.0,4.94354825,-46.315111135,0.017860456071417,MP,L1$_2$
mp-866006,CaBi3,Ca,Bi,1.0,3.0,4.972059056118655,-46.02029883,0.06833353750000201,MP,L1$_2$
mp-1186225,NbOs3,Nb,Os,1.0,3.0,3.92105331,-45.99890788,0.039354171527783005,MP,L1$_2$
mp-1100776,ZnBi3,Zn,Bi,1.0,3.0,4.873164,-45.914678545,0.18967741499999802,MP,L1$_2$
mp-1184552,Hf3Ta,Hf,Ta,3.0,1.0,4.406881999999999,-45.863291970666666,0.14822774999999602,MP,L1$_2$
mp-1438,ZrIr3,Zr,Ir,1.0,3.0,3.9596842,-45.7874618725,0.0,MP,L1$_2$
mp-1006115,Ho3Pu,Ho,Pu,3.0,1.0,4.956637,-45.597527019062504,0.6525679550000021,MP,L1$_2$
mp-1184943,KBi3,K,Bi,1.0,3.0,5.072353,-45.53230042625,0.142553596249996,MP,L1$_2$
