element,radius,std,ci_lower,ci_upper
Th,1.757713940816566,0.011081120637665963,1.7343517702984748,1.7772023154744236
Ti,1.416584606466474,0.010287829100596143,1.4001967738017436,1.441275692807708
Tl,1.659992350137475,0.0038648181123001123,1.6501616523515656,1.667695490094438
Tm,1.6671491818943058,0.015399212699235767,1.6355580253557354,1.6953400427021827
U,1.4884866350516588,0.04890640536153853,1.354654145747988,1.5434199732512786
V,1.337740215304736,0.019873572450970673,1.302669529264213,1.3723224353352605
W,1.3681137711349287,0.0207785233114488,1.3134701063747316,1.3882137005895503
Y,1.731186986299563,0.015912947653633304,1.6968332193017373,1.7619470223698526
Yb,1.646882147357293,0.01306162642783074,1.6161205579310063,1.6658422568351623
Zn,1.3389987092236395,0.012740946639799107,1.317637291666263,1.3750772490854448
Zr,1.5508489916129211,0.006775369275340502,1.5367626982332923,1.5630863425310164
