composition,struct,a_exp,a_eq10_ss,delta_r,delta_sf_ss,delta_sf,delta_sf_signed,Omega_yang,n_elements,error_abs,n_pairs,n_missing_ss,n_missing_combined
Ir-Os-Pd-Pt-Rh-Ru,FCC,3.8473,3.846220538521686,1.2759648447898377,0.0,0.025837992996167174,0.032570435242085825,180.81965684865506,6,0.0010794614783140588,15,15,0
Co-Cr-Cu-Ni-Zn,BCC,2.8831,2.887734093502725,4.0611112364353295,0.02207039122147569,0.0317284822651693,-0.017803785736760013,12.924244724291393,5,0.004634093502724923,10,5,0
Co-Cr-Fe-Ni-V,FCC,3.582,3.607661352259759,2.128136192273807,0.0015864288004299233,0.021507855404830637,-0.021789403827288438,4.243261932049919,5,0.025661352259759074,10,9,0
Al-Co-Fe-Mn-Ni,FCC,3.6084,3.5957746942701316,3.659054901971217,0.0149741399868032,0.038298681192880726,-0.028745212469648854,3.0689580140953825,5,0.012625305729868419,10,7,0
Co-Cr-Fe-Ni-Pd,FCC,3.6473,3.6485199593594975,3.6275508984103326,0.008883904521324692,0.0254947012088462,0.008622424157907855,4.58245493672966,5,0.00121995935949748,10,8,0
Co-Cr-Fe-Ni-Pd,FCC,3.6803,3.6485199593594975,3.6275508984103326,0.008883904521324692,0.0254947012088462,0.008622424157907855,4.58245493672966,5,0.03178004064050244,10,8,0
Al-Co-Cr-Fe-Ni,FCC,3.58,3.587202821131577,2.395942723918789,0.00826182213334881,0.024452061610697094,-0.01607753497188293,4.486596642200163,5,0.007202821131576886,10,8,0
Al-Co-Fe-Mn-Ni,FCC,3.5862,3.572510040728572,2.56077526652301,0.010249691231586151,0.026593952393843264,-0.018763968011630442,5.1611115508470595,5,0.01368995927142791,10,7,0
Al-Co-Fe-Mn-Ni,FCC,3.6,3.5965659603693774,3.5683168749985374,0.014109601200140525,0.037983782071670746,-0.028492691022524903,3.143613424032757,5,0.0034340396306227206,10,7,0
Al-Co-Fe-Ni,FCC,3.5936,3.5966125958188795,4.232691396937446,0.020860249362970856,0.041141309802225405,-0.03157071078356005,2.3665722867279473,4,0.003012595818879582,6,4,0
Ir-Pd-Pt-Rh-Ru,FCC,3.856,3.848785224212878,1.3415258255389038,0.0,0.0247889435435233,0.030437573210384667,999.0,5,0.00721477578712193,10,10,0
Co-Cr-Fe-Mn-Ni,FCC,3.58,3.5836844200089835,1.3754686510209386,0.002528031325438484,0.02381140002966569,-0.01679484682693339,6.188409518646213,5,0.003684420008983391,10,8,0
Co-Cr-Fe-Mo-Ni,FCC,3.585,3.599823308679663,2.610117078706955,0.0022291453342824057,0.016591610615774806,-0.012755170698789505,6.262409913564573,5,0.014823308679662972,10,9,0
Co-Cr-Fe-Mo-Ni,FCC,3.604,3.5862018394530493,2.104528617381857,0.002522680358025745,0.016220137163574715,-0.011295093342564554,5.898983658891566,5,0.017798160546950825,10,9,0
Co-Cr-Fe-Mo-Ni,FCC,3.595,3.5968527023491066,2.6358760970626554,0.0024786017742482254,0.016013449043195554,-0.011338968966235673,5.980790709939824,5,0.0018527023491063943,10,9,0
Co-Cr-Fe-Ni,FCC,3.5759,3.5731950309378213,1.3014251799572574,0.0031169906482121598,0.01624890731340131,-0.011290353280793947,6.016493943124914,4,0.0027049690621785416,6,5,0
