pair,omega_b2,omega_l12
La-Y,0.004199183201109089,-0.030187999233987767
La-Zn,0.011654426830041874,-0.03485504269577762
La-Zr,-0.061219709961668825,-0.05485547187072091
Mg-Mn,-0.005074702256546038,-0.031217631317006396
Mg-Mo,-0.1310074530534936,-0.13108099906123094
Mg-Nb,-0.08133761282983708,-0.042474290221728064
Mg-Ni,-0.17179363984426507,-0.13183123907966846
Mg-Pd,-0.15560948447116021,-0.09159940329407579
Mg-Rh,-0.19374866711765715,-0.12593105860936185
Mg-Ru,-0.1678955689910811,-0.12592178291863898
Mg-Sc,-0.036004226735188744,-0.02913860602425816
Mg-Si,-0.16756764154133366,-0.1857151040367887
Mg-Sn,-0.03997635318024576,-0.02426771076939936
Mg-Ta,-0.10004117761869369,-0.09432139978889975
Mg-Tb,-0.010886653177510978,-0.07216809628265364
Mg-Ti,-0.08065990716593538,-0.0557074488431346
Mg-V,-0.0375879016168116,-0.06525177431933132
Mg-W,-0.14434874184941376,-0.11235847787694
Mg-Y,-0.023744318358885116,-0.012472585512529078
Mg-Zn,-0.06291894980681417,-0.049875552256352707
Mg-Zr,-0.05996560224227133,-0.03708383479205757
Mn-Mo,-0.04845096314049217,-0.03674073993094262
Mn-Nb,-0.04763701791409411,-0.0010431974087164505
Mn-Ni,0.05607950288342075,-0.007213428714551145
Mn-Pd,0.1226366681225266,0.10417309405082949
Mn-Rh,0.0691269071962021,-0.07648622619081866
Mn-Ru,-0.033831608601782304,-0.04800076776157508
Mn-Sc,-0.08865805843458162,-0.008024580980041064
Mn-Si,-0.31979571139685153,-0.2615415263856098
Mn-Sn,-0.05328972936345952,-0.019300296748188422
Mn-Ta,-0.0607602373488002,-0.010767157207928537
Mn-Ti,-0.12365370514265632,-0.05979561524445297
Mn-V,-0.10499760359886143,-0.07325822393613289
Mn-W,-0.05053852634213554,-0.03398605766769628
Mn-Y,-0.009615392332292909,-0.07097298765478187
Mn-Zn,-0.06701178867440684,-0.044440543135400176
Mn-Zr,-0.08717767459619148,0.019392116922132913
Mo-Nb,0.007995242706445436,0.03376883800438393
Mo-Ni,0.005927013704056482,-0.003088616623882499
Mo-Pd,0.033353792156494796,0.01744805361941491
Mo-Ru,0.02160788771789734,0.008274572154589906
Mo-Sc,-0.10920250546521185,-0.06744743017543423
Mo-Si,-0.21255902830388748,-0.1855533801240499
Mo-Sn,-0.14751347574591872,-0.08645280834205599
Mo-Ta,-0.0075830183411052365,0.028259168041563594
Mo-Ti,-0.05556695649889175,-0.020823108423967635
Mo-V,-0.027882155739816873,0.007344015850462513
Mo-W,0.005726458839447373,0.022194904121436074
Mo-Y,-0.12232136451405139,-0.08821250220764013
Mo-Zn,-0.041557506424404395,-0.025523148261865893
Mo-Zr,-0.04513964578145359,-0.01161932716078662
Nb-Ni,0.017623666263079606,0.020142403007036763
Nb-Pd,0.04167651066071502,0.01641597510727071
Nb-Ru,0.017154183916635795,0.00542184741868813
Nb-Sc,-0.06101730236193946,-0.035393696105928206
Nb-Si,-0.16564599837386496,-0.08307320892731734
Nb-Sn,-0.11002088368425009,-0.06558207530106172
Nb-Ta,0.01667616046440012,0.043891531925908056
Nb-Ti,-0.028157478232383952,-0.004288867454800313
Nb-V,0.00030254563398417054,0.027671098379244835
Nb-W,0.004819249912081786,0.03496884067118285
Nb-Y,-0.07909218260991993,-0.05576142492929945
Nb-Zn,-0.01846897947831954,-0.04126756181154165
Nb-Zr,-0.01759165403812286,0.011465656347899422
Ni-Pd,0.03765813029288233,0.023413238498288632
Ni-Ru,0.008154908384156978,0.006242263372383432
Ni-Sc,-0.11590987924878109,-0.1168367094444171
Ni-Si,-0.25785020025784744,-0.20117558701851357
Ni-Sn,-0.13094213701698362,-0.13418974028753977
Ni-Ta,-0.0006842118997338486,-0.005128554836852742
Ni-Ti,-0.05292205357749498,-0.0534081880929274
Ni-V,-0.015736930158325863,-0.03565499658883083
Ni-W,9.588516675957748e-05,-0.0035907094086872773
Ni-Y,-0.11061080706512273,-0.12162728378283283
Ni-Zn,-0.0743053593278868,-0.07236335901458431
Ni-Zr,-0.035718002750854114,-0.04594073317927176
Os-Si,-0.24562305904376652,-0.18061046310839063
Os-Ti,-0.07125600449243569,-0.021902222067454027
Os-V,-0.015020100882768632,-0.0014530303574410187
Os-Zr,-0.050529662850280974,-0.032257354980157665
Pd-Ru,0.038432659647836404,0.025016014514520176
Pd-Sc,-0.08224598553403634,-0.07741340955064484
Pd-Si,-0.18250142637043576,-0.1484688997027608
Pd-Sn,-0.08485926706572322,-0.08344395598929452
Pd-Ta,0.021342443420830307,0.004010035354826077
Pd-Ti,-0.0161762245182834,-0.03694809402460328
Pd-V,0.06738630551133405,0.007457165766899662
Pd-W,0.02565683696966166,0.009152697763194807
Pd-Y,-0.08228624239487718,-0.10412139115412311
Pd-Zn,-0.02956972936424132,-0.018258849327986115
Pd-Zr,-0.008733877762903812,-0.035336615963371606
Pt-Sc,-0.11114349619278757,-0.09905849622927712
Pt-Tb,-0.08618549027995584,-0.10398386480172411
Pt-Ti,-0.02413632941205709,-0.03756426533968059
Pt-Zr,-0.015159120388696695,-0.04023270226648338
Re-Ti,-0.07205529663441895,-0.03454323536858342
Rh-Sc,-0.1393549254751723,-0.09657345850496205
Rh-Si,-0.21452028211009416,-0.1782988793762668
Rh-Tb,-0.12129243700429007,-0.2729017761420604
Rh-Ti,-0.04315512661156265,-0.04384325349643806
Rh-Y,-0.14077396302840545,-0.1141211595057654
Rh-Zn,-0.0607615421241893,-0.03611398624084293
Rh-Zr,-0.03818612316227936,-0.04435729007991563
Ru-Sc,-0.14249277273042935,-0.08196715507800455
Ru-Si,-0.2505290367023997,-0.18793375884424904
Ru-Sn,-0.17381211002806124,-0.08686362029582481
Ru-Ta,0.0057295645427454306,-0.0018606007700007886
Ru-Ti,-0.07352913016954293,-0.028398131506418855
Ru-V,-0.019591175085978213,-0.008112689377949327
Ru-W,0.021910953914926302,0.00899477137157494
Ru-Y,-0.15287176087916482,-0.10751451814034667
Ru-Zn,-0.04291012216751958,-0.0365888068669698
Ru-Zr,-0.055292550857039144,-0.03148619225115007
Sc-Si,-0.18122336041741044,-0.21481945539967207
Sc-Sn,-0.0904922725052445,-0.09480666863583657
Sc-Ta,-0.0665702401221339,-0.04191610690204848
Sc-Ti,-0.02704582381363335,-0.04242254461269673
Sc-V,-0.06918859822720436,-0.05876484312392935
Sc-W,-0.11126831613036436,-0.07215332695233127
Sc-Y,-0.02686761176597766,-0.0434642789881321
Sc-Zn,-0.06883359293817129,-0.05317947982804218
Sc-Zr,-0.033156448589332574,-0.027282071887677346
Si-Sn,-0.09136163746041859,-0.013436321320268915
Si-Ta,-0.17879646200594726,-0.16791695945793558
Si-Ti,-0.20278120227066007,-0.21208897860479275
Si-V,-0.22632363971483316,-0.21260979547653636
Si-W,-0.20912739802012664,-0.18102423691758873
Si-Y,-0.16547022627411703,-0.1576895206116061
Si-Zn,-0.09071485662936575,-0.19358146922174313
Si-Zr,-0.15218522444301244,-0.1751646855164793
Sn-Ta,-0.12103483351345613,-0.0700532673599989
Sn-Ti,-0.10575083452137722,-0.10245263535022557
Sn-V,-0.1363002163952344,-0.05814490184777861
Sn-W,-0.14620712720054688,-0.08570956096418314
Sn-Y,-0.08530143059839623,-0.09018455288282297
Sn-Zn,0.04402567036640141,0.016995331406546167
Sn-Zr,-0.0910724326105759,-0.07118892863640577
Ta-Ti,-0.0284489427849723,-0.0050677427492055414
Ta-V,-0.010926226515642923,0.01851142261192771
Ta-W,-0.007368229771756034,0.028056227038682522
Ta-Y,-0.08974809981981957,-0.06613334766519299
Ta-Zn,-0.03807623417013179,-0.05072626425138915
Ta-Zr,-0.01987695819397286,0.0005853884404830729
Tb-Zn,-0.03835366145519711,-0.10655580646891101
Ti-V,-0.04408369384450024,-0.027365387033947353
Ti-W,-0.04906687086698465,-0.019758985692892153
Ti-Y,-0.033473634814588926,-0.060593671519316106
Ti-Zn,-0.06140379652602695,-0.05727188663864078
Ti-Zr,-0.02999525100848758,-0.017395763167879195
V-W,-0.0301148809474914,0.010656007648113813
V-Y,0.0027944840357638596,-0.07280976834016945
V-Zn,-0.05130867180661619,-0.06386183597595659
V-Zr,-0.0022285275449631637,-0.010292936731001881
W-Y,-0.12595675183720875,-0.09316095026881666
W-Zn,-0.04904165487535056,-0.043979053756391585
W-Zr,-0.03622145088438491,-0.01315636569546915
Y-Zn,-0.05431403317137419,-0.06742953554822517
Y-Zr,-0.04498535527056259,-0.054176691524071424
Zn-Zr,-0.03284448772210899,-0.02754809230279849
Ag-Au,,0.04730712123371781
Ag-Ir,,0.018139168304768388
Ag-Os,,0.0159214393638941
Ag-Pb,,0.004993772970958314
Ag-Pt,,0.023795236071063784
Ag-Re,,0.005958841788401749
Ag-Rh,,0.028256659946871807
Al-Er,,-0.06826993003668902
Al-Pb,,0.07913236094169984
Au-Ca,,-0.18350579855735877
Au-Ce,,-0.08589745995055931
Au-Co,,0.051795788915405545
Au-Cr,,0.041234794374060524
Au-Cu,,0.02463087324775875
Au-Fe,,0.04824706909157573
Au-Ge,,-0.04537758546500835
Au-Hf,,-0.018497693416444343
Au-Ir,,0.032630305074884236
Au-La,,-0.026837692724794554
Au-Mo,,0.03563268500309327
Au-Nb,,0.03978397824631467
Au-Ni,,0.0414441173640906
Au-Os,,0.03800121477819707
Au-Pb,,0.02112114563662156
Au-Pd,,0.03952891642316565
Au-Pt,,0.03752454604322477
Au-Re,,0.016973972287470735
Au-Rh,,0.032709160729176005
Au-Ru,,0.027860618429478283
Au-Si,,-0.08640942430786369
Au-Sn,,0.009104389007591725
Au-Ta,,0.02383045012951898
Au-V,,-0.009107681038854551
Au-W,,0.024892235052932424
Au-Zr,,0.0011849500133753656
Ca-Dy,,-0.4749549276242893
Ca-Er,,0.03063126038741093
Ca-Ir,,-0.2641275440053281
Ca-Os,,-0.2655803731241082
Ca-Pb,,-0.15207267057682194
Ca-Pt,,-0.2450431725377643
Ca-Re,,-0.25069674078825416
Ca-Rh,,-0.24675047921282603
Ca-Tb,,-0.54253037884203
Ce-Dy,,-0.15611365308507225
Ce-Er,,-0.4934584912977752
Ce-Ir,,-0.17344618319391625
Ce-Os,,-0.1756041621770683
Ce-Pb,,-0.10196627849749225
Ce-Pt,,-0.09815443596897211
Ce-Re,,-0.17372223394687641
Ce-Rh,,-0.1251486434807555
Ce-Tb,,-0.00964121897019582
Co-Dy,,-0.2751878718146197
Co-Er,,-0.05760139387342478
Co-Ir,,0.002535514493493054
Co-Os,,-0.014741483505149111
Co-Pb,,-0.08952898927754388
Co-Pt,,0.03319063292179869
Co-Re,,-0.02643878317635385
Co-Rh,,0.020907520710335088
Co-Tb,,-0.07804578996232528
Cr-Dy,,-0.19380936090074952
Cr-Er,,-0.24490495579936838
Cr-Ir,,0.015652188687500852
Cr-Os,,0.0058508961576086305
Cr-Pb,,-0.02901133364154098
Cr-Pt,,0.033042350913476626
Cr-Re,,0.014357042280457016
Cr-Rh,,0.008597797509792773
Cr-Tb,,-0.20569459843774168
Cu-Ir,,0.029227794490907982
Cu-Os,,0.02715234338809417
Cu-Pb,,-0.042016016770351
Cu-Pt,,0.01973171158793691
Cu-Re,,0.016261008704515
Cu-Rh,,0.024773274911995918
Dy-Er,,-8.028349445405417e-05
Dy-Fe,,-0.22620107987496246
Dy-Ge,,-0.24817813970045888
Dy-Hf,,-0.2434650899544505
Dy-Ir,,-0.10337134964442005
Dy-La,,-0.4853439307215567
Dy-Mn,,-0.20434700084776122
Dy-Mo,,-0.1483642067951941
Dy-Nb,,0.18770991018429367
