label,seed,atom_index,element,V_vor_A3
Al-Nb,1,120,Al,17.65268266481893
Al-Nb,1,121,Nb,18.56295714121941
Al-Nb,1,122,Nb,17.21593144541112
Al-Nb,1,123,Nb,19.12363830400786
Al-Nb,1,124,Al,16.316374483629797
Al-Nb,1,125,Nb,17.965873478703834
Al-Nb,1,126,Nb,18.862555338342624
Al-Nb,1,127,Nb,18.64018005755902
Al-Nb,2,0,Nb,18.035211863055967
Al-Nb,2,1,Nb,18.5065308011629
Al-Nb,2,2,Nb,17.37280999387327
Al-Nb,2,3,Al,17.04848028799956
Al-Nb,2,4,Nb,19.059016467121868
Al-Nb,2,5,Nb,17.247576120971953
Al-Nb,2,6,Al,15.703191243866847
Al-Nb,2,7,Al,16.040197518703266
Al-Nb,2,8,Nb,17.62530893556762
Al-Nb,2,9,Al,15.968464678210568
Al-Nb,2,10,Al,16.44275202316339
Al-Nb,2,11,Nb,16.798644479158312
Al-Nb,2,12,Al,17.1442411817629
Al-Nb,2,13,Nb,16.954957341568072
Al-Nb,2,14,Al,18.161950679432124
Al-Nb,2,15,Nb,17.976861329954072
Al-Nb,2,16,Al,16.381019202138948
Al-Nb,2,17,Nb,18.40115347992155
Al-Nb,2,18,Al,17.842520365623674
Al-Nb,2,19,Al,17.40996854689888
Al-Nb,2,20,Al,17.131344979077582
Al-Nb,2,21,Nb,16.298996867217376
Al-Nb,2,22,Nb,16.990247039637502
Al-Nb,2,23,Al,15.420884345714692
Al-Nb,2,24,Nb,17.707903992596457
Al-Nb,2,25,Nb,19.50592801152633
Al-Nb,2,26,Nb,17.546686199616204
Al-Nb,2,27,Al,17.245240892284468
Al-Nb,2,28,Nb,17.10691211911823
Al-Nb,2,29,Al,15.391253978155817
Al-Nb,2,30,Nb,19.70344710764544
Al-Nb,2,31,Al,16.937610949336538
Al-Nb,2,32,Al,16.66020500025417
Al-Nb,2,33,Nb,18.927330489763538
Al-Nb,2,34,Nb,17.979777320262155
Al-Nb,2,35,Al,17.040121037000812
Al-Nb,2,36,Al,17.422843230266047
Al-Nb,2,37,Al,16.54110571462458
Al-Nb,2,38,Nb,17.489828863906766
Al-Nb,2,39,Nb,18.118099154299244
Al-Nb,2,40,Al,16.643763751676413
Al-Nb,2,41,Al,15.631523302077616
Al-Nb,2,42,Nb,18.11760780646098
Al-Nb,2,43,Al,15.096138099043763
Al-Nb,2,44,Al,17.12571793989477
Al-Nb,2,45,Nb,17.36319614378158
Al-Nb,2,46,Nb,17.420655594750002
Al-Nb,2,47,Nb,17.73798708168328
Al-Nb,2,48,Al,16.244794922154348
Al-Nb,2,49,Nb,18.44556767404224
Al-Nb,2,50,Al,15.87950570537547
Al-Nb,2,51,Nb,17.407083595239484
Al-Nb,2,52,Al,17.538621418096458
Al-Nb,2,53,Nb,18.325377332598542
Al-Nb,2,54,Al,16.932728032284203
Al-Nb,2,55,Al,16.739218838075995
Al-Nb,2,56,Nb,17.935828840671846
Al-Nb,2,57,Al,16.59054953079891
Al-Nb,2,58,Al,16.51623712877168
Al-Nb,2,59,Al,16.51591678591464
Al-Nb,2,60,Al,17.380789704031656
Al-Nb,2,61,Nb,18.848504237558945
Al-Nb,2,62,Al,17.06339505549892
Al-Nb,2,63,Nb,17.86954483465073
