Element,r_pure,r_L12_maj,r_L12_min,r_B2,dr_L12_maj,dr_L12_min,dr_B2,asymmetry_L12
Ni,1.3771760758322233,1.334419645063646,1.4379575314419462,1.317840309069816,-0.04275643076857727,0.06078145560972281,-0.05933576676240726,-0.10353788637830008
Os,1.4943137246635851,1.4755588058139604,1.3909337207609098,1.425831552798578,-0.01875491884962477,-0.10338000390267532,-0.06848217186500705,0.08462508505305055
P,1.7641942770035128,1.368080915629835,2.773341549124356,1.4525567253975615,-0.3961133613736778,1.0091472721208432,-0.3116375516059513,-1.405260633494521
Pb,1.9344238453824663,1.9255597373577544,1.8935767375139736,1.9165860290754608,-0.008864108024711825,-0.04084710786849266,-0.017837816307005427,0.031982999843780835
Pd,1.5201988160139424,1.5072483104932626,1.5021898457095053,1.5109235421717129,-0.012950505520679778,-0.018008970304437044,-0.009275273842229481,0.005058464783757266
Pt,1.5331388987435077,1.517692052319241,1.5050390970569787,1.5145535888530517,-0.015446846424266747,-0.028099801686529036,-0.018585309890456037,0.012652955262262289
Re,1.520061066935985,1.5674957945211991,1.2437256606026599,1.4529671766361139,0.047434727585214054,-0.2763354063333252,-0.06709389029987123,0.32377013391853926
Rh,1.4863239306523217,1.465568394479883,1.3903930935027093,1.4353869155026975,-0.02075553617243875,-0.09593083714961237,-0.05093701514962423,0.07517530097717362
Ru,1.4797025210257315,1.458650327193843,1.404900103623335,1.408326812477566,-0.02105219383188861,-0.07480241740239646,-0.07137570854816544,0.05375022357050785
Sc,1.8136013727062499,1.7655414745688898,1.737709404558554,1.750225992387599,-0.04805989813736011,-0.07589196814769594,-0.06337538031865098,0.02783207001033583
Se,1.833298283218516,1.4532494145264463,1.0101499300876506,1.6512586644652445,-0.3800488686920698,-0.8231483531308654,-0.18203961875327157,0.44309948443879565
Si,1.6845635878380372,1.5086809465534807,1.536985424133714,1.5157425460798,-0.17588264128455644,-0.1475781637043232,-0.1688210417582372,-0.028304477580233245
Sn,1.8622684018206264,1.8408460225199248,1.8247106507012223,1.820261669665139,-0.021422379300701566,-0.03755775111940407,-0.042006732155487336,0.016135371818702504
Sr,2.3733755965792427,2.1169562517916365,2.0668993808269165,2.178446043179702,-0.2564193447876062,-0.3064762157523262,-0.19492955339954054,0.05005687096472
Ta,1.6261995992423404,1.623361591275638,1.6213464383881866,1.5856695851449087,-0.002838007966702305,-0.004853160854153771,-0.04053001409743162,0.0020151528874514657
Tb,1.9713347123038616,1.8371309622571246,1.7961321751243564,1.93402472740646,-0.134203750046737,-0.17520253717950518,-0.03730998489740167,0.040998787132768166
Te,2.0159800186435177,2.6303904595476477,0.9577423587828268,1.8988523455977164,0.61441044090413,-1.058237659860691,-0.1171276730458013,1.672648100764821
Ti,1.6151412089743407,1.5673727158304274,1.6041101223395458,1.5730837596065554,-0.04776849314391329,-0.011031086634794907,-0.042057449367785216,-0.03673740650911839
Tl,1.8968886969006673,1.8780043924354253,1.9479610168731716,1.8551367737975142,-0.01888430446524203,0.051072319972504276,-0.04175192310315312,-0.0699566244377463
V,1.48884117815856,1.5008358749958235,1.571722303119927,1.5036341103557018,0.011994696837263508,0.08288112496136701,0.01479293219714184,-0.0708864281241035
W,1.5582849840929494,1.6169761413646373,1.4850832745227476,1.5064136726802067,0.058691157271687944,-0.07320170957020178,-0.051871311412742704,0.13189286684188972
Y,1.9901572114304584,1.8943329566702383,1.9117198517141272,1.9391684756979846,-0.09582425476022016,-0.07843735971633126,-0.05098873573247387,-0.017386895043888906
Zn,1.536921356892218,1.5216537405390043,1.553121089108257,1.5553914614491593,-0.01526761635321372,0.016199732216038987,0.018470104556941314,-0.03146734856925271
Zr,1.771299106960212,1.7472809944743002,1.7502929809236611,1.7394898414024893,-0.02401811248591179,-0.021006126036550832,-0.03180926555772268,-0.0030119864493609594
