material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
vasp-As1Na1,AsNa,As,Na,1.0,1.0,3.467653426601207,-3.15228026,,VASP,B2,3.467653426601207
vasp-As1Nb1,AsNb,As,Nb,1.0,1.0,3.2256505308913512,-7.803152175,,VASP,B2,3.2256505308913512
vasp-As1Ni1,AsNi,As,Ni,1.0,1.0,3.0328381639278987,-5.086373615,,VASP,B2,3.0328381639278987
vasp-As1Pd1,AsPd,As,Pd,1.0,1.0,3.2004201569147526,-5.15318498,,VASP,B2,3.2004201569147526
vasp-As1Ru1,AsRu,As,Ru,1.0,1.0,3.0860201810257353,-6.942032465,,VASP,B2,3.0860201810257353
vasp-As1Sb1,AsSb,As,Sb,1.0,1.0,3.5603401735622846,-4.072087,,VASP,B2,3.5603401735622846
vasp-As1Sc1,AsSc,As,Sc,1.0,1.0,3.3900088285875665,-6.376744255,,VASP,B2,3.3900088285875665
vasp-As1Se1,AsSe,As,Se,1.0,1.0,3.398067340290984,-3.675684075,,VASP,B2,3.398067340290984
vasp-As1Si1,AsSi,As,Si,1.0,1.0,3.223189015390729,-4.50758172,,VASP,B2,3.223189015390729
vasp-As1Sn1,AsSn,As,Sn,1.0,1.0,3.5790913424532933,-4.07907253,,VASP,B2,3.5790913424532933
vasp-As1Sr1,AsSr,As,Sr,1.0,1.0,3.8373591689548823,-3.94962406,,VASP,B2,3.8373591689548823
vasp-As1Ta1,AsTa,As,Ta,1.0,1.0,3.20881851722185,-8.53085546,,VASP,B2,3.20881851722185
vasp-As1Tc1,AsTc,As,Tc,1.0,1.0,3.073044318302111,-7.56731133,,VASP,B2,3.073044318302111
vasp-As1Ti1,AsTi,As,Ti,1.0,1.0,3.1874289122932584,-6.802392435,,VASP,B2,3.1874289122932584
vasp-As1V1,AsV,As,V,1.0,1.0,3.0616133788553035,-7.014349165,,VASP,B2,3.0616133788553035
vasp-As1W1,AsW,As,W,1.0,1.0,3.1248342784822647,-8.56115634,,VASP,B2,3.1248342784822647
vasp-As1Y1,AsY,As,Y,1.0,1.0,3.5773423105355366,-6.632171065,,VASP,B2,3.5773423105355366
vasp-As1Zn1,AsZn,As,Zn,1.0,1.0,3.286526411088024,-2.64639596,,VASP,B2,3.286526411088024
vasp-As1Zr1,AsZr,As,Zr,1.0,1.0,3.3579063532367934,-7.45607176,,VASP,B2,3.3579063532367934
vasp-B1Ag1,BAg,B,Ag,1.0,1.0,2.892369783631572,-3.34914593,,VASP,B2,2.892369783631572
vasp-B1Al1,BAl,B,Al,1.0,1.0,2.783587507502313,-4.419980435,,VASP,B2,2.783587507502313
vasp-B1As1,BAs,B,As,1.0,1.0,2.9425484414014225,-4.156799935,,VASP,B2,2.9425484414014225
vasp-B1B1,BB,B,B,1.0,1.0,2.3109968688527727,-5.009678975,,VASP,B2,2.3109968688527727
vasp-B1Ca1,BCa,B,Ca,1.0,1.0,3.2628184085318974,-3.591439505,,VASP,B2,3.2628184085318974
vasp-B1Cd1,BCd,B,Cd,1.0,1.0,3.105141959106531,-2.248710535,,VASP,B2,3.105141959106531
vasp-B1Ce1,BCe,B,Ce,1.0,1.0,3.236102017477239,-6.09137581,,VASP,B2,3.236102017477239
vasp-B1Co1,BCo,B,Co,1.0,1.0,2.478480816897001,-7.017756185,,VASP,B2,2.478480816897001
vasp-B1Cr1,BCr,B,Cr,1.0,1.0,2.5713618027670226,-7.961519965,,VASP,B2,2.5713618027670226
vasp-B1Cu1,BCu,B,Cu,1.0,1.0,2.616034341183058,-4.38154921,,VASP,B2,2.616034341183058
vasp-B1Fe1,BFe,B,Fe,1.0,1.0,2.485281413698459,-7.601255955,,VASP,B2,2.485281413698459
vasp-B1Ga1,BGa,B,Ga,1.0,1.0,2.927036926061866,-3.590649995,,VASP,B2,2.927036926061866
