dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
La8La8,OK,0,0,0,static_OUTCAR,-76.0264777100,-76.0443944500,bcc,2.0,16,604.66985834,4.22807593,4.22807593,8.45615186,8.45615186,8.45615186,yes,CLEANED:0,BCC_SQS,La8La8
La8Mg8,OK,0,0,0,static_OUTCAR,-51.2827075000,-51.2816809500,bcc,2.0,16,492.51379945,3.94859695,3.94859695,7.89719389,7.89719389,7.89719389,yes,CLEANED:0,BCC_SQS,La8Mg8
La8Mn8,OK,0,0,0,static_OUTCAR,-105.6570351200,-105.6576416000,bcc,2.0,16,404.93573810,3.69912244,3.69912244,7.39824489,7.39824489,7.39824489,yes,CLEANED:0,BCC_SQS,La8Mn8
La8Mo8,OK,0,0,0,static_OUTCAR,-115.2564249900,-115.2567939100,bcc,2.0,16,347.71816178,3.51597514,3.51597514,7.03195029,7.03195029,7.03195029,no,CLEANED:0,BCC_SQS,La8Mo8
La8Nb8,OK,0,0,0,static_OUTCAR,-113.8401690200,-113.8382876000,bcc,2.0,16,447.68799999,3.82497401,3.82497401,7.64994803,7.64994803,7.64994803,yes,CLEANED:0,BCC_SQS,La8Nb8
La8Ni8,OK,0,0,0,static_OUTCAR,-84.8967300400,-84.8961681700,bcc,2.0,16,388.25600000,3.64761839,3.64761839,7.29523678,7.29523678,7.29523678,no,CLEANED:0,BCC_SQS,La8Ni8
La8Os8,OK,0,0,0,static_OUTCAR,-122.8464222400,-122.8468000500,bcc,2.0,16,333.43802758,3.46716929,3.46716929,6.93433858,6.93433858,6.93433858,yes,CLEANED:0,BCC_SQS,La8Os8
La8Pb8,OK,0,0,0,static_OUTCAR,-73.0879821400,-73.0875713000,bcc,2.0,16,518.42859660,4.01667156,4.01667156,8.03334311,8.03334311,8.03334311,yes,CLEANED:0,BCC_SQS,La8Pb8
La8Pd8,OK,0,0,0,static_OUTCAR,-88.8630090500,-88.8632561800,bcc,2.0,16,374.92179482,3.60537326,3.60537326,7.21074652,7.21074652,7.21074652,yes,CLEANED:0,BCC_SQS,La8Pd8
La8Pt8,OK,0,0,0,static_OUTCAR,-99.1639599700,-99.1632189100,bcc,2.0,16,366.86297855,3.57935384,3.57935384,7.15870769,7.15870769,7.15870769,yes,CLEANED:0,BCC_SQS,La8Pt8
La8Re8,OK,0,0,0,static_OUTCAR,-131.2356554000,-131.2347418400,bcc,2.0,16,334.86105332,3.47209461,3.47209461,6.94418922,6.94418922,6.94418922,no,CLEANED:0,BCC_SQS,La8Re8
La8Rh8,OK,0,0,0,static_OUTCAR,-102.7560768000,-102.7563974100,bcc,2.0,16,344.25896036,3.50427695,3.50427695,7.00855390,7.00855390,7.00855390,yes,CLEANED:0,BCC_SQS,La8Rh8
