material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-11496,LuZn,Lu,Zn,1.0,1.0,3.45578837,-23.903654125,0.0,MP,B2,3.433581785759925
mp-2636,GdMg,Gd,Mg,1.0,1.0,3.83063586,-23.861962885,0.0,MP,B2,3.781386626852555
mp-899,InRh,In,Rh,1.0,1.0,3.20967535,-23.857012905,0.0,MP,B2,3.243660798541039
mp-13496,ZrPd,Zr,Pd,1.0,1.0,3.360046,-23.48369734,0.06452598250000101,MP,B2,3.3292868783890075
mp-21215,InPd,In,Pd,1.0,1.0,3.27188478,-23.318690175,0.011751512142858,MP,B2,3.3175191662377226
mp-985,TmCu,Tm,Cu,1.0,1.0,3.38448683,-23.284754295,0.0,MP,B2,3.350561856576115
mp-1955,ErCu,Er,Cu,1.0,1.0,3.39976775,-22.67065421,0.0,MP,B2,3.368087669750399
mp-2316,TmZn,Tm,Zn,1.0,1.0,3.49373398,-22.42055993,0.0,MP,B2,3.4603026330313793
mp-1971,HoCu,Ho,Cu,1.0,1.0,3.41849426,-22.14065867,0.0,MP,B2,3.3799149241431263
mp-22704,YIn,Y,In,1.0,1.0,3.7594189,-22.049681705,0.0,MP,B2,3.7675078578263155
mp-1009018,InAg,In,Ag,1.0,1.0,3.46478866,-21.912624355,0.10658124151786101,MP,B2,3.4436968651676723
mp-1660,ErZn,Er,Zn,1.0,1.0,3.50789832,-21.811399955,0.0,MP,B2,3.477828446205664
mp-2334,DyCu,Dy,Cu,1.0,1.0,3.43607761,-21.68017208,0.0,MP,B2,3.4053444938694177
mp-973891,LaV,La,V,1.0,1.0,3.739359,-21.367576955000004,0.549601012499998,MP,B2,3.7397744181751893
mp-1837,TbCu,Tb,Cu,1.0,1.0,3.45550647,-21.29018046,0.0,MP,B2,3.42011509
mp-2474,YAg,Y,Ag,1.0,1.0,3.62505055,-21.162151485,0.0,MP,B2,3.621031704877694
