material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-306057,MoRh,B2,Mo,Rh,1,1,3.119438,0.3149795,0.512459570000001,OQMD,2.986901216092308
oqmd-307808,MnAg,B2,Ag,Mn,1,1,3.208205,0.31517973435345,0.31517973435345,OQMD,3.1539712963665565
oqmd-306571,CeZr,B2,Ce,Zr,1,1,3.836486,0.315441331250001,0.3155272837500011,OQMD,3.8878406222627766
oqmd-304913,AlW,B2,Al,W,1,1,3.132748,0.315483909999999,0.44174760199677265,OQMD,3.1908733901586026
oqmd-307889,ThPa,B2,Pa,Th,1,1,3.844788,0.315652360000001,0.315652360000001,OQMD,3.9408273856828298
oqmd-307514,ZnTc,B2,Tc,Zn,1,1,3.039828,0.3157702875,0.3648408779999999,OQMD,3.0351955864548184
oqmd-305118,NpCo,B2,Co,Np,1,1,3.142145,0.316770995625001,0.5240183350000008,OQMD,3.181531067970137
oqmd-306390,TlNi,B2,Ni,Tl,1,1,3.243552,0.3174311075,0.31800286250000015,OQMD,3.257859921564046
oqmd-306175,NpIn,B2,In,Np,1,1,3.778947,0.318774550625,0.3247957104467724,OQMD,3.652144637055429
oqmd-305887,ZnCr,B2,Cr,Zn,1,1,3.081521,0.319174135,0.319174135,OQMD,3.107337673482032
oqmd-306918,CeMn,B2,Ce,Mn,1,1,3.690993,0.32162589935345,0.32162589935345,OQMD,3.6426034121659137
oqmd-305599,GdTi,B2,Gd,Ti,1,1,3.618538,0.321838249356867,0.321838249356867,OQMD,3.613689714337293
oqmd-307151,PaBe,B2,Be,Pa,1,1,3.297523,0.321885685000001,0.38890902865303434,OQMD,3.2846799192280636
oqmd-306518,LaMn,B2,La,Mn,1,1,3.669593,0.322219043103449,0.322219043103449,OQMD,3.6229727379595924
oqmd-307262,BeW,B2,Be,W,1,1,2.893405,0.322337285,0.5514137893749995,OQMD,2.8830647086190058
oqmd-306146,MoIr,B2,Ir,Mo,1,1,3.144062,0.323037655000002,0.646862457500001,OQMD,2.9713512160922537
oqmd-306507,SrHo,B2,Ho,Sr,1,1,4.278196,0.324306138333335,0.324306138333335,OQMD,4.145497379612703
oqmd-306831,InFe,B2,Fe,In,1,1,3.182449,0.324555084999999,0.324555084999999,OQMD,3.1976542426575123
oqmd-307307,BaSm,B2,Ba,Sm,1,1,4.455087,0.32567419625,0.32567419625,OQMD,4.308216494828019
oqmd-305324,ReAs,B2,As,Re,1,1,3.086531,0.325717165,0.37688116755015905,OQMD,3.1357325559267117
oqmd-306275,TlAs,B2,As,Tl,1,1,3.665304,0.32576248,0.3262782645000003,OQMD,3.5337791441515516
oqmd-306139,AlTl,B2,Al,Tl,1,1,3.616504,0.3267924375,0.3267924375,OQMD,3.5129524601745614
oqmd-306579,NiW,B2,Ni,W,1,1,2.990031,0.32689128,0.40107338370424395,OQMD,2.9214729299839295
oqmd-306755,EuCo,B2,Co,Eu,1,1,3.330084,0.327647915,0.36355295235637963,OQMD,3.456339923186023
oqmd-305734,CaTm,B2,Ca,Tm,1,1,4.387234,0.328158295,0.328158295,OQMD,3.9378238972471276
oqmd-307003,AcPu,B2,Ac,Pu,1,1,4.158366,0.328159646249999,0.328159646249999,OQMD,3.990388432435358
oqmd-306005,TlGe,B2,Ge,Tl,1,1,3.679834,0.32866324,0.32866324,OQMD,3.5312004285856124
oqmd-307570,YTi,B2,Ti,Y,1,1,3.649672,0.328720025606868,0.328720025606868,OQMD,3.6047656112264117
oqmd-305729,PuHf,B2,Hf,Pu,1,1,3.512799,0.329765372499999,0.329765372499999,OQMD,3.5357572629845606
oqmd-307486,NdFe,B2,Fe,Nd,1,1,3.511861,0.331602977499999,0.331602977499999,OQMD,3.564403439901687
oqmd-306968,SrEr,B2,Er,Sr,1,1,4.271192,0.33332945,0.33332945,OQMD,4.127399759845094
oqmd-306638,SmTi,B2,Sm,Ti,1,1,3.638334,0.334260314356868,0.334260314356868,OQMD,3.636007766343058
oqmd-305415,LaTi,B2,La,Ti,1,1,3.698405,0.334443973106868,0.334443973106868,OQMD,3.7062416979506323
oqmd-304589,PrOs,B2,Os,Pr,1,1,3.545469,0.33510099125,0.4013805832499997,OQMD,3.6059029738934956
oqmd-307524,CoRu,B2,Co,Ru,1,1,2.91795,0.335952390000001,0.3443979400000008,OQMD,2.7068183964093597
oqmd-305568,NiOs,B2,Ni,Os,1,1,2.920076,0.33686769,0.33743944500000017,OQMD,2.7592212488687795
oqmd-306856,HfPa,B2,Hf,Pa,1,1,3.639443,0.337044687500001,0.337044687500001,OQMD,3.6482094603320028
