directory,type,element_A,element_B,lattice_constant_A,energy_per_atom,magnetization
Au1Rh1,B2,Au,Rh,3.185598433116454,-4.960381,0.9667139
Au1Ru1,B2,Au,Ru,3.1637302504601053,-5.6226145,2.5e-06
Au1Sc1,B2,Au,Sc,3.4062993851605157,-5.547608,5e-07
Au1Si1,B2,Au,Si,3.2574669892450396,-3.99480155,5.6e-06
Au1Sn1,B2,Au,Sn,3.5512091088750917,-3.58304985,-6.1e-06
Au1Ta1,B2,Au,Ta,3.3049684367720973,-7.3232625,2e-07
Au1Tb1,B2,Au,Tb,3.6118855660766767,-4.7543029,-2.65e-05
Au1Ti1,B2,Au,Ti,3.2721971303870134,-5.8395885,0.9616162
Au1V1,B2,Au,V,3.209314045705441,-5.975475,2.4331796
Au1W1,B2,Au,W,3.2314140005235448,-7.29154,1e-07
Au1Y1,B2,Au,Y,3.601639592747965,-5.7052285,-2e-07
Au1Zn1,B2,Au,Zn,3.1875193120846963,-2.37620585,2.1e-06
Au1Zr1,B2,Au,Zr,3.4292986976996906,-6.348686,-0.0011485
B1Ag1,B2,B,Ag,2.892369783631572,-3.34914595,1e-06
B1Al1,B2,B,Al,2.783587507502313,-4.41998045,-3.3e-06
B1As1,B2,B,As,2.9425484414014225,-4.15679995,3.21e-05
B1B1,B2,B,B,2.3109968688527727,-5.009679,-0.0
B1Ca1,B2,B,Ca,3.2628184085318974,-3.5914395,3.7e-06
B1Cd1,B2,B,Cd,3.105141959106531,-2.24871055,0.0016329
B1Ce1,B2,B,Ce,3.236102017477239,-6.091376,0.5984704
B1Co1,B2,B,Co,2.478480816897001,-7.017756,-3e-07
B1Cr1,B2,B,Cr,2.5713618027670226,-7.96152,0.0
B1Cu1,B2,B,Cu,2.616034341183058,-4.3815492,0.0
B1Fe1,B2,B,Fe,2.485281413698459,-7.601256,0.0019034
B1Ga1,B2,B,Ga,2.927036926061866,-3.59065,6.2e-06
B1Gd1,B2,B,Gd,3.2452419495805764,-10.1380225,7.0660061
B1Ge1,B2,B,Ge,2.9228258849935402,-4.13865025,2.6e-05
B1Hf1,B2,B,Hf,2.9871330843243755,-8.1801885,-0.0003969
B1In1,B2,B,In,3.2078934579400706,-3.21517735,-9.63e-05
B1La1,B2,B,La,3.404419786136072,-5.360114,-3.22e-05
B1Mg1,B2,B,Mg,2.9074897276929956,-3.28235855,1.78e-05
B1Mn1,B2,B,Mn,2.5219034275620738,-7.908134,0.654422
B1Mo1,B2,B,Mo,2.7802494009901144,-8.589278,5e-07
B1Na1,B2,B,Na,3.1153391462922584,-2.44266965,1.3e-06
B1Nb1,B2,B,Nb,2.8864103967031616,-8.1983745,5e-07
B1Ni1,B2,B,Ni,2.518019533492723,-5.9806635,7e-07
B1Pd1,B2,B,Pd,2.775033950940212,-5.45725,-0.0
B1Ru1,B2,B,Ru,2.6919956582510896,-7.9388965,-1e-07
B1Sb1,B2,B,Sb,3.2048103704864546,-3.90227285,2.08e-05
B1Sc1,B2,B,Sc,2.9668940253707454,-6.4682985,5e-07
B1Se1,B2,B,Se,3.009778141533924,-3.3850456,1.19e-05
B1Si1,B2,B,Si,2.7128817428326184,-4.84943885,-2e-07
B1Sn1,B2,B,Sn,3.1838090022248275,-3.8128432,7.58e-05
B1Sr1,B2,B,Sr,3.502985922797984,-3.236777,0.0
B1Ta1,B2,B,Ta,2.87385186411768,-9.0248525,4.8e-06
B1Tc1,B2,B,Tc,2.722565189511297,-8.4293445,0.0
B1Ti1,B2,B,Ti,2.789729048269537,-7.253577,-0.0056151
B1V1,B2,B,V,2.655729370674093,-7.741337,0.0031887
B1W1,B2,B,W,2.7960596847628203,-9.4618205,-1e-07
B1Y1,B2,B,Y,3.213599986841454,-6.3383705,5e-06
B1Zn1,B2,B,Zn,2.8077141448671137,-2.7007275,-1e-07
B1Zr1,B2,B,Zr,3.023261363527487,-7.504207,-1.67e-05
Be1Ag1,B2,Be,Ag,2.946563395332976,-3.08224605,4.04e-05
Be1Al1,B2,Be,Al,2.9084334443640425,-3.45840155,-3.8e-06
Be1Au1,B2,Be,Au,2.9607537926012824,-3.61476285,-6.3e-06
Be1Ca1,B2,Be,Ca,3.5221429442988623,-2.4210048,-2.1e-06
Be1Co1,B2,Be,Co,2.592138426427753,-5.703079,0.4196254
Be1Cr1,B2,Be,Cr,2.7057336260200042,-6.410933,0.7596414
Be1Cu1,B2,Be,Cu,2.6872588852528576,-3.8590726,-1e-07
Be1Dy1,B2,Be,Dy,3.4024269790629074,-4.0435345,-6.32e-05
Be1Er1,B2,Be,Er,3.372713506761589,-4.04527755,2e-06
Be1Fe1,B2,Be,Fe,2.6391516706879092,-6.1616445,1.7015646
Be1Ge1,B2,Be,Ge,3.0291205042416185,-3.5652944,9.3e-06
Be1Hf1,B2,Be,Hf,3.1206718853393216,-6.9275175,-1.52e-05
Be1Ir1,B2,Be,Ir,2.800334751327607,-6.874757,-4e-07
Be1La1,B2,Be,La,3.5983553904222028,-4.08850375,-3.02e-05
Be1Mg1,B2,Be,Mg,3.081915075030933,-2.24787905,3.01e-05
Be1Mn1,B2,Be,Mn,2.711219562679442,-6.4774975,2.4824323
Be1Mo1,B2,Be,Mo,2.8860882741430984,-7.131226,-8.1e-06
Be1Nb1,B2,Be,Nb,3.008025611465174,-6.8473325,-2.5e-06
Be1Ni1,B2,Be,Ni,2.604723818504883,-5.1010015,-7e-07
Be1Os1,B2,Be,Os,2.8055210208319488,-7.523076,-1.06e-05
Be1Pb1,B2,Be,Pb,3.4616573547331386,-2.8522826,-1.97e-05
Be1Pd1,B2,Be,Pd,2.8291511012528914,-5.0703165,-3e-07
Be1Pt1,B2,Be,Pt,2.8453958362919334,-5.672152,-5e-07
Be1Re1,B2,Be,Re,2.834588503269816,-7.9318485,1.4e-06
Be1Rh1,B2,Be,Rh,2.780615481640101,-6.1189855,1.8e-06
Be1Ru1,B2,Be,Ru,2.7847590476837722,-6.6566705,2e-06
Be1Sc1,B2,Be,Sc,3.1743188617091427,-5.041763,-1.3e-06
Be1Si1,B2,Be,Si,2.8358616175774447,-4.07390885,1.3e-06
Be1Sn1,B2,Be,Sn,3.3165116122123353,-3.13301445,3.4e-06
Be1Ta1,B2,Be,Ta,2.9935555253334356,-7.6776215,-9e-07
Be1Tb1,B2,Be,Tb,3.417872568568895,-4.0447141,-1.5e-06
