structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,Cr,Mn,OQMD,OQMD+VASP,1,2.798593,,-0.094933
B2,Cr,Mo,OQMD,OQMD+VASP,1,3.01063,,-0.010981
B2,Cr,Nb,OQMD,OQMD+VASP,1,3.093618,,-0.012626
B2,Cr,Ni,MP,MP+OQMD+VASP,1,2.893594,,0.055721
B2,Cr,Os,OQMD,OQMD,1,2.982964,,0.02146
B2,Cr,Pb,OQMD,OQMD,1,3.530835,,0.039906
B2,Cr,Pd,OQMD,OQMD+VASP,1,3.105216,,0.120402
B2,Cr,Pt,OQMD,OQMD,1,3.099102,,0.098222
B2,Cr,Re,OQMD,OQMD,1,2.974823,,-0.014749
B2,Cr,Rh,OQMD,OQMD,1,3.016217,,0.065144
B2,Cr,Ru,OQMD,OQMD+VASP,1,2.973124,,0.027438
B2,Cr,Sc,OQMD,OQMD+VASP,1,3.294586,,-0.033372
B2,Cr,Sn,OQMD,OQMD+VASP,1,3.394521,,0.001364
B2,Cr,Ta,OQMD,OQMD+VASP,1,3.090827,,-0.016477
B2,Cr,Tb,OQMD,OQMD,1,3.539873,,0.005875
B2,Cr,Ti,OQMD,OQMD+VASP,1,3.033893,,-0.058385
B2,Cr,V,OQMD,OQMD+VASP,1,2.8934,,-0.062292
B2,Cr,W,OQMD,OQMD+VASP,1,3.020516,,-0.010779
B2,Cr,Y,OQMD,OQMD+VASP,1,3.551218,,-0.005354
B2,Cr,Zn,OQMD,OQMD+VASP,1,3.081521,,0.075195
B2,Cr,Zr,OQMD,OQMD+VASP,1,3.262558,,-0.015853
B2,Cu,Dy,MP,MP+OQMD,1,3.436078,,-0.064164
B2,Cu,Er,MP,MP+OQMD,1,3.399768,,-0.074736
B2,Cu,Fe,OQMD,OQMD+VASP,1,2.871658,,0.004023
B2,Cu,Hf,OQMD,OQMD+VASP,1,3.231146,,-0.011367
B2,Cu,Ir,OQMD,OQMD,1,2.974822,,0.013899
B2,Cu,La,OQMD,OQMD+VASP,1,3.667101,,0.006856
