Alloy,No,S_Phase,Phase,a (Å),delta,Tm (K),Hmix (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa)
AlCr4.5Mn13.6Ni37.1Sn0.3Ti12V10Zr21.5,8,IM,IM,1.372936,0.10200889926024,1865.36194,-31.193644,1.64984,0.224179335354533,6.814,2.63655153562376,120.434
AlMoNbSiTaTiVZr,8,AM,AM,1.409375,0.0860556802902958,2226.05875,-32.1875,1.65875,0.240698852303039,4.5,0.866025403784439,130.75
CoCrCuFeMnNiTiV,8,SS+IM,FCC+BCC+IM,1.299125,0.0550228282157213,1810.97125,-8.125,1.7375,0.148639664961947,7.5,2.29128784747792,152.5
TiVCrCuFeMnCoNi,8,SS+IM,SS+IM,1.299125,0.0550228282157213,1810.97125,-8.125,1.7375,0.148639664961947,7.5,2.29128784747792,152.5
Al0.125CoCrCuFeMnNiTiV,9,SS,BCC+FCC,1.30116923076923,0.0559423318368293,1797.47123076923,-8.84639053254438,1.73553846153846,0.148324288889434,7.43076923076923,2.34008041130234,151.323076923077
Al0.25CoCrCuFeMnNiTiV,9,SS,BCC,1.30315151515152,0.0567728824757056,1784.3803030303,-9.52066115702479,1.73363636363636,0.14799300110024,7.36363636363636,2.38452309974618,150.181818181818
Al0.67CoCrCuFeMnNiTiV,9,SS+IM,BCC+D022+IM,1.30939331026528,0.0590271815512774,1743.15973471742,-11.4813440132821,1.72764705882353,0.146784057036964,7.1522491349481,2.5076361151548,146.588235294118
Al11.1Co88.9Cr88.9Cu88.9Fe88.9Mn88.9Ni88.9Ti88.9V88.9,9,SS,FCC+BCC,1.30116696663436,0.0559413494315646,1797.48618302644,-8.84560617111233,1.73554063408556,0.148324652912062,7.43084590890212,2.34002806578839,151.324380451336
Al20Co80Cr80Cu80Fe80Mn80Ni80Ti80V80,9,SS,BCC,1.30315151515152,0.0567728824757056,1784.3803030303,-9.52066115702479,1.73363636363636,0.14799300110024,7.36363636363636,2.38452309974618,150.181818181818
Al40Co60Cr60Cu60Fe60Mn60Ni60Ti60V60,9,SS+IM,BCC+IM,1.30934615384615,0.0590120797898171,1743.47115384615,-11.4674556213018,1.72769230769231,0.14679414399103,7.15384615384615,2.50679549796928,146.615384615385
Al4CoCrCuFeMnNiTiV,9,IM,IM,1.34341666666667,0.0637292167547131,1518.47083333333,-17.8333333333333,1.695,0.135431409453888,6.0,2.82842712474619,127.0
AlCoCrCuFeMoNiTiV,9,SS,SS,1.325,0.0678228915812628,1866.47111111111,-11.2098765432099,1.79111111111111,0.185738432835261,6.88888888888889,2.60104442460436,156.222222222222
Al8Co17Cr14Cu8Fe17Mo0.1Ni34.8TiW0.1,9,IM,IM,1.266345,0.0430228109054847,1724.2742,-5.93344,1.8285,0.110411729449366,8.382,2.20546503032807,163.46
Al2TiVCrCuFeMnCoNi,9,SS,SS,1.3257,0.0627156274135966,1635.471,-15.44,1.712,0.14239382009062,6.6,2.72763633939717,137.2
Al4(TiVCrCuFeMnCoNi)6,9,SS+IM,SS+IM,1.35607142857143,0.0627618585923794,1434.89928571429,-18.3265306122449,1.68285714285714,0.128864744786848,5.57142857142857,2.82120252259021,119.714285714286
AlTiVCrCuFeMnCoNi,9,SS,SS,1.31388888888889,0.0603415701399779,1713.47111111111,-12.7407407407407,1.72333333333333,0.14575474072717,7.0,2.58198889747161,144.0
AlB0.5CoCrCuFeMoNiSiTi,10,IM,IM,1.28284210526316,0.112569767006665,1839.65684210526,-25.1523545706371,1.83263157894737,0.180928660127139,6.57894736842105,2.75901945728024,153.473684210526
Al0.4Co6Cr7.5Cu2Mn8.1Ni32.2Sn0.3Ti12V10Zr21.5,10,IM,IM,1.36713,0.10415154172172,1890.17952,-29.86994,1.66194,0.225097393143501,6.861,2.64946768238452,122.958
