year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2008,Modeling of Microstructure Evolution in Nb-Si Eutectic Alloy Using Cellular Automaton Method,Kenichi Ohsasa; Seiji Miura,MRS Proceedings,1128,,,10.1557/proc-1128-u07-02,article,0,,W2157867953,所属確認済み（北海道大学）
2007,21世紀の社会基盤整備に向けた材料開発,Seiji Miura; Kyosuke Yoshimi,Institutional Repositories DataBase (IRDB),46,3,215-215,,article,0,https://eprints.lib.hokudai.ac.jp/repo/huscap/all/75156/materia 46(3) 215.pdf,W7145216078,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2007,A NOVEL METHOD FOR THE MEASUREMENT OF THERMAL EXPANSION OF THIN FILM USING LASER SCANNING CONFOCAL MICROSCOPY,Seiji Miura; Kazuhiko Oka; Kenji Ohkubo; Tetsuo Mohri,Hokkaido University Collection of Scholarly and Academic Papers (Hokkaido University),7,Special Issue,78-82,10.11395/jjsem.7.s78,article,0,http://hdl.handle.net/2115/75105,W2404879222,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2007,An Approach for a Broad Search of New Compound Using the First Principles Calculation; AB Type Binary and Quaternary Intermetallic-Alloy,Seiji Miura; Satoshi Takizawa; Kenji Ohkubo; Tetsuo Mohri,Journal of the Japan Institute of Metals and Materials,71,10,860-868,10.2320/jinstmet.71.860,article,1,https://www.jstage.jst.go.jp/article/jinstmet/71/10/71_10_860/_pdf,W2076338603,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2007,"High-Temperature Shape Memory Effect of Ti-(Pt,Ir)",Yoko Yamabe‐Mitarai; Toru Hara; Seiji Miura; Hideki Hosoda,Materials science forum,539-543,,3273-3278,10.4028/www.scientific.net/msf.539-543.3273,article,6,https://doi.org/10.4028/www.scientific.net/msf.539-543.3273,W2035348875,所属確認済み（北海道大学）
2007,Materials Development for Social Infrastructure Improvement in the 21st Century,Seiji Miura; Kyosuke Yoshimi,Materia Japan,46,3,215-215,10.2320/materia.46.215,article,0,https://www.jstage.jst.go.jp/article/materia1994/46/3/46_3_215/_pdf,W2327080416,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2007,"Mechanical Properties of Co-Based L12 Intermetallic Compound Co3(Al,W)",Seiji Miura; Kenji Ohkubo; Tetsuo Mohri,MATERIALS TRANSACTIONS,48,9,2403-2408,10.2320/matertrans.maw200734,article,98,https://www.jstage.jst.go.jp/article/matertrans/48/9/48_MAW200734/_pdf,W2029451828,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2007,Mechanical and Physical Properties of Ni3Al-Based Alloys with Cr Carbides Dispersion,Seiji Miura; Hélio Goldenstein; Kenji Ohkubo; Hisashi Sato; Yoshimi Watanabe; Tetsuo Mohri,Materials science forum,561-565,,439-442,10.4028/www.scientific.net/msf.561-565.439,article,1,https://doi.org/10.4028/www.scientific.net/msf.561-565.439,W2012042935,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2007,Microstructural Control of Nb-Si Alloy with Invariant Reactions,Seiji Miura; J.H. Kim; Kenji Ohkubo; Yoshisato Kimura; Nobuaki Sekido; Yoshinao Mishima; Tetsuo Mohri,Materials science forum,539-543,,1507-1512,10.4028/www.scientific.net/msf.539-543.1507,article,2,https://doi.org/10.4028/www.scientific.net/msf.539-543.1507,W2060176996,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2006,Deformation Behavior of ReCr Sigma Phase Diffusion Barrier on Ni-based Superalloy,Seiji Miura; Kenji Ohkubo; Tetsuo Mohri; Takayuki Yoshioka; Toshio Narita,MRS Proceedings,980,,,10.1557/proc-980-0980-ii08-07,article,2,,W1765485731,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
