material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-979419,Dy3Y,Dy,Y,3.0,1.0,5.040027200000226,-29.00683136,0.057982719583336007
mp-1183805,Dy3Zr,Dy,Zr,3.0,1.0,4.869218,-29.5807275425,0.09307285250000001
mp-567589,DyAl3,Dy,Al,1.0,3.0,4.22854253,-13.501042745,0.0240426275
mp-570291,DyGa3,Dy,Ga,1.0,3.0,4.24020432,-17.1282727275,0.040958220000000004
mp-1183788,DyHo3,Dy,Ho,1.0,3.0,4.9994084,-32.6084845425,0.055325344999999006
mp-20236,DyIn3,Dy,In,1.0,3.0,4.6113677200000005,-25.451282745,0.0
mp-20176,DyPb3,Dy,Pb,1.0,3.0,4.8486439,-4.214300250000001,0.0
mp-797,DyPd3,Dy,Pd,1.0,3.0,4.08903384,-26.1423224125,0.0
mp-2465,DyPt3,Dy,Pt,1.0,3.0,4.09425166,-47.7209023225,0.0
mp-570860,DySn3,Dy,Sn,1.0,3.0,4.6894921499999995,-4.583510560000001,0.032766519499998
mp-1184093,DyTh3,Dy,Th,1.0,3.0,5.04835248,-63.0546545425,0.047242876250003
mp-2415,DyTl3,Dy,Tl,1.0,3.0,4.71695516,-48.17397771,0.0
mp-1184154,Er3Hg,Er,Hg,3.0,1.0,4.769467,-37.973705433333336,0.094196477499998
mp-1184156,Er3In,Er,In,3.0,1.0,4.77974619,-31.4160641525,0.017236492916666003
mp-2134,ErAl3,Er,Al,1.0,3.0,4.20209431,-13.982790365,0.007975068749999
mp-398,ErGa3,Er,Ga,1.0,3.0,4.21184105,-17.6017220125,0.020147778749997
mp-1291,ErIn3,Er,In,1.0,3.0,4.59407976,-25.90030427,0.0
mp-388,ErPb3,Er,Pb,1.0,3.0,4.83720705,-4.165103692499997,0.0
mp-2825,ErPd3,Er,Pd,1.0,3.0,4.06866282,-26.646099805,0.0
mp-1913,ErPt3,Er,Pt,1.0,3.0,4.07338756,-48.241490325,0.0
mp-11372,ErSn3,Er,Sn,1.0,3.0,4.67302716,-4.5382018550000005,0.030884268333331
mp-2431,ErTl3,Er,Tl,1.0,3.0,4.70131701,-3.112318752500002,0.0
mp-1184275,Eu3Mg,Eu,Mg,3.0,1.0,5.29913888,-8.102781745000001,0.05312932531249501
mp-865246,EuBi3,Eu,Bi,1.0,3.0,4.999636723140972,-54.0031392375,0.040842896249998005
mp-1184378,EuIn3,Eu,In,1.0,3.0,4.71854899,-5.001845294999999,0.0
mp-20309,EuPb3,Eu,Pb,1.0,3.0,4.93743785,-5.708792795000001,0.0
mp-636279,EuPd3,Eu,Pd,1.0,3.0,4.166150490692144,-27.39558589,0.017754212500001
mp-20387,EuSn3,Eu,Sn,1.0,3.0,4.76442906,-28.6449375925,0.0
mp-1064843,EuTl3,Eu,Tl,1.0,3.0,4.865602460277516,-49.8548122025,0.0
mp-20344,Fe3Ge,Fe,Ge,3.0,1.0,3.66064424,-7.6649592625,0.0
mp-999189,Fe3Ni,Fe,Ni,3.0,1.0,3.584632,-7.7535256625,0.077636092499999
mp-1649,Fe3Pt,Fe,Pt,3.0,1.0,3.750854,-7.943218065,0.04307911750000001
mp-22461,Fe3Sn,Fe,Sn,3.0,1.0,3.818521,-7.2703595375,0.08591179999999801
mp-1184225,Fe3W,Fe,W,3.0,1.0,3.63356155,-9.526512780000001,0.082987429374998
mp-1007852,FeCo3,Fe,Co,1.0,3.0,3.5347374,-7.4386297725,0.056625132499999
mp-10596,FeIr3,Fe,Ir,1.0,3.0,3.81796123,-8.789382775,0.030032292499996
mp-1418,FeNi3,Fe,Ni,1.0,3.0,3.51033287,-6.5423671675,0.0
mp-21845,FePd3,Fe,Pd,1.0,3.0,3.86455211,-6.110667995,0.0
mp-649,FePt3,Fe,Pt,1.0,3.0,3.89099168,-6.844540965,0.0
mp-983237,Ga3Bi,Ga,Bi,3.0,1.0,4.530755,-23.138588198125,0.072513066875
mp-973875,Ga3Ge,Ga,Ge,3.0,1.0,4.232536,-11.962655169375,0.08742118812500001
mp-1184361,Ga3Pb,Ga,Pb,3.0,1.0,4.526369,-22.559719740625,0.093645749374999
mp-1183967,GaAg3,Ga,Ag,1.0,3.0,4.08129539,-18.850017875,0.042827169583333005
mp-1183995,GaCu3,Ga,Cu,1.0,3.0,3.64539486,-11.09181144,0.008146157932690001
mp-19870,GaFe3,Ga,Fe,1.0,3.0,3.638018439999999,-7.244857535,0.0
mp-815,GaNi3,Ga,Ni,1.0,3.0,3.53653239,-12.1259486825,0.0
mp-1184209,GaPd3,Ga,Pd,1.0,3.0,3.88841288,-20.52328779,0.056885341499999006
mp-11407,GaPt3,Ga,Pt,1.0,3.0,3.90987758,-5.740109393750004,0.014427044999997002
mp-1184417,Gd3Al,Gd,Al,3.0,1.0,4.80770796,-34.4505866775,0.0
mp-1184431,Gd3Dy,Gd,Dy,3.0,1.0,5.16460216,-40.46935427,0.07980226749999901
mp-1184453,Gd3Er,Gd,Er,3.0,1.0,5.14561346,-40.956194565,0.07291820166667401
mp-1184401,Gd3Ga,Gd,Ga,3.0,1.0,4.75902099,-11.5926401975,0.039677283749998
mp-1184423,Gd3I,Gd,I,3.0,1.0,5.05846692,-11.130423602499999,0.0
mp-1184479,Gd3In,Gd,In,3.0,1.0,4.89018364,-38.573882185,0.0
mp-1184469,Gd3Y,Gd,Y,3.0,1.0,5.17994368,-37.55477101,0.071383205000003
mp-20258,GdIn3,Gd,In,1.0,3.0,4.63934027,-28.297362085,0.0
mp-510400,GdIr3,Gd,Ir,1.0,3.0,4.05641374,-50.50175071,0.0
mp-1076927,GdPb3,Gd,Pb,1.0,3.0,4.86990628,-53.44027841,0.0
mp-21427,GdPd3,Gd,Pd,1.0,3.0,4.11953915,-28.9180705475,0.0
mp-20272,GdPt3,Gd,Pt,1.0,3.0,4.12397917,-9.015091812500003,0.0
mp-19919,GdSn3,Gd,Sn,1.0,3.0,4.71034706,-29.830896695,0.038406336249998
