entry_id,formula,element_A,element_B,count_A,count_B,lattice_constant,delta_e,stability,volume,natoms
29766,Cu3Pt,Cu,Pt,3,1,3.711936130242701,-0.140900407499999,9.532500000100641e-05,51.1448,4
10707,CdAu3,Cd,Au,1,3,4.205857284975995,-0.13574701,0.004866783749999992,74.3984,4
18149,TbTl3,Tb,Tl,1,3,4.721614644372845,-0.0672390749166678,0.005174874999999801,105.262,4
27979,ZrAl3,Zr,Al,1,3,4.103296971305145,-0.4605782375,0.027378616249999987,69.0874,4
17897,ReO3,Re,O,1,3,3.763891587248501,-1.90076963815907,0.003951263749995881,53.3226,4
17642,PrMg3,Pr,Mg,1,3,4.688336857994504,-0.129650448750003,7.564249999944539e-05,103.052,4
30031,ErPt3,Er,Pt,1,3,4.082215252211859,-1.054195475,0.0013947950000006148,68.028,4
17387,HfRh3,Hf,Rh,1,3,3.931873360929119,-0.75821312375,0.0009227850000002036,60.7853,4
4824,Cu3N,Cu,N,3,1,3.817179830527574,0.237262656164123,0.237262656164123,55.6196,4
26968,Na3N,Na,N,3,1,4.70708152344106,0.092471370525387,0.18979862071771958,104.293,4
18920,Ce3Al,Ce,Al,3,1,4.988533725008012,-0.156469135625001,0.032616688749998984,124.142,4
18665,CePd3,Ce,Pd,1,3,4.225569639474163,-0.726107479375,0.0,75.4494,4
18167,TiZn3,Ti,Zn,1,3,3.908510889572393,-0.209320203446566,0.0,59.7082,4
10477,HoAl3,Ho,Al,1,3,4.2426937907481745,-0.419251880833333,0.005378295500000019,76.3704,4
30308,GaNi3,Ga,Ni,1,3,3.580935743658196,-0.29749693875,5.1795000000243174e-05,45.9187,4
17159,Cu3Pd,Cu,Pd,3,1,3.707911001294083,-0.104937017499999,0.0028903739285720126,50.9786,4
10489,LiAl3,Li,Al,1,3,4.009999979270444,-0.0996664275000003,0.0,64.4812,4
11003,CaSn3,Ca,Sn,1,3,4.750666573121296,-0.463820795138401,0.0005862650000008074,107.217,4
6868,AgTe3,Ag,Te,1,3,4.863437423211763,-0.0219079768749975,0.005009632916668852,115.035,4
18162,ThTl3,Th,Tl,1,3,4.816048712177865,-0.16096145125,0.0012070574999999972,111.705,4
17908,PaRh3,Pa,Rh,1,3,4.059346396762386,-0.899696755000001,1.096999999972148e-05,66.8911,4
5086,UO3,U,O,1,3,4.15831978805133,-3.10540211754009,0.025649994687499955,71.9041,4
19192,HoGa3,Ho,Ga,1,3,4.232495476952448,-0.519039842083333,0.00324338562499904,75.821,4
17913,PrPb3,Pr,Pb,1,3,4.906904053607598,-0.380649049375,0.00583569500000003,118.147,4
19193,TmGa3,Tm,Ga,1,3,4.223518848718532,-0.50422251375,0.0,75.3396,4
18170,TmTl3,Tm,Tl,1,3,4.698339537180467,-0.15962322875,0.004358943750000233,103.713,4
17915,Pt3Pb,Pt,Pb,3,1,4.11667018162776,-0.0909596774999999,0.046924961188772166,69.7651,4
18171,UTl3,U,Tl,1,3,4.748287471294845,0.23442209,0.23442209,107.056,4
18173,YTl3,Y,Tl,1,3,4.720507941122786,-0.2310098925,0.0,105.188,4
11006,CaTl3,Ca,Tl,1,3,4.82578714103727,-0.23969722125,0.0,112.384,4
29555,CrIr3,Cr,Ir,1,3,3.8173125108146744,-0.22469347,0.0011297812500004611,55.6254,4
17437,Ti3Hg,Ti,Hg,3,1,4.121848465173941,-0.0663295740812648,0.0745326725000002,70.0287,4
17954,SnPd3,Sn,Pd,1,3,4.0199750829705625,-0.5393308417128,0.0020998225000004034,64.9636,4
18722,TiAl3,Ti,Al,1,3,3.991440028120686,-0.412315135946566,0.005616215000000313,63.59,4
10446,DyAl3,Dy,Al,1,3,4.3157436214692915,-0.283339576666667,0.14827879375000041,80.3835,4
17644,MgPt3,Mg,Pt,1,3,3.944157361165807,-0.593590512291668,0.0015925799999989554,61.3568,4
17652,SmMg3,Sm,Mg,1,3,4.643444726986718,-0.109480373750003,2.297125000000344e-05,100.12,4
