structure_id,parent_structure,composition,x_Al,supercell,sqs_id,site_definition,energy_eV,energy_per_atom_eV,volume_A3,volume_per_atom_A3,a_A,c_A,c_over_a,cell_a_A,cell_c_A,mlip_model,dft_reference,temperature_K,converged,n_atoms
fcc_NiAl_x0.2500_s0,fcc-Ni(Al),Al8Ni24,0.25,32at,sqs_s0,fcc SQS (icet),-179.36704517234747,-5.605220161635859,363.3477247067327,11.354616397085397,3.5876379892109633,3.592250326039346,1.0012856193524133,5.073686301227084,10.160418261048031,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
fcc_NiAl_x0.2500_s1,fcc-Ni(Al),Al8Ni24,0.25,32at,sqs_s1,fcc SQS (icet),-179.31338860030374,-5.603543393759492,363.49489404088797,11.359215438777749,3.5853859888875474,3.5789192926876714,0.998196373774004,5.07050149182724,10.122712404715259,MACE-MP-0 medium (float64),MP PBE (training data),0,True,32
c14_x0.00_ord,"C14-Nb(Ni,Al)2",Nb4Ni8,0.0,1x1x1(12at),ord,A=Nb@4f; B: ord,-88.90649041368363,-7.408874201140303,156.34426720546492,13.028688933788743,4.792061890204916,7.8615194416310725,1.6405296137139207,4.792061890204916,7.8615194416310725,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.25_al2a0,"C14-Nb(Ni,Al)2",Al2Nb4Ni6,0.25,1x1x1(12at),al2a0,A=Nb@4f; B: al2a0,-87.00084838059081,-7.250070698382568,162.95756326444118,13.579796938703431,4.912811740104228,8.012449949034789,1.6309295720875312,4.912811740104228,8.012449949034789,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.25_al2a1,"C14-Nb(Ni,Al)2",Al2Nb4Ni6,0.25,1x1x1(12at),al2a1,A=Nb@4f; B: al2a1,-86.83922971692277,-7.236602476410231,163.25899417500753,13.604916181250628,4.897233170010742,7.929070705850994,1.6190919301956785,4.897233170010742,7.929070705850994,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.25_al2a2,"C14-Nb(Ni,Al)2",Al2Nb4Ni6,0.25,1x1x1(12at),al2a2,A=Nb@4f; B: al2a2,-87.18526005929748,-7.26543833827479,163.0991579573849,13.591596496448743,4.9418909953235,7.711427210427893,1.5604203366130898,4.9418909953235,7.711427210427893,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.50_al2a0,"C14-Nb(Ni,Al)2",Al4Nb4Ni4,0.5,1x1x1(12at),al2a0,A=Nb@4f; B: al2a0,-84.00327938141695,-7.000273281784746,171.27318096940735,14.272765080783946,4.91464031924938,7.939127277400083,1.6154035212515079,4.91464031924938,7.939127277400083,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.50_al2a1,"C14-Nb(Ni,Al)2",Al4Nb4Ni4,0.5,1x1x1(12at),al2a1,A=Nb@4f; B: al2a1,-82.59711600300564,-6.8830930002504696,172.26382168290286,14.355318473575238,5.029930446281403,7.862116715508139,1.563066686403299,5.029930446281403,7.862116715508139,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.50_al2a2,"C14-Nb(Ni,Al)2",Al4Nb4Ni4,0.5,1x1x1(12at),al2a2,A=Nb@4f; B: al2a2,-83.74303253337885,-6.978586044448238,170.95825501956494,14.246521251630412,5.0810562376054635,7.982013266242802,1.5709358237696784,5.0810562376054635,7.982013266242802,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.75_al2a0,"C14-Nb(Ni,Al)2",Al6Nb4Ni2,0.75,1x1x1(12at),al2a0,A=Nb@4f; B: al2a0,-80.10453058200329,-6.675377548500275,180.90461091644062,15.075384243036718,5.194273125115162,7.742290111482782,1.4905435130177387,5.194273125115162,7.742290111482782,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.75_al2a1,"C14-Nb(Ni,Al)2",Al6Nb4Ni2,0.75,1x1x1(12at),al2a1,A=Nb@4f; B: al2a1,-79.72709888132219,-6.643924906776849,180.84362838721557,15.070302365601298,5.188510383813319,8.041040706336364,1.54977828153185,5.188510383813319,8.041040706336364,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.75_al2a2,"C14-Nb(Ni,Al)2",Al6Nb4Ni2,0.75,1x1x1(12at),al2a2,A=Nb@4f; B: al2a2,-80.27866307772149,-6.689888589810124,180.30157666389624,15.02513138865802,4.898182425941122,8.334267124412754,1.7015019857720866,4.898182425941122,8.334267124412754,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x1.00_ord,"C14-Nb(Ni,Al)2",Al8Nb4,1.0,1x1x1(12at),ord,A=Nb@4f; B: ord,-74.32658331315524,-6.193881942762936,191.69772991937336,15.974810826614446,5.168544041323354,8.286094763592557,1.6031777416123139,5.168544041323354,8.286094763592557,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.50_sqs12_s0,"C14-Nb(Ni,Al)2",Al4Nb4Ni4,0.5,1x1x1(12at),sqs_s0,B SQS (icet),-83.89137345547728,-6.99094778795644,171.24105047362877,14.270087539469065,4.875726440632039,8.094537566123275,1.6601705745152477,4.875726440632039,8.094537566123275,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.50_sqs12_s1,"C14-Nb(Ni,Al)2",Al4Nb4Ni4,0.5,1x1x1(12at),sqs_s1,B SQS (icet),-83.89137345547728,-6.99094778795644,171.24105047362968,14.27008753946914,4.911887165585622,8.094537566123556,1.6479485976055561,4.911887165585622,8.094537566123556,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_x0.50_sqs48_s0,"C14-Nb(Ni,Al)2",Al16Nb16Ni16,0.5,2x2x1(48at),sqs_s0,B SQS (icet),-334.57500290722146,-6.9703125605671135,685.3476458201174,14.278075954585779,4.983350007510412,8.052647584836915,1.6159104964934758,9.966700015020823,8.052647584836915,MACE-MP-0 medium (float64),MP PBE (training data),0,True,48
c14_x0.50_sqs48_s1,"C14-Nb(Ni,Al)2",Al16Nb16Ni16,0.5,2x2x1(48at),sqs_s1,B SQS (icet),-334.8337033120696,-6.975702152334783,684.8624716597726,14.267968159578595,4.946074961572484,8.070008417618842,1.6315984857320438,9.892149923144968,8.070008417618842,MACE-MP-0 medium (float64),MP PBE (training data),0,True,48
c14_NbNiAl_Cr@4f(Nb),c14_x0.50_al2a0,Al4CrNb3Ni4,0.5,1x1x1(12at),-,Cr@4f repl Nb,-82.65799194855475,-6.888165995712896,167.15090013138035,13.92924167761503,4.870326976359158,7.87374120118419,1.6166760957536883,4.870326976359158,7.87374120118419,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_NbNiAl_Cr@2a(Ni),c14_x0.50_al2a0,Al4CrNb4Ni3,0.5,1x1x1(12at),-,Cr@2a repl Ni,-86.84408333747703,-7.237006944789752,173.98701154744154,14.498917628953462,4.877850730088691,8.1503484677834,1.6708892745545756,4.877850730088691,8.1503484677834,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_NbNiAl_Cr@6h(Ni),c14_x0.50_al2a0,Al4CrNb4Ni3,0.5,1x1x1(12at),-,Cr@6h repl Ni,-86.94907413932899,-7.245756178277415,173.90457827882614,14.492048189902178,5.021703961893194,7.852500527233323,1.5637123547746754,5.021703961893194,7.852500527233323,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_NbNiAl_V@4f(Nb),c14_x0.50_al2a0,Al4Nb3Ni4V,0.5,1x1x1(12at),-,V@4f repl Nb,-82.47176836603774,-6.872647363836478,167.81249024723002,13.984374187269168,4.879260503917129,7.881468638256346,1.6152998250306596,4.879260503917129,7.881468638256346,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_NbNiAl_V@2a(Ni),c14_x0.50_al2a0,Al4Nb4Ni3V,0.5,1x1x1(12at),-,V@2a repl Ni,-86.5644030944634,-7.21370025787195,175.55246683210842,14.629372236009035,4.9008805315552415,8.146533522422928,1.6622591532215363,4.9008805315552415,8.146533522422928,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
c14_NbNiAl_V@6h(Ni),c14_x0.50_al2a0,Al4Nb4Ni3V,0.5,1x1x1(12at),-,V@6h repl Ni,-86.76852750192558,-7.230710625160465,175.4298085376639,14.61915071147199,5.039174539503995,7.861744263162646,1.5601254137024743,5.039174539503995,7.861744263162646,MACE-MP-0 medium (float64),MP PBE (training data),0,True,12
