Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,phase_BCC,phase_FCC,phase_other,source_MPEA_dataset,test_type_T,year,yield_strength_MPa,ys_log10
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2018,1520.0,3.1818435879447726
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2018,795.0,2.9003671286564705
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2018,830.0,2.9190780923760737
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2015,1202.0,3.079904467666721
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2015,1303.0,3.1149444157125847
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2015,1145.0,3.0588054866759067
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2016,958.0,2.9813655090785445
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2016,944.0,2.974971994298069
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2016,940.0,2.9731278535996988
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2018,940.0,2.9731278535996988
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,828.0,2.9180303367848803
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,827.0,2.9175055095525466
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,820.0,2.9138138523837167
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,803.0,2.904715545278681
