Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,source_MPEA_dataset,test_type_T,year,grain_size_um_log10,grain_size_missing,calc_density_gcm3,micro_FCC,micro_BCC,micro_B2,micro_L12,micro_HCP,micro_Sec,micro_Laves,micro_n_phases,yield_strength_MPa
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.24303804868629444,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,407.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.35410843914740087,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.5465426634781311,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.146128035678238,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1170.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.17609125905568124,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1030.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.2787536009528289,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,970.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.3424226808222063,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.8129133566428556,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,470.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.921304619805281,1.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1190.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,0.921304619805281,1.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,628.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,0.921304619805281,1.0,8.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,615.0
0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.6,1.496663,1.182198,57.0037,3.907494,1.77,0.141845,8.4,13.381611,1.609438,5,25.0,1.0,0.0,0.0,0.0,1.0,1.0,2019,0.921304619805281,1.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,525.0
0.0,0.0,0.0,0.2325581395348837,0.0,0.2325581395348837,0.0,0.0,0.0,0.0,0.4651162790697674,0.0,0.0,0.0697674418604651,0.0,0.0,127.0,5.705974,4.492893,55.71814,3.412226,1.807442,0.122704,8.186047,10.145466,1.220219,4,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,1.954242509439325,0.0,7.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,672.0
0.0,0.0,0.0487377279102384,0.1563814866760168,0.347124824684432,0.0,0.0,0.0,0.0,0.0,0.3506311360448808,0.097124824684432,0.0,0.0,0.0,0.0,124.80014,4.886585,3.915528,56.369376,10.039112,1.865,0.088528,9.090112,11.628885,1.398633,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.921304619805281,1.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,777.0
0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5,0.806226,0.637333,55.406129,1.603605,1.706,0.13829,7.5,9.923724,1.19355,4,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.921304619805281,1.0,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,792.0
0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5,0.806226,0.637333,55.406129,1.603605,1.706,0.13829,7.5,9.923724,1.19355,4,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,1.255272505103306,0.0,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,559.0
0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5,0.806226,0.637333,55.406129,1.603605,1.706,0.13829,7.5,9.923724,1.19355,4,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,1.505149978319906,0.0,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,512.0
0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5,0.806226,0.637333,55.406129,1.603605,1.706,0.13829,7.5,9.923724,1.19355,4,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,1.7993405494535817,0.0,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,476.0
0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.5,0.806226,0.637333,55.406129,1.603605,1.706,0.13829,7.5,9.923724,1.19355,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,0.921304619805281,1.0,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,303.0
