config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
58,4,4,Fe4V4,1,-8.5472127975,-8.5472127975,0.0,GF4V014,55411.10586570029
60,4,4,Fe4V4,1,-8.61157583125,-8.61157583125,0.0,GF4V015,5730.567374750055
71,4,4,Fe4V4,1,-8.607377835,-8.607377835,0.0,GF4V016,8970.916720200956
75,4,4,Fe4V4,1,-8.6073833575,-8.6073833575,0.0,GF4V017,8966.654012900639
77,4,4,Fe4V4,0,-6.39294971,-7.341711734831177,-0.9487620248311774,GF4V018,985913.2661185112
78,4,4,Fe4V4,1,-8.61361002625,-8.61361002625,0.0,GF4V019,4160.412938149871
83,4,4,Fe4V4,1,-8.54721296375,-8.54721296375,0.0,GF4V020,55410.977540649954
85,4,4,Fe4V4,0,-8.6114871275,-9.560249152331178,-0.9487620248311774,GF4V021,-726531.395701389
86,4,4,Fe4V4,1,-8.57052256375,-8.57052256375,0.0,GF4V022,37418.76349265052
89,4,4,Fe4V4,1,-8.56566868875,-8.56566868875,0.0,GF4V023,41165.372527650696
90,4,4,Fe4V4,1,-8.61157612375,-8.61157612375,0.0,GF4V024,5730.34159985057
92,4,4,Fe4V4,1,-8.54721179625,-8.54721179625,0.0,GF4V025,55411.87871055048
99,4,4,Fe4V4,1,-8.56566871375,-8.56566871375,0.0,GF4V026,41165.35323065047
101,4,4,Fe4V4,1,-8.56566801875,-8.56566801875,0.0,GF4V027,41165.88968725098
102,4,4,Fe4V4,0,-8.07147349875,-9.020235523581178,-0.9487620248311774,GF4V028,-309705.6759418391
105,4,4,Fe4V4,1,-8.59734356125,-8.59734356125,0.0,GF4V029,16716.17194235069
106,4,4,Fe4V4,1,-8.56566991125,-8.56566991125,0.0,GF4V030,41164.42890435077
108,4,4,Fe4V4,1,-8.565663155,-8.565663155,0.0,GF4V031,41169.64391860105
113,4,4,Fe4V4,0,-8.6122459425,-9.561007967331175,-0.9487620248311774,GF4V032,-727117.1098235884
114,4,4,Fe4V4,1,-8.60737822875,-8.60737822875,0.0,GF4V033,8970.612792451175
116,4,4,Fe4V4,1,-8.60739725125,-8.60739725125,0.0,GF4V034,8955.929705151117
120,4,4,Fe4V4,0,-6.39297831625,-7.341740341081177,-0.9487620248311774,GF4V035,985891.1855262616
135,4,4,Fe4V4,1,-8.60764933625,-8.60764933625,0.0,GF4V036,8761.350335350035
139,4,4,Fe4V4,1,-8.61361793625,-8.61361793625,0.0,GF4V037,4154.307367350642
141,4,4,Fe4V4,1,-8.6073941475,-8.6073941475,0.0,GF4V038,8958.32542769984
142,4,4,Fe4V4,1,-8.60737432125,-8.60737432125,0.0,GF4V039,8973.628913551183
147,4,4,Fe4V4,1,-8.56566681,-8.56566681,0.0,GF4V040,41166.82269720071
149,4,4,Fe4V4,0,-8.5658814,-9.514643424831178,-0.9487620248311774,GF4V041,-691329.2467586889
150,4,4,Fe4V4,1,-8.59734149875,-8.59734149875,0.0,GF4V042,16717.763944850783
153,4,4,Fe4V4,1,-8.59734303875,-8.59734303875,0.0,GF4V043,16716.575249651152
154,4,4,Fe4V4,1,-8.56566568625,-8.56566568625,0.0,GF4V044,41167.690097350496
156,4,4,Fe4V4,1,-8.5656635025,-8.5656635025,0.0,GF4V045,41169.37569030079
163,4,4,Fe4V4,1,-8.547212515,-8.547212515,0.0,GF4V046,55411.3239218005
165,4,4,Fe4V4,1,-8.61157585625,-8.61157585625,0.0,GF4V047,5730.548077749829
166,4,4,Fe4V4,1,-8.5656645775,-8.5656645775,0.0,GF4V048,41168.54591930069
169,4,4,Fe4V4,1,-8.56566448,-8.56566448,0.0,GF4V049,41168.621177600064
170,4,4,Fe4V4,1,-8.61157592,-8.61157592,0.0,GF4V050,5730.498870400556
172,4,4,Fe4V4,1,-8.54721217,-8.54721217,0.0,GF4V051,55411.5902204006
177,4,4,Fe4V4,0,-8.60763646,-9.556398484831178,-0.9487620248311774,GF4V052,-723559.1424714888
178,4,4,Fe4V4,1,-8.60738704,-8.60738704,0.0,GF4V053,8963.811564799918
180,4,4,Fe4V4,1,-8.607383905,-8.607383905,0.0,GF4V054,8966.231408599951
184,4,4,Fe4V4,1,-8.60764443375,-8.60764443375,0.0,GF4V055,8765.134477050518
195,4,4,Fe4V4,1,-8.61157602125,-8.61157602125,0.0,GF4V056,5730.420717550261
197,4,4,Fe4V4,1,-8.54721244875,-8.54721244875,0.0,GF4V057,55411.37505884993
198,4,4,Fe4V4,1,-8.56566281,-8.56566281,0.0,GF4V058,41169.91021720114
201,4,4,Fe4V4,1,-8.56566270375,-8.56566270375,0.0,GF4V059,41169.99222945039
202,4,4,Fe4V4,1,-8.547211615,-8.547211615,0.0,GF4V060,55412.01861380039
204,4,4,Fe4V4,0,-8.61149591625,-9.560257941081176,-0.9487620248311774,GF4V061,-726538.1795617387
209,4,4,Fe4V4,1,-8.60765324375,-8.60765324375,0.0,GF4V062,8758.334214250026
210,4,4,Fe4V4,0,-6.392953565,-7.3417155898311774,-0.9487620248311774,GF4V063,985910.2905211112
212,4,4,Fe4V4,1,-8.60737969625,-8.60737969625,0.0,GF4V064,8969.48005855069
216,4,4,Fe4V4,1,-8.60738852625,-8.60738852625,0.0,GF4V065,8962.664358150292
225,4,4,Fe4V4,1,-8.6076507475,-8.6076507475,0.0,GF4V066,8760.261019701085
226,4,4,Fe4V4,1,-8.60739314625,-8.60739314625,0.0,GF4V067,8959.098272550027
