config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
124,3,5,Fe3V5,True,-8.77868351125,-8.77868351125,0.0,GF5V021,-66395.64499768648
125,2,6,Fe2V6,True,-8.89432438,-8.89432438,0.0,GF6V006,-89015.68560632493
126,2,6,Fe2V6,True,-8.89432356125,-8.89432356125,0.0,GF6V007,-89015.05362957406
127,1,7,Fe1V7,True,-8.96125232375,-8.96125232375,0.0,GF7V001,-74035.19366596182
128,7,1,Fe7V1,True,-8.43275142125,-8.43275142125,0.0,GF1V008,-65940.91601693699
129,6,2,Fe6V2,True,-8.51927956625,-8.51927956625,0.0,GF2V022,-66089.42741742512
130,6,2,Fe6V2,True,-8.51927957875,-8.51927957875,0.0,GF2V023,-66089.43706592455
131,5,3,Fe5V3,True,-8.62204767625,-8.62204767625,0.0,GF3V036,-78773.24300211226
132,6,2,Fe6V2,True,-8.51927956625,-8.51927956625,0.0,GF2V024,-66089.42741742512
133,5,3,Fe5V3,True,-8.6220467425,-8.6220467425,0.0,GF3V037,-78772.52225916226
134,5,3,Fe5V3,True,-8.62676975875,-8.62676975875,0.0,GF3V038,-82418.12404221144
135,4,4,Fe4V4,True,-8.73372373625,-8.73372373625,0.0,GF4V036,-98332.92703280023
136,6,2,Fe6V2,True,-8.519279575,-8.519279575,0.0,GF2V025,-66089.434171375
137,5,3,Fe5V3,True,-8.6267697525,-8.6267697525,0.0,GF3V039,-82418.11921796172
138,5,3,Fe5V3,True,-8.62204674625,-8.62204674625,0.0,GF3V040,-78772.52515371182
139,4,4,Fe4V4,True,-8.733723735,-8.733723735,0.0,GF4V037,-98332.92606794948
140,5,3,Fe5V3,True,-8.6220459375,-8.6220459375,0.0,GF3V041,-78771.90089576159
141,4,4,Fe4V4,True,-8.73372378,-8.73372378,0.0,GF4V038,-98332.9608025496
142,4,4,Fe4V4,True,-8.73372291625,-8.73372291625,0.0,GF4V039,-98332.29409119998
143,3,5,Fe3V5,True,-8.84773170375,-8.84773170375,0.0,GF5V022,-119692.56382458677
144,6,2,Fe6V2,True,-8.56963274375,-8.56963274375,0.0,GF2V026,-104956.03806612505
145,5,3,Fe5V3,True,-8.62676974625,-8.62676974625,0.0,GF3V042,-82418.11439371202
146,5,3,Fe5V3,True,-8.626769755,-8.626769755,0.0,GF3V043,-82418.12114766189
147,4,4,Fe4V4,True,-8.706576265,-8.706576265,0.0,GF4V040,-77378.33692435011
148,5,3,Fe5V3,True,-8.62676975625,-8.62676975625,0.0,GF3V044,-82418.12211251265
149,4,4,Fe4V4,True,-8.70658049125,-8.70658049125,0.0,GF4V041,-77381.59908219922
150,4,4,Fe4V4,False,-8.71892459375,-8.700292693352274,0.0186319003977253,GF4V042,-72528.17364090313
151,3,5,Fe3V5,True,-8.8075714275,-8.8075714275,0.0,GF5V023,-88693.64979273612
152,5,3,Fe5V3,True,-8.62676974875,-8.62676974875,0.0,GF3V045,-82418.11632341218
153,4,4,Fe4V4,False,-8.71892439625,-8.700292693352274,0.0186317028977249,GF4V043,-72528.17364090313
154,4,4,Fe4V4,True,-8.70657615125,-8.70657615125,0.0,GF4V044,-77378.24912299901
155,3,5,Fe3V5,True,-8.77506202125,-8.77506202125,0.0,GF5V024,-63600.28929648613
156,4,4,Fe4V4,True,-8.7065759925,-8.7065759925,0.0,GF4V045,-77378.12658704916
157,3,5,Fe3V5,True,-8.80757139875,-8.80757139875,0.0,GF5V025,-88693.62760118634
158,3,5,Fe3V5,True,-8.80757178375,-8.80757178375,0.0,GF5V026,-88693.92477498624
159,2,6,Fe2V6,False,-8.90259789375,-8.9006931104,0.0019047833499996,GF6V008,-93931.58122747707
160,6,2,Fe6V2,True,-8.559665535,-8.559665535,0.0,GF2V027,-97262.54897617504
161,5,3,Fe5V3,True,-8.6220459375,-8.6220459375,0.0,GF3V046,-78771.90089576159
162,5,3,Fe5V3,True,-8.62204768,-8.62204768,0.0,GF3V047,-78773.24589666181
163,4,4,Fe4V4,True,-8.59193226125,-8.59193226125,0.0,GF4V046,11113.076690200962
164,5,3,Fe5V3,True,-8.622047675,-8.622047675,0.0,GF3V048,-78773.24203726149
