config_index,config_name,n_fe,n_v,converged,energy_per_atom,sro,sublattice_diff,E_vegard,E_deviation
61,config_061_Fe3V5,3.0,5.0,1.0,-8.7348663975,0.19999999999999996,-0.25,-8.70505,-0.029816397499999425
62,config_062_Fe3V5,3.0,5.0,0.0,-6.227786265,0.19999999999999996,-0.25,-8.70505,2.477263735
63,config_063_Fe2V6,2.0,6.0,1.0,-8.88699537125,1.0,-0.5,-8.7911,-0.09589537125000014
64,config_064_Fe7V1,7.0,1.0,0.0,-6.58111042,-1.0,0.25,-8.360850000000001,1.779739580000001
65,config_065_Fe6V2,6.0,2.0,1.0,-8.28910744875,0.0,0.0,-8.446900000000001,0.1577925512500009
66,config_066_Fe6V2,6.0,2.0,1.0,-8.475057205,0.0,0.0,-8.446900000000001,-0.028157204999999408
67,config_067_Fe5V3,5.0,3.0,1.0,-8.43384062125,0.33333333333333337,-0.25,-8.53295,0.09910937874999881
68,config_068_Fe6V2,6.0,2.0,1.0,-8.4750567775,0.0,0.0,-8.446900000000001,-0.028156777499999563
69,config_069_Fe5V3,5.0,3.0,1.0,-8.43383925,0.33333333333333337,-0.25,-8.53295,0.09911074999999947
70,config_070_Fe5V3,5.0,3.0,1.0,-8.4594259525,0.33333333333333337,-0.25,-8.53295,0.07352404749999941
71,config_071_Fe4V4,4.0,4.0,1.0,-8.607377835,0.5,-0.5,-8.619,0.01162216500000035
72,config_072_Fe6V2,6.0,2.0,1.0,-8.47508813875,0.0,0.0,-8.446900000000001,-0.02818813874999826
73,config_073_Fe5V3,5.0,3.0,1.0,-8.4317769575,0.33333333333333337,-0.25,-8.53295,0.10117304249999926
74,config_074_Fe5V3,5.0,3.0,0.0,-8.425329625,0.33333333333333337,-0.25,-8.53295,0.10762037499999977
75,config_075_Fe4V4,4.0,4.0,1.0,-8.6073833575,0.5,-0.5,-8.619,0.01161664249999994
76,config_076_Fe5V3,5.0,3.0,0.0,-8.5629644275,0.33333333333333337,-0.25,-8.53295,-0.030014427500001162
77,config_077_Fe4V4,4.0,4.0,0.0,-6.39294971,0.5,-0.5,-8.619,2.22605029
78,config_078_Fe4V4,4.0,4.0,1.0,-8.61361002625,0.5,-0.5,-8.619,0.005389973749998944
79,config_079_Fe3V5,3.0,5.0,1.0,-8.79875317625,1.0,-0.75,-8.70505,-0.09370317625000091
80,config_080_Fe6V2,6.0,2.0,0.0,-6.5492552725,-1.0,0.5,-8.446900000000001,1.8976447275000012
81,config_081_Fe5V3,5.0,3.0,0.0,-8.42686530625,-0.33333333333333326,0.25,-8.53295,0.10608469374999885
82,config_082_Fe5V3,5.0,3.0,1.0,-8.4244583975,-0.33333333333333326,0.25,-8.53295,0.10849160249999912
83,config_083_Fe4V4,4.0,4.0,1.0,-8.54721296375,0.0,0.0,-8.619,0.07178703624999905
84,config_084_Fe5V3,5.0,3.0,1.0,-8.425439635,-0.33333333333333326,0.25,-8.53295,0.10751036499999955
85,config_085_Fe4V4,4.0,4.0,0.0,-8.6114871275,0.0,0.0,-8.619,0.0075128724999995455
86,config_086_Fe4V4,4.0,4.0,1.0,-8.57052256375,0.0,0.0,-8.619,0.048477436249999784
87,config_087_Fe3V5,3.0,5.0,1.0,-8.73486757,0.19999999999999996,-0.25,-8.70505,-0.029817570000000515
88,config_088_Fe5V3,5.0,3.0,0.0,-8.4437652375,-0.33333333333333326,0.25,-8.53295,0.0891847625000004
89,config_089_Fe4V4,4.0,4.0,1.0,-8.56566868875,0.0,0.0,-8.619,0.05333131125000001
90,config_090_Fe4V4,4.0,4.0,1.0,-8.61157612375,0.0,0.0,-8.619,0.00742387624999985
91,config_091_Fe3V5,3.0,5.0,1.0,-8.73486823875,0.19999999999999996,-0.25,-8.70505,-0.029818238749999892
92,config_092_Fe4V4,4.0,4.0,1.0,-8.54721179625,0.0,0.0,-8.619,0.07178820374999972
93,config_093_Fe3V5,3.0,5.0,1.0,-8.73486731125,0.19999999999999996,-0.25,-8.70505,-0.029817311249999534
94,config_094_Fe3V5,3.0,5.0,1.0,-8.7348690225,0.19999999999999996,-0.25,-8.70505,-0.029819022499999903
95,config_095_Fe2V6,2.0,6.0,1.0,-8.8869947325,1.0,-0.5,-8.7911,-0.09589473249999969
96,config_096_Fe6V2,6.0,2.0,1.0,-8.3119288675,-1.0,0.5,-8.446900000000001,0.13497113250000048
97,config_097_Fe5V3,5.0,3.0,1.0,-8.4317767075,-0.33333333333333326,0.25,-8.53295,0.1011732925000004
98,config_098_Fe5V3,5.0,3.0,1.0,-8.43177520125,-0.33333333333333326,0.25,-8.53295,0.1011747987499998
99,config_099_Fe4V4,4.0,4.0,1.0,-8.56566871375,0.0,0.0,-8.619,0.05333128624999972
100,config_100_Fe5V3,5.0,3.0,1.0,-8.43177691,-0.33333333333333326,0.25,-8.53295,0.10117308999999963
101,config_101_Fe4V4,4.0,4.0,1.0,-8.56566801875,0.0,0.0,-8.619,0.05333198125000038
102,config_102_Fe4V4,4.0,4.0,0.0,-8.07147349875,0.0,0.0,-8.619,0.5475265012499992
103,config_103_Fe3V5,3.0,5.0,1.0,-8.7317030175,0.19999999999999996,-0.25,-8.70505,-0.026653017499999265
104,config_104_Fe5V3,5.0,3.0,1.0,-8.431777785,-0.33333333333333326,0.25,-8.53295,0.10117221500000007
105,config_105_Fe4V4,4.0,4.0,1.0,-8.59734356125,0.0,0.0,-8.619,0.021656438750000007
106,config_106_Fe4V4,4.0,4.0,1.0,-8.56566991125,0.0,0.0,-8.619,0.053330088750000115
107,config_107_Fe3V5,3.0,5.0,1.0,-8.73170338625,0.19999999999999996,-0.25,-8.70505,-0.026653386250000466
108,config_108_Fe4V4,4.0,4.0,1.0,-8.565663155,0.0,0.0,-8.619,0.053336845000000466
109,config_109_Fe3V5,3.0,5.0,0.0,-6.2671468575,0.19999999999999996,-0.25,-8.70505,2.4379031424999997
110,config_110_Fe3V5,3.0,5.0,1.0,-8.73169814,0.19999999999999996,-0.25,-8.70505,-0.02664814000000071
111,config_111_Fe2V6,2.0,6.0,0.0,-6.124252745,1.0,-0.5,-8.7911,2.6668472550000004
112,config_112_Fe5V3,5.0,3.0,1.0,-8.4566858625,-1.0,0.75,-8.53295,0.07626413749999905
113,config_113_Fe4V4,4.0,4.0,0.0,-8.6122459425,-0.5,0.5,-8.619,0.006754057500000243
114,config_114_Fe4V4,4.0,4.0,1.0,-8.60737822875,-0.5,0.5,-8.619,0.011621771250000634
115,config_115_Fe3V5,3.0,5.0,1.0,-8.73486814,-0.19999999999999996,0.25,-8.70505,-0.029818139999999715
116,config_116_Fe4V4,4.0,4.0,1.0,-8.60739725125,-0.5,0.5,-8.619,0.011602748750000558
117,config_117_Fe3V5,3.0,5.0,1.0,-8.73486728375,-0.19999999999999996,0.25,-8.70505,-0.02981728375000081
118,config_118_Fe3V5,3.0,5.0,1.0,-8.73170138875,-0.19999999999999996,0.25,-8.70505,-0.026651388750000393
119,config_119_Fe2V6,2.0,6.0,1.0,-8.848792985,0.0,0.0,-8.7911,-0.0576929849999992
120,config_120_Fe4V4,4.0,4.0,0.0,-6.39297831625,-0.5,0.5,-8.619,2.22602168375
121,config_121_Fe3V5,3.0,5.0,0.0,-6.2671471825,-0.19999999999999996,0.25,-8.70505,2.4379028175000004
122,config_122_Fe3V5,3.0,5.0,0.0,-6.2278366075,-0.19999999999999996,0.25,-8.70505,2.4772133925000004
123,config_123_Fe2V6,2.0,6.0,1.0,-8.84879492625,0.0,0.0,-8.7911,-0.05769492624999906
