config_index,config_name,n_fe,n_v,converged,energy_per_atom,sro,sublattice_diff,E_vegard,E_deviation
233,config_233_Fe3V5,3.0,5.0,1.0,-8.7317032775,-0.19999999999999996,0.25,-8.70505,-0.02665327749999946
234,config_234_Fe3V5,3.0,5.0,1.0,-8.7348686375,-0.19999999999999996,0.25,-8.70505,-0.029818637500000023
235,config_235_Fe2V6,2.0,6.0,1.0,-8.84879305875,0.0,0.0,-8.7911,-0.05769305874999908
236,config_236_Fe3V5,3.0,5.0,1.0,-8.73486787375,-0.19999999999999996,0.25,-8.70505,-0.02981787374999989
237,config_237_Fe2V6,2.0,6.0,1.0,-8.84879225375,0.0,0.0,-8.7911,-0.05769225374999998
238,config_238_Fe2V6,2.0,6.0,1.0,-8.84879308625,0.0,0.0,-8.7911,-0.05769308624999958
239,config_239_Fe1V7,1.0,7.0,1.0,-8.91308115875,1.0,-0.25,-8.87715,-0.035931158749999526
240,config_240_Fe4V4,4.0,4.0,0.0,-6.40409735,-1.0,1.0,-8.619,2.21490265
241,config_241_Fe3V5,3.0,5.0,1.0,-8.79875311875,-0.6000000000000001,0.75,-8.70505,-0.0937031187499997
242,config_242_Fe3V5,3.0,5.0,1.0,-8.7987533,-0.6000000000000001,0.75,-8.70505,-0.0937032999999996
243,config_243_Fe2V6,2.0,6.0,1.0,-8.8869953525,-0.33333333333333326,0.5,-8.7911,-0.09589535249999948
244,config_244_Fe3V5,3.0,5.0,1.0,-8.7987536025,-0.6000000000000001,0.75,-8.70505,-0.09370360249999976
245,config_245_Fe2V6,2.0,6.0,1.0,-8.8869947475,-0.33333333333333326,0.5,-8.7911,-0.09589474749999916
246,config_246_Fe2V6,2.0,6.0,0.0,-6.1242527675,-0.33333333333333326,0.5,-8.7911,2.6668472325000003
247,config_247_Fe1V7,1.0,7.0,1.0,-8.91308101625,-0.1428571428571428,0.25,-8.87715,-0.03593101625000017
248,config_248_Fe3V5,3.0,5.0,0.0,-6.2940337375,-0.6000000000000001,0.75,-8.70505,2.4110162624999996
249,config_249_Fe2V6,2.0,6.0,0.0,-6.12425279625,-0.33333333333333326,0.5,-8.7911,2.6668472037499997
250,config_250_Fe2V6,2.0,6.0,1.0,-8.88699472625,-0.33333333333333326,0.5,-8.7911,-0.09589472625000006
251,config_251_Fe1V7,1.0,7.0,1.0,-8.91308134125,-0.1428571428571428,0.25,-8.87715,-0.035931341250000415
252,config_252_Fe2V6,2.0,6.0,1.0,-8.8869952725,-0.33333333333333326,0.5,-8.7911,-0.09589527249999996
253,config_253_Fe1V7,1.0,7.0,1.0,-8.91308105375,-0.1428571428571428,0.25,-8.87715,-0.03593105374999972
254,config_254_Fe1V7,1.0,7.0,1.0,-8.91308122625,-0.1428571428571428,0.25,-8.87715,-0.03593122624999978
255,config_255_Fe0V8,0.0,8.0,0.0,-5.47405517375,0.0,0.0,-8.9632,3.4891448262500004
