config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,x_V,dH_f_eV,dH_f_Jmol,energy_per_atom_corrected,correction_applied,dH_f_eV_corrected,dH_f_Jmol_corrected,sublattice_order
81,config_081_Fe5V3,Fe5V3,5,3,True,-68.97638145,-8.62204768125,8,17,8.0175508,,0.375,-0.8164299825000008,-78773.24686151257,-8.62204768125,0.0,-0.8164299825000008,-78773.24686151257,0.25
82,config_082_Fe5V3,Fe5V3,5,3,True,-68.97637399,-8.62204674875,8,15,8.018799,,0.375,-0.8164225224999946,-78772.52708341197,-8.62204674875,0.0,-0.8164225224999946,-78772.52708341197,0.25
83,config_083_Fe4V4,Fe4V4,4,4,True,-68.73545324,-8.591931655,8,16,-0.0017244,,0.5,0.11518417000000625,11113.544642450603,-8.591931655,0.0,0.11518417000000625,11113.544642450603,0.0
84,config_084_Fe5V3,Fe5V3,5,3,True,-68.97638136,-8.62204767,8,17,8.0174666,,0.375,-0.8164298925000004,-78773.23817786254,-8.62204767,0.0,-0.8164298925000004,-78773.23817786254,0.25
85,config_085_Fe4V4,Fe4V4,4,4,True,-69.23046402,-8.6538080025,8,14,-0.0017445,,0.5,-0.37982660999999496,-36647.570465849516,-8.6538080025,0.0,-0.37982660999999496,-36647.570465849516,0.0
86,config_086_Fe4V4,Fe4V4,4,4,False,-69.65144263,-8.70643032875,8,27,5.6599218,,0.5,-0.8008052200000009,-77265.69165170008,-8.700292693352274,0.006137635397726271,-0.7517041368181907,-72528.17364090313,0.0
87,config_087_Fe3V5,Fe3V5,3,5,True,-70.2294613,-8.7786826625,8,17,0.0017121,,0.625,-0.6881379474999889,-66394.98986453643,-8.7786826625,0.0,-0.6881379474999889,-66394.98986453643,0.25
88,config_088_Fe5V3,Fe5V3,5,3,True,-68.9763675,-8.6220459375,8,13,8.0179533,,0.375,-0.8164160324999905,-78771.90089576159,-8.6220459375,0.0,-0.8164160324999905,-78771.90089576159,0.25
89,config_089_Fe4V4,Fe4V4,4,4,True,-69.65260369,-8.70657546125,8,25,5.6245953,,0.5,-0.801966280000002,-77377.71652580019,-8.70657546125,0.0,-0.801966280000002,-77377.71652580019,0.0
90,config_090_Fe4V4,Fe4V4,4,4,True,-69.23046857,-8.65380857125,8,14,0.0031548,,0.5,-0.37983115999999484,-36648.0094725995,-8.65380857125,0.0,-0.37983115999999484,-36648.0094725995,0.0
91,config_091_Fe3V5,Fe3V5,3,5,True,-70.229461,-8.778682625,8,36,0.0028372,,0.625,-0.6881376474999925,-66394.96091903678,-8.778682625,0.0,-0.6881376474999925,-66394.96091903678,0.25
92,config_092_Fe4V4,Fe4V4,4,4,True,-68.73545429,-8.59193178625,8,13,-0.0031229,,0.5,0.11518311999999753,11113.443333199762,-8.59193178625,0.0,0.11518311999999753,11113.443333199762,0.0
93,config_093_Fe3V5,Fe3V5,3,5,True,-70.22945234,-8.7786815425,8,29,0.0019093,,0.625,-0.6881289874999865,-66394.1253589362,-8.7786815425,0.0,-0.6881289874999865,-66394.1253589362,0.25
94,config_094_Fe3V5,Fe3V5,3,5,True,-70.22947526,-8.7786844075,8,37,-0.0027444,,0.625,-0.6881519074999929,-66396.33679513681,-8.7786844075,0.0,-0.6881519074999929,-66396.33679513681,0.25
95,config_095_Fe2V6,Fe2V6,2,6,True,-71.46036772,-8.932545965,8,17,1e-06,,0.75,-1.228358424999989,-118518.16263612395,-8.932545965,0.0,-1.228358424999989,-118518.16263612395,0.5
96,config_096_Fe6V2,Fe6V2,6,2,True,-68.55706195,-8.56963274375,8,9,9.7336174,,0.25,-1.0877964250000005,-104956.03806612505,-8.56963274375,0.0,-1.0877964250000005,-104956.03806612505,0.5
97,config_097_Fe5V3,Fe5V3,5,3,True,-69.01415808,-8.62676976,8,18,8.0383419,,0.375,-0.854206612499997,-82418.1250070622,-8.62676976,0.0,-0.854206612499997,-82418.1250070622,0.25
98,config_098_Fe5V3,Fe5V3,5,3,True,-69.01415798,-8.6267697475,8,18,8.0383242,,0.375,-0.8542065124999887,-82418.11535856141,-8.6267697475,0.0,-0.8542065124999887,-82418.11535856141,0.25
