config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,config_idx_int,n_v_int,x_v,E_vegard,energy_corrected,correction_applied,formation_energy_eV,formation_energy_Jmol
112,config_112_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.6534869,-8.4566858625,8.0,23.0,-0.004733,112,3,0.375,-8.53295,-8.4566858625,0.0,0.6101130999999995,58866.762453499956
113,config_113_Fe4V4,Fe4V4,4.0,4.0,0.0,-68.89796754,-8.6122459425,8.0,55.0,0.1403085,113,4,0.5,-8.619,-9.561007967331177,-0.9487620248311774,-7.5360637386494105,-727117.1098235884
114,config_114_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85902583,-8.60737822875,8.0,51.0,-0.0926608,114,4,0.5,-8.619,-8.60737822875,0.0,0.09297417000001218,8970.612792451175
115,config_115_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87894512,-8.73486814,8.0,34.0,-0.0008355,115,5,0.625,-8.70505,-8.73486814,0.0,-0.23854511999999062,-23016.025903199094
116,config_116_Fe4V4,Fe4V4,4.0,4.0,1.0,-68.85917801,-8.60739725125,8.0,33.0,-0.0543595,116,4,0.5,-8.619,-8.60739725125,0.0,0.09282199000001157,8955.929705151117
117,config_117_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87893827,-8.73486728375,8.0,35.0,-0.0051696,117,5,0.625,-8.70505,-8.73486728375,0.0,-0.23853826999999939,-23015.36498094994
118,config_118_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.85361111,-8.73170138875,8.0,22.0,0.0041673,118,5,0.625,-8.70505,-8.73170138875,0.0,-0.21321110999999604,-20571.673948349617
119,config_119_Fe2V6,Fe2V6,2.0,6.0,1.0,-70.79034388,-8.848792985,8.0,38.0,-0.0007256,119,6,0.75,-8.7911,-8.848792985,0.0,-0.4615438799999936,-44532.06126179938
120,config_120_Fe4V4,Fe4V4,4.0,4.0,0.0,-51.14382653,-6.39297831625,8.0,20.0,-0.0005353,120,4,0.5,-8.619,-7.341740341081177,-0.9487620248311774,10.218077271350587,985891.1855262615
121,config_121_Fe3V5,Fe3V5,3.0,5.0,0.0,-50.13717746,-6.2671471825,8.0,20.0,-1.74e-05,121,5,0.625,-8.70505,-8.25564388085326,-1.9884966983532602,3.595248953173929,346887.59524698654
122,config_122_Fe3V5,Fe3V5,3.0,5.0,0.0,-49.82269286,-6.2278366075,8.0,20.0,-5.5e-06,122,5,0.625,-8.70505,-8.21633330585326,-1.9884966983532602,3.909733553173929,377230.64187798655
123,config_123_Fe2V6,Fe2V6,2.0,6.0,1.0,-70.79035941,-8.84879492625,8.0,17.0,-0.0351867,123,6,0.75,-8.7911,-8.84879492625,0.0,-0.46155940999999245,-44533.559673849275
124,config_124_Fe3V5,Fe3V5,3.0,5.0,1.0,-69.87894516,-8.734868145,8.0,29.0,0.0005954,124,5,0.625,-8.70505,-8.734868145,0.0,-0.23854515999999393,-23016.029762599414
125,config_125_Fe2V6,Fe2V6,2.0,6.0,0.0,-48.35816213,-6.04477026625,8.0,20.0,-1.1e-06,125,6,0.75,-8.7911,-8.798495253119567,-2.7537249868695675,-0.05916202495653522,-5708.247977931301
126,config_126_Fe2V6,Fe2V6,2.0,6.0,1.0,-70.79033833,-8.84879229125,8.0,18.0,-0.0067677,126,6,0.75,-8.7911,-8.84879229125,0.0,-0.4615383299999962,-44531.52577004964
