config_index,composition,n_v,x_V,sro_alpha,eta,y_V_A,y_V_B,dH_f_Jmol_corrected,dHf_deviation
122,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.54892808628,15998.423439654725
123,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89014.49305172497,-21626.237380201623
124,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66395.64499768648,15997.327370054525
125,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89015.68560632493,-21627.429934801577
126,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89015.05362957406,-21626.79795805071
127,Fe1V7,7,0.875,-0.1428571428571428,0.25,0.75,1.0,-74035.19366596182,-33865.61582079705
128,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.25,0.0,-65940.91601693699,-30929.910392429127
129,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.42741742512,-4596.68285522396
130,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.43706592455,-4596.692503723389
131,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
132,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.42741742512,-4596.68285522396
133,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78772.52225916226,-64.2443347476219
134,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.12404221144,-3709.8461177967984
135,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.92703280025,-12412.26021031724
136,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.434171375,-4596.689609173845
137,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.11921796172,-3709.841293547084
138,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78772.52515371182,-64.24722929717973
139,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.92606794948,-12412.25924546647
140,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78771.90089576159,-63.62297134695109
141,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.9608025496,-12412.293980066592
142,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.29409119998,-12411.62726871697
143,Fe3V5,5,0.625,-0.6000000000000001,0.75,0.25,1.0,-119692.56382458676,-37299.59145684575
144,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.5,0.0,-104956.03806612504,-43463.29350392388
145,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.11439371202,-3709.8364692973846
146,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.12114766189,-3709.843223247255
147,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.33692435011,8542.329898132899
148,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.12211251265,-3709.84418809801
149,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77381.59908219922,8539.06774028379
150,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-72528.17364090313,13392.493181579877
151,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88693.64979273612,-6300.677424995112
152,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-82418.11632341218,-3709.838398997541
153,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-72528.17364090313,13392.493181579877
154,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.24912299901,8542.417699483995
155,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-63600.28929648613,18792.683071254876
156,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.12658704916,8542.540235433844
157,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88693.62760118634,-6300.65523344533
158,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-88693.92477498624,-6300.952407245233
159,Fe2V6,6,0.75,-0.33333333333333326,0.5,0.5,1.0,-93931.58122747709,-26543.325555953736
160,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.5,0.0,-97262.54897617504,-35769.80441397388
161,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78771.90089576159,-63.62297134695109
162,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78773.24589666181,-64.96797224717739
