config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,energy_per_atom_original,correction_method,formation_energy_per_atom,formation_energy_J_mol
197,config_197_Fe4V4,Fe4V4,4,4,True,-68.37769258,-8.5472115725,8,18,0.0010023,,-8.5472115725,none,0.07178842750000047,55412.051418700365
198,config_198_Fe4V4,Fe4V4,4,4,True,-68.52533448,-8.56566681,8,17,0.0040955,,-8.56566681,none,0.05333319000000092,41166.82269720071
199,config_199_Fe3V5,Fe3V5,3,5,True,-69.87895201,-8.73486900125,8,39,0.0022028,,-8.73486900125,none,-0.02981900124999992,-23016.69068484994
200,config_200_Fe5V3,Fe5V3,5,3,False,-67.42200948,-8.457399272782897,8,54,0.0573693,,-8.427751185,converged_mean,0.07555072721710321,58316.09532433763
201,config_201_Fe4V4,Fe4V4,4,4,True,-68.52534725,-8.56566840625,8,25,-0.0012127,,-8.56566840625,none,0.05333159375000118,41165.59058375091
202,config_202_Fe4V4,Fe4V4,4,4,True,-68.37771184,-8.54721398,8,28,-0.0024871,,-8.54721398,none,0.07178602000000023,55410.193117600174
203,config_203_Fe3V5,Fe3V5,3,5,True,-69.87893795,-8.73486724375,8,31,-0.000884,,-8.73486724375,none,-0.02981724374999839,-23015.334105748756
204,config_204_Fe4V4,Fe4V4,4,4,False,-68.89183907,-8.594557851038644,8,29,0.0053238,,-8.61147988375,converged_mean,0.024442148961356658,18866.405940291977
205,config_205_Fe3V5,Fe3V5,3,5,True,-69.87892403,-8.73486550375,8,30,-0.0002415,,-8.73486550375,none,-0.029815503749998307,-23013.991034548693
206,config_206_Fe3V5,Fe3V5,3,5,True,-69.87895114,-8.7348688925,8,35,-0.0008423,,-8.7348688925,none,-0.029818892499998917,-23016.606742899163
207,config_207_Fe2V6,Fe2V6,2,6,False,-48.42914108,-8.891300463668381,8,20,6.8e-06,,-6.053642635,converged_mean,-0.10020046366838109,-77342.73389635
208,config_208_Fe5V3,Fe5V3,5,3,False,-51.93411993,-8.467670250340872,8,13,0.003564,,-6.49176499125,converged_mean,0.06527974965912886,50388.13316688839
209,config_209_Fe4V4,Fe4V4,4,4,True,-68.85914227,-8.60739278375,8,52,-0.0785227,,-8.60739278375,none,0.01160721624999983,8959.37807904987
210,config_210_Fe4V4,Fe4V4,4,4,True,-68.86122363,-8.60765295375,8,44,-0.4715493,,-8.60765295375,none,0.011347046250000936,8758.558059450723
211,config_211_Fe3V5,Fe3V5,3,5,True,-69.87896915,-8.73487114375,8,30,0.0148439,,-8.73487114375,none,-0.029821143749999557,-23018.344437749656
212,config_212_Fe4V4,Fe4V4,4,4,True,-68.86121274,-8.6076515925,8,29,0.4855677,,-8.6076515925,none,0.011348407500000768,8759.608781100593
213,config_213_Fe3V5,Fe3V5,3,5,True,-69.87895195,-8.73486899375,8,19,-0.0051278,,-8.73486899375,none,-0.0298189937499993,-23016.68489574946
214,config_214_Fe3V5,Fe3V5,3,5,True,-69.85362616,-8.73170327,8,23,0.0003709,,-8.73170327,none,-0.02665326999999973,-20573.12604759979
