system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Co-Cr-Ni-Os-Ru,BCC,-0.042,-0.25,2.792281631920852,8.200000000000001,2.9094420740853986,2.9309959430283357,0.021553868942937093,0.7408248177517914
Cr-Fe-Mn-Os-V,BCC,-0.055,-0.278,2.9197080291970807,6.800000000000001,2.9440750561756164,2.9310760036925307,-0.012999052483085638,-0.4415326455695576
Co-Mn-Mo-Ni-V,BCC,-0.032,-0.071,2.8985507246376714,7.4,2.9415500795983585,2.9311575512860255,-0.01039252831233295,-0.35330108382013176
Cr-Fe-Ni-Ru-Zn,BCC,-0.015,-0.114,2.7512186667455425,8.8,2.9395763500188408,2.931283471338949,-0.008292878679891924,-0.28211135525834435
Cr-Fe-Mn-Rh-V,BCC,-0.043,-0.171,1.7749925672341842,7.0,2.9406406427801954,2.9313972487090885,-0.00924339407110697,-0.31433266399963466
Co-Cr-Fe-Ru-Zn,BCC,-0.014,-0.079,2.7512186667455425,8.6,2.9416117159798723,2.931480909807548,-0.010130806172324203,-0.34439644489074106
Co-Cr-Mn-Re-V,BCC,-0.048,-0.146,1.7879487173599815,6.800000000000001,2.944567229825568,2.931770691606122,-0.012796538219446152,-0.4345812888844858
Co-Cr-Mo-Ni-V,BCC,-0.028,0.002,2.8985507246376714,7.2,2.9384340774754363,2.9319181497973457,-0.006515927678090616,-0.22174830220076924
Co-Mn-Ni-Os-Zn,BCC,-0.034,-0.237,2.3424278964210217,9.2,2.938109757228371,2.9322734222706544,-0.005836334957716627,-0.1986425096393356
Co-Fe-Ni-Os-Ru,BCC,-0.057,-0.292,2.792281631920852,8.6,2.905783148504403,2.9322880815782066,0.026504933073803638,0.9121442213416937
Co-Fe-Ni-Pd-V,BCC,-0.033,-0.082,1.7879487173599815,8.4,2.921364221485533,2.9323592897279296,0.010995068242396489,0.3763675943428041
Co-Cr-Fe-Ir-V,BCC,-0.031,-0.215,1.7879487173599815,7.4,2.929248216150911,2.932444255120446,0.003196038969535131,0.10910782336277355
Co-Cr-Fe-Re-V,BCC,-0.045,-0.108,1.7879487173599815,7.0,2.9378780560652236,2.9325176555685983,-0.005360400496625228,-0.18245823667046793
Co-Fe-Mn-Ru-Zn,BCC,-0.038,-0.148,2.7512186667455425,8.8,2.9447210003544795,2.9325574756663393,-0.012163524688140193,-0.41306204175797884
Co-Fe-Ir-Mn-V,BCC,-0.044,-0.283,1.7879487173599815,7.6,2.9323837605916494,2.933196508507596,0.0008127479159467654,0.02771628757699784
Fe-Mn-Ni-Ru-Zn,BCC,-0.032,-0.185,2.7512186667455425,9.0,2.942689934796777,2.9336009625751975,-0.00908897222157945,-0.3088661198756959
Cr-Fe-Ir-Ni-V,BCC,-0.041,-0.238,1.7879487173599815,7.6,2.9271956144864326,2.9336252016587987,0.00642958717236608,0.21965006850060245
Fe-Mn-Ni-Re-V,BCC,-0.041,-0.19,1.7879487173599815,7.4,2.9389590156628125,2.9337145279220813,-0.005244487740731163,-0.17844712065671298
Al-Co-Fe-Mn-Ru,BCC,-0.047,-0.319,4.351456637944253,7.0,2.966016494026754,2.933969610021794,-0.03204688400496014,-1.0804688399238238
Al-Co-Cu-Ni-Os,BCC,-0.01,-0.334,3.030303030303032,8.200000000000001,2.953398362664517,2.9340085632311323,-0.019389799433384702,-0.6565250282014609
Co-Fe-Mn-Mo-V,BCC,-0.028,-0.044,2.6918398465999576,7.0,2.954361068643788,2.934682536005116,-0.01967853263867214,-0.6660842118294517
Al-Co-Cr-Ni-Os,BCC,-0.032,-0.343,3.83384925834044,7.2,2.956421899993485,2.9347694051193,-0.021652494874184747,-0.7323885293310965
Cr-Fe-Ni-Re-V,BCC,-0.043,-0.123,1.7879487173599815,7.2,2.9358375080525434,2.9348128925745884,-0.0010246154779549599,-0.0349002788861645
Al-Co-Cr-Fe-Ru,BCC,-0.021,-0.258,4.351456637944253,6.800000000000001,2.9629517669330023,2.9350398418383596,-0.027911925094642687,-0.9420310315592736
Co-Cu-Ni-Os-Rh,BCC,-0.038,-0.168,1.4925373134328404,9.4,2.9092057838160184,2.935385532685536,0.02617974886951746,0.8998933322336987
Al-Co-Mn-Ni-Os,BCC,-0.049,-0.417,3.83384925834044,7.4,2.959500159085758,2.935467553736294,-0.024032605349463942,-0.8120494697620844
Fe-Ir-Mn-Ni-V,BCC,-0.043,-0.309,1.7879487173599815,7.800000000000001,2.9303355508026865,2.935615926378657,0.005280375575970719,0.18019695985070047
Al-Cr-Fe-Ni-Ru,BCC,-0.021,-0.297,4.351456637944253,7.0,2.9609456438049206,2.936010232077945,-0.024935411726975776,-0.8421435151687852
Al-Fe-Mn-Ni-Ru,BCC,-0.043,-0.36,4.351456637944253,7.2,2.9640145187339395,2.9361793088544825,-0.02783520987945698,-0.9391050449829313
Co-Cr-Mn-Mo-V,BCC,-0.038,-0.02,2.6918398465999576,6.6000000000000005,2.9579008735475445,2.936281947683026,-0.021618925864518523,-0.7308874363524551
Cr-Mn-Ni-Re-V,BCC,-0.049,-0.175,1.7879487173599815,7.0,2.94253595191092,2.9366354732504045,-0.0059004786605156845,-0.20052358771296708
Al-Co-Fe-Ni-Re,BCC,-0.043,-0.263,3.6559548399748927,7.4,2.9640752243932105,2.9366507024465625,-0.027424521946648017,-0.9252302951340319
Cu-Fe-Ni-Os-Zn,BCC,-0.006,-0.176,2.3424278964210217,9.8,2.942782316793629,2.9366578906268437,-0.006124426166785213,-0.20811686042269725
Co-Fe-Ni-V-W,BCC,-0.021,-0.025,1.4705882352941169,7.6,2.93897445218267,2.9366607175163515,-0.0023137346663184566,-0.07872591966902365
Co-Cr-Mn-Ru-Zn,BCC,-0.026,-0.102,2.7512186667455425,8.4,2.9482839775607035,2.9370171453931277,-0.011266832167575735,-0.3821488110822173
Cr-Fe-Mn-Re-V,BCC,-0.047,-0.141,1.7749925672341842,6.6000000000000005,2.955338413663409,2.9371058086924835,-0.018232604970925603,-0.616937975246112
