system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Ir-Os-Ru-Ti-W,BCC,-0.082,-0.711,2.792281631920852,7.0,3.1100196095440245,3.1221348540702825,0.012115244526258007,0.38955524553860554
Cr-Nb-Os-Pt-W,BCC,-0.056,-0.261,3.721912053717364,7.0,3.1059614732540752,3.1221431523159553,0.01618167906188006,0.5209877585804928
Al-Pd-Re-Ru-Ti,BCC,-0.069,-0.652,4.351456637944254,6.4,3.137999185135957,3.1221559181260203,-0.015843267009936657,-0.5048843570445424
Al-Pd-Re-Ti-V,BCC,-0.016,-0.495,4.057204129667899,5.800000000000001,3.141421185812287,3.1221741082104626,-0.019247077601824536,-0.6126869484662165
Nb-Ni-Ru-Ti-W,BCC,-0.058,-0.294,3.721912053717364,6.6000000000000005,3.120830920481738,3.1222161740986847,0.0013852536169465246,0.04438733312513751
Cr-Pt-Ta-W-Zn,BCC,-0.012,-0.102,2.8985507246376714,7.800000000000001,3.123361487705605,3.1222223712829873,-0.0011391164226175476,-0.03647084806230139
Co-Pd-Re-Ta-Ti,BCC,-0.058,-0.294,2.6918398465999487,7.0,3.1232248051028666,3.1222298566483504,-0.000994948454516198,-0.03185644699320414
Mn-Mo-Pd-Re-Ta,BCC,-0.052,-0.137,2.653657721116267,7.0,3.1104744540016687,3.1222299127343405,0.011755458732671809,0.377931370487491
Mn-Nb-Pd-Ti-V,BCC,-0.033,-0.209,2.258769757263128,6.2,3.1261335620954473,3.122257664462288,-0.0038758976331592088,-0.12398375041152095
Ir-Mn-Mo-Nb-W,BCC,-0.054,-0.265,3.1943828249996984,6.6000000000000005,3.1179122565994524,3.122267612845638,0.004355356246185771,0.139688223649242
Al-Fe-Os-Ta-Ti,BCC,-0.069,-0.486,5.403286197315834,5.6000000000000005,3.1483639778552783,3.1222763543282,-0.026087623527078385,-0.828608881011583
Al-Fe-Mo-Nb-W,BCC,-0.048,-0.091,5.422691864889765,5.6000000000000005,3.145280578679939,3.122282686471345,-0.022997892208594273,-0.7311873021594274
Nb-Ni-Rh-Ti-W,BCC,-0.055,-0.306,2.8985507246376714,6.800000000000001,3.1233341521420845,3.1223043165832642,-0.0010298355588203023,-0.03297231447727127
Mo-Nb-Re-Ru-V,BCC,-0.069,-0.334,4.347826086956513,6.2,3.1164302806534905,3.1223248831978703,0.00589460254437979,0.18914597836418592
Ni-Os-Re-Sc-V,BCC,-0.061,-0.435,7.681351260454182,6.6000000000000005,3.154043685670904,3.122341836748781,-0.031701848922123244,-1.0051176230103442
Co-Os-Ta-Ti-W,BCC,-0.065,-0.316,3.721912053717364,6.4,3.1286691835167613,3.1223503054727555,-0.006318878044005771,-0.20196696017899454
Fe-Ir-Mg-Mo-Ru,BCC,-0.04,-0.212,5.050762722761048,6.6000000000000005,3.152488165950491,3.1223788593066146,-0.030109306643876455,-0.9550965795552272
Ir-Ni-Re-Rh-Sc,BCC,-0.055,-0.582,7.142857142857145,7.6,3.155490550212233,3.12241037427391,-0.03308017593832302,-1.0483370307066235
Fe-Nb-Rh-Ru-Ta,BCC,-0.048,-0.361,4.1949294207520085,7.0,3.108516298234972,3.122415975863118,0.013899677628145923,0.4471482950254504
Al-Mo-Pt-Re-Zn,BCC,-0.019,-0.335,4.684855792842043,7.6,3.13730847018418,3.1224170161487197,-0.014891454035460328,-0.4746569926732804
Fe-Mo-Re-Ta-W,BCC,-0.052,-0.054,3.1943828249996984,6.4,3.12009149413917,3.122443878238725,0.0023523840995549605,0.07539471531439756
Al-Nb-Ni-Re-Ti,BCC,-0.064,-0.432,4.87738939758147,5.800000000000001,3.146533517619184,3.122462088048278,-0.024071429570906133,-0.765014243011138
Al-Nb-Ni-Ru-Ta,BCC,-0.067,-0.448,5.882352941176472,6.2,3.1360481476017457,3.1224667192503963,-0.013581428351349345,-0.4330746121272269
Co-Nb-Os-Ti-W,BCC,-0.06,-0.298,3.721912053717364,6.4,3.128178738835212,3.1224875138770583,-0.005691224958153551,-0.1819341359078701
Al-Mn-Os-Ta-Ti,BCC,-0.07,-0.504,5.403286197315834,5.4,3.1541911122246233,3.122511487785842,-0.03167962443878114,-1.0043660422477627
Mn-Nb-Pd-Pt-Ru,BCC,-0.041,-0.311,3.694941676516508,8.0,3.0873574598042084,3.1225144694850946,0.0351570096808862,1.1387411447690206
Mo-Ni-Ta-Ti-Zn,BCC,-0.019,-0.147,3.1943828249996984,7.4,3.139947799583882,3.1225199161692343,-0.017427883414647738,-0.5550373613522285
Ir-Mn-Mo-Pd-Ta,BCC,-0.046,-0.304,2.653657721116267,7.4,3.1027793319095385,3.1225237687551832,0.019744436845644753,0.6363467953582592
Mg-Mn-Mo-Os-Ru,BCC,-0.002,-0.2,5.755395683453238,6.2,3.1559189961019722,3.122570982750037,-0.03334801335193527,-1.0566815369191989
Nb-Pt-Rh-V-Zn,BCC,-0.053,-0.418,2.919708029197081,8.200000000000001,3.1190365203838,3.1226062666122565,0.0035697462284565162,0.11445028633448819
Mn-Pd-Ta-Ti-V,BCC,-0.044,-0.217,2.258769757263128,6.2,3.1266246485524274,3.1226217229265827,-0.0040029256258447,-0.1280270603539822
Co-Fe-Hf-Nb-V,BCC,-0.041,-0.047,5.26993998137175,6.2,3.1341082535840523,3.1226610533693404,-0.011447200214711906,-0.3652458462984265
Al-Fe-Nb-Os-Ti,BCC,-0.067,-0.483,5.403286197315832,5.6000000000000005,3.1478796514146152,3.1226708541714556,-0.02520879724315961,-0.8008183296280438
Fe-Mo-Nb-Re-W,BCC,-0.047,-0.026,3.1943828249996984,6.4,3.1195983484711474,3.122672915017349,0.0030745665462017513,0.09855648717433559
Al-Fe-Hf-Mn-W,BCC,-0.024,-0.109,6.975078931534289,5.6000000000000005,3.1581797988281894,3.1227098060947163,-0.03546999273347318,-1.1231150533808734
Co-Os-Ru-Zn-Zr,BCC,-0.055,-0.433,6.769064595252333,8.200000000000001,3.1360617048458446,3.1227463707844083,-0.013315334061436257,-0.4245877573410432
Mo-Pd-Pt-V-W,BCC,-0.032,-0.15,2.8985507246376763,7.4,3.1081712970003923,3.1227759831194124,0.014604686119020105,0.469880348393754
Ir-Pd-Rh-Ru-Ta,BCC,-0.059,-0.493,3.721912053717364,8.200000000000001,3.0962841359765774,3.1227844597517,0.02650032377512268,0.8558750622143532
Ni-Pd-Re-Ta-Ti,BCC,-0.061,-0.333,2.6918398465999487,7.2,3.121419472443329,3.1227919450468673,0.001372472603538455,0.0439695021977977
Ir-Mg-Os-Rh-V,BCC,-0.037,-0.539,4.950605827098733,6.6000000000000005,3.1608511300225612,3.1227939905171453,-0.03805713950541589,-1.2040155622623154
Co-Ir-Mo-Ta-Ti,BCC,-0.042,-0.408,3.1943828249996984,6.6000000000000005,3.127456415288402,3.1228113930010366,-0.004645022287365297,-0.14852396550303168
Al-Re-Ti-V-Zn,BCC,-0.011,-0.296,3.6559548399748927,6.2,3.1480411101203796,3.122837143245104,-0.025203966875275707,-0.8006238163234126
Mo-Os-Pd-Rh-Ti,BCC,-0.063,-0.486,3.6949416765165033,7.4,3.1165812871206438,3.1228396956755318,0.0062584085548880175,0.2008100536556213
Hf-Ir-Ni-Re-Rh,BCC,-0.062,-0.607,5.755395683453238,7.800000000000001,3.119255794448963,3.1228591040213494,0.003603309572386415,0.11551824569177288
Mn-Mo-Nb-Pt-Rh,BCC,-0.052,-0.294,3.1943828249996984,7.4,3.10197584756614,3.1228701840777284,0.020894336511588563,0.6735815344269233
Mo-Os-Re-Ti-Zn,BCC,-0.053,-0.376,3.721912053717364,7.4,3.136346379899071,3.1228746742983837,-0.013471705600687223,-0.42953500566862607
Cr-Ir-Pt-Ta-W,BCC,-0.048,-0.323,2.8985507246376714,7.2,3.1089164037511736,3.1228817732658256,0.013965369514651993,0.4492037643019793
Mo-Pt-Rh-Ti-V,BCC,-0.061,-0.497,2.8985507246376714,6.800000000000001,3.1196805502431904,3.122912998957747,0.003232448714556746,0.10361473434530868
Mo-Nb-Ni-Ti-Zn,BCC,-0.032,-0.15,3.1943828249996984,7.4,3.1394608727249342,3.122943299757807,-0.016517572967127414,-0.5261276899683346
Al-Au-Nb-Ni-V,BCC,-0.04,-0.205,4.684855792842043,6.800000000000001,3.1252328359848716,3.122988172277259,-0.0022446637076125597,-0.07182388722423579
Co-Mo-Nb-Ta-V,BCC,-0.047,-0.031,3.474453535862658,6.0,3.1274291512624632,3.1229970542998426,-0.004432096962620591,-0.14171694219936098
Ir-Mn-Ta-Ti-Zn,BCC,-0.047,-0.415,2.6918398465999487,7.4,3.1377960652450967,3.1230127613341145,-0.014783303910982148,-0.4711365430891191
Fe-Pt-Ta-Ti-V,BCC,-0.042,-0.337,2.6918398465999487,6.4,3.1258743153604347,3.1230207349082373,-0.002853580452197413,-0.0912890335409527
Ir-Nb-Ni-Rh-Ta,BCC,-0.058,-0.487,3.5244456730693208,7.6,3.1050490042165544,3.1230350837593677,0.017986079542813282,0.5792526790523685
Cr-Nb-Os-Ru-Ta,BCC,-0.048,-0.391,4.914731871829902,6.4,3.114781985915033,3.1230368902408805,0.008254904325847523,0.2650235028703773
Mo-Os-Ta-V-Zn,BCC,-0.038,-0.249,4.347826086956512,7.2,3.1292411747092235,3.1230590486593535,-0.006182126049870007,-0.19755991004574663
Co-Ir-Mo-Nb-Ti,BCC,-0.033,-0.389,3.1943828249996984,6.6000000000000005,3.1269655900732656,3.123063550736376,-0.0039020393368893735,-0.12478676929725817
Al-Os-Re-Ru-Ta,BCC,-0.089,-0.672,5.099496227913737,6.2,3.132926862418051,3.123069621040835,-0.00985724137721622,-0.3146336256827974
Al-Nb-Os-Re-V,BCC,-0.077,-0.536,4.950186254261791,5.6000000000000005,3.135871892760715,3.123074208750278,-0.012797684010437127,-0.40810608494502243
Pt-Rh-Ta-V-Zn,BCC,-0.056,-0.425,2.919708029197081,8.200000000000001,3.1195298436850885,3.1231189239834816,0.0035890802983931103,0.1150519622583044
Mn-Re-Ta-Ti-Zn,BCC,-0.047,-0.2,2.6918398465999487,7.0,3.1453210116479173,3.123125506511352,-0.02219550513656543,-0.7056674041972146
Mn-Nb-Re-Ta-V,BCC,-0.057,-0.184,3.1943828249996984,5.800000000000001,3.1310511020364014,3.1231386564276504,-0.007912445608750929,-0.2527089258813042
Co-Ir-Nb-Rh-Ta,BCC,-0.017,-0.444,3.5244456730693208,7.4,3.106873406476256,3.1231396510689535,0.016266244592697543,0.5235567229353687
Ir-Re-Rh-Ta-Zn,BCC,-0.062,-0.512,2.9197080291970767,8.4,3.118817215483552,3.123157946693873,0.0043407312103211915,0.13917876266590345
Ir-Mo-Pd-Ti-V,BCC,-0.062,-0.457,2.6918398465999487,6.800000000000001,3.119981919684837,3.1231643301025294,0.003182410417692516,0.10200092499298795
Ir-Mo-Nb-Rh-V,BCC,-0.075,-0.486,3.5244456730693097,6.800000000000001,3.1112873293987238,3.1231695034681426,0.011882174069418827,0.38190539193032785
Co-Nb-Pd-Re-Ti,BCC,-0.054,-0.278,2.6918398465999487,7.0,3.1227326486489098,3.123173681027681,0.00044103237877113344,0.014123283303229681
Al-Ir-Os-Rh-Ta,BCC,-0.095,-0.848,4.950186254261789,6.800000000000001,3.127838061749493,3.123203572391748,-0.004634489357745242,-0.14816909527448596
Ir-Mn-Nb-Pt-Re,BCC,-0.059,-0.441,2.8985507246376714,7.6,3.0954494455099364,3.1232368356078797,0.027787390097943288,0.8976851532254847
Co-Hf-Os-Re-Zn,BCC,-0.059,-0.369,6.317244845711118,8.0,3.1384188829364636,3.123250663846105,-0.015168219090358814,-0.48330766720873986
Al-Ir-Mo-Ti-V,BCC,-0.064,-0.6,4.877389397581468,5.4,3.1456040133214653,3.123281289591749,-0.02232272372971611,-0.7096482467335546
Ir-Mo-Re-Rh-Ti,BCC,-0.078,-0.623,2.8985507246376714,7.0,3.118967990915344,3.1233007026861954,0.004332711770851372,0.13891491619892588
Fe-Nb-Ru-Ta-Zn,BCC,-0.049,-0.183,4.1949294207520085,7.6,3.128437603801715,3.1233079332985016,-0.005129670503213557,-0.16396908466321716
Mn-Mo-Nb-Os-Pt,BCC,-0.054,-0.347,4.1949294207520085,7.2,3.105062833506592,3.123311525208904,0.018248691702312136,0.5877076465374979
Ni-Pt-Ta-Ti-Zn,BCC,-0.051,-0.425,2.8985507246376714,8.200000000000001,3.1333343393186244,3.1233189577867253,-0.01001538153189907,-0.3196397335011819
Nb-Pd-Re-Rh-V,BCC,-0.064,-0.332,2.8985507246376763,7.2,3.1070115314833946,3.123352833200294,0.016341301716899626,0.5259491814340876
Nb-Os-Pt-Rh-V,BCC,-0.078,-0.547,3.60219079821055,7.4,3.102086697740357,3.1233780351347296,0.02129133739437261,0.6863553301035007
Mo-Pt-Ru-Ti-V,BCC,-0.062,-0.497,3.721912053717364,6.6000000000000005,3.1171714447679464,3.1233820764196336,0.006210631651687226,0.19923933481783734
Fe-Nb-Ti-V-W,BCC,-0.045,-0.03,2.691839846599948,5.6000000000000005,3.13565493652282,3.123388002196737,-0.012266934326083057,-0.39120804343624827
Mo-Re-Ru-Ta-V,BCC,-0.073,-0.363,4.347826086956513,6.2,3.1169244292263576,3.1233908078157984,0.006466378589440769,0.20746022998850086
Co-Mo-Pt-Ta-W,BCC,-0.019,-0.14,3.5244456730693208,7.2,3.115702498837677,3.123398010928993,0.007695512091316026,0.24699123533735526
Fe-Hf-Ir-Rh-Ru,BCC,-0.043,-0.622,6.188723213699731,7.6,3.115056822854475,3.123422416922848,0.008365594068373117,0.268553498189716
Al-Mo-Pt-Rh-W,BCC,-0.04,-0.444,4.684855792842043,6.800000000000001,3.133035533288685,3.123435601331701,-0.00959993195698372,-0.3064099291241317
Fe-Ir-Pt-Ta-W,BCC,-0.057,-0.338,2.8985507246376714,7.6,3.1057126712338454,3.123442230057926,0.01772955882408045,0.5708692561387788
Nb-Rh-V-W-Zn,BCC,-0.046,-0.192,2.919708029197081,7.4,3.1293501017070344,3.1235433092684253,-0.005806792438609154,-0.18555905379336102
Mo-Os-Pd-Ru-Ti,BCC,-0.062,-0.498,4.379562043795623,7.2,3.1140671827933213,3.123547966099355,0.009480783306033747,0.304450185224632
Co-Ni-Re-Ti-Zr,BCC,-0.048,-0.286,5.532833351724874,6.800000000000001,3.1434600181522687,3.1235839367090783,-0.01987608144319042,-0.6322994830032422
Mo-Os-Pd-Re-W,BCC,-0.041,-0.135,3.721912053717364,7.4,3.1049936858245055,3.123584536294954,0.018590850470448395,0.5987403631550944
Re-Rh-Ti-W-Zn,BCC,-0.022,-0.336,1.4705882352941169,7.6,3.1369426744012086,3.123607686407833,-0.013334987993375513,-0.4250950488255558
Ir-Mn-Nb-Ta-V,BCC,-0.057,-0.366,3.1943828249996984,6.2,3.1234571584101003,3.123644175282314,0.0001870168722137855,0.005987495993349263
Al-Mn-Nb-Os-Ti,BCC,-0.067,-0.501,5.403286197315832,5.4,3.1537085740561213,3.123647307151169,-0.030061266904952255,-0.9532037028484581
Mo-Os-Rh-Ru-Ta,BCC,-0.071,-0.52,4.95060582709874,7.2,3.1058370772267105,3.123662489060907,0.01782541183419628,0.5739326111114976
Fe-Ir-Nb-Ta-V,BCC,-0.053,-0.327,3.1943828249996984,6.4,3.1175144569768287,3.123665953279059,0.006151496302230441,0.19732053811214012
Al-Au-Ni-Ta-V,BCC,-0.041,-0.196,4.684855792842043,6.800000000000001,3.1257242054888197,3.1236949759673553,-0.0020292295214643374,-0.06492029968290162
Mn-Mo-Nb-Pt-Zn,BCC,-0.043,-0.216,3.1943828249996984,8.0,3.1219804432684275,3.123707230042577,0.0017267867741495024,0.05531062111144152
Os-Pt-Re-Ti-Zn,BCC,-0.044,-0.586,2.3424278964210217,8.200000000000001,3.1297176743516326,3.1237110683344875,-0.006006606017145089,-0.1919216569075818
Ir-Nb-Pt-Ru-V,BCC,-0.076,-0.581,3.602190798210557,7.4,3.1020174173098845,3.1237124752936785,0.02169505798379401,0.699385434225198
Fe-Ir-Re-Ta-Ti,BCC,-0.057,-0.523,2.6918398465999487,6.6000000000000005,3.1251645779990205,3.1237175643862503,-0.0014470136127702204,-0.04630199711583554
Ir-Nb-Os-Pd-V,BCC,-0.077,-0.523,3.721912053717364,7.4,3.102391494877502,3.1237421758315373,0.02135068095403536,0.6882007312516306
Co-Nb-Pd-Ta-V,BCC,-0.044,-0.09,3.1943828249996984,6.800000000000001,3.115565143380941,3.123746490063935,0.008181346682993862,0.26259591138305166
Ir-Os-Ti-W-Zn,BCC,-0.044,-0.526,2.3424278964210217,7.800000000000001,3.1324105728004294,3.1237562624638713,-0.008654310336558169,-0.27628275845145883
Al-Cr-Mn-Re-Zr,BCC,-0.021,-0.17,6.975078931534287,5.4,3.1589950337359394,3.123757195473676,-0.035237838262263566,-1.1154762158834435
Cr-Mn-Nb-Ta-Ti,BCC,-0.04,0.006,1.72499277660787,5.4,3.146223743875277,3.1237633588787497,-0.02246038499652725,-0.7138839073429111
Mo-Ni-Pt-Ta-W,BCC,-0.053,-0.176,3.5244456730693208,7.4,3.113888430730333,3.12378341988323,0.009894989152896994,0.31776954675849506
Al-Mo-Nb-Ru-V,BCC,-0.063,-0.384,5.882352941176472,5.4,3.1421641132286595,3.123799882498671,-0.018364230729988495,-0.5844453080179427
Nb-Ni-Pd-Re-Ti,BCC,-0.059,-0.318,2.6918398465999487,7.2,3.120926746393715,3.12382466107842,0.0028979146847047943,0.0928543000265349
Pd-Re-Rh-Ta-V,BCC,-0.067,-0.357,2.8985507246376714,7.2,3.107508679851496,3.1238270074251897,0.01631832757369356,0.5251257278699988
Cu-Hf-Ni-Ti-V,BCC,-0.027,-0.11,5.53283335172488,6.800000000000001,3.1283013644229047,3.1238453835235926,-0.004455980899312095,-0.1424409089862132
Fe-Ir-Rh-Ru-Sc,BCC,-0.031,-0.59,7.491491772643941,7.4,3.1513876476267706,3.123861155311302,-0.027526492315468776,-0.8734721142985463
Al-Os-Re-Ta-V,BCC,-0.08,-0.549,4.950186254261791,5.6000000000000005,3.136359934565017,3.123880551954256,-0.012479382610761203,-0.39789382823154745
Al-Mn-Mo-Nb-Pd,BCC,-0.04,-0.278,5.286668509603977,6.2,3.1358176565156666,3.123890270203133,-0.011927386312533539,-0.380359689848374
Cr-Nb-Ni-Ta-Ti,BCC,-0.02,-0.043,2.653657721116272,6.0,3.129036916146325,3.1238964718404034,-0.005140444305921754,-0.16428199614380543
Mn-Mo-Nb-Pd-Re,BCC,-0.049,-0.111,2.653657721116272,7.0,3.109978253450224,3.1239188005762917,0.013940547126067848,0.44825223811781134
Ir-Mo-Ni-Ta-Ti,BCC,-0.067,-0.461,3.1943828249996984,6.800000000000001,3.1256559689625423,3.123960284385323,-0.0016956845772191365,-0.05425051874093369
Os-Pt-Rh-Ta-V,BCC,-0.081,-0.574,3.602190798210557,7.4,3.1025854255138605,3.123994613955872,0.021409188442011562,0.6900434800587546
Co-Ir-Nb-Ta-Zn,BCC,-0.035,-0.296,3.5244456730693208,8.0,3.126815584964115,3.124002975398032,-0.0028126095660829797,-0.08995124559337447
Al-Nb-Ni-Ta-V,BCC,-0.052,-0.223,5.462273557334218,5.6000000000000005,3.139474400510662,3.1240043355856177,-0.015470064925044102,-0.49275970915793316
Fe-Ir-Nb-Re-Ti,BCC,-0.05,-0.501,2.691839846599958,6.6000000000000005,3.124673032457372,3.12400707459932,-0.0006659578580521242,-0.021312881416216126
Fe-Nb-Os-Ru-Ta,BCC,-0.071,-0.416,4.914731871829902,6.800000000000001,3.111590326785576,3.1240575736602763,0.012467246874700244,0.40067121842416564
Ir-Mn-Nb-Ti-Zn,BCC,-0.046,-0.413,2.6918398465999487,7.4,3.1373084701841805,3.1240598189070483,-0.01324865127713215,-0.4222935488506289
Al-Fe-Pt-Ta-W,BCC,-0.033,-0.336,4.87738939758147,6.4,3.139176762290304,3.1240737093831723,-0.015103052907131875,-0.48111508369197015
Al-Ir-Mo-Rh-Ti,BCC,-0.075,-0.783,4.877389397581471,6.2,3.144660476287232,3.1240884038675927,-0.02057207241963921,-0.6541905739829753
Ir-Nb-Re-Rh-Zn,BCC,-0.064,-0.491,2.919708029197081,8.4,3.118323666661045,3.1240945626926053,0.005770896031560113,0.1850640487791095
Ir-Nb-Pd-Rh-Ru,BCC,-0.059,-0.459,3.721912053717354,8.200000000000001,3.0957833757097286,3.124110488897794,0.028327113188065578,0.9150224595921994
Os-Re-Rh-Ti-W,BCC,-0.069,-0.556,2.3424278964210217,6.800000000000001,3.1201873654737473,3.1241222120669137,0.003934846593166341,0.12610930473942553
Al-Nb-Os-Re-Ru,BCC,-0.086,-0.65,5.09949622791373,6.2,3.1324377501813743,3.12412903772375,-0.008308712457624434,-0.2652474883864282
Ir-Mn-Mo-Nb-Pd,BCC,-0.043,-0.277,2.653657721116266,7.4,3.1022806664845244,3.124146738031234,0.02186607154670961,0.7048385977110201
Co-Mo-Nb-Pt-W,BCC,-0.011,-0.116,3.5244456730693097,7.2,3.1152079625016316,3.124160430198824,0.008952467697192379,0.2873794560412976
Al-Ir-Nb-Os-Rh,BCC,-0.083,-0.827,4.950186254261791,6.800000000000001,3.1273473563323546,3.124162953611757,-0.00318440272059739,-0.1018244012501364
Nb-Pt-Rh-Ru-Zn,BCC,-0.047,-0.473,3.602190798210557,8.8,3.115565143380941,3.1241668150351765,0.008601671654235421,0.27608704226614506
Fe-Ir-Nb-Pt-W,BCC,-0.054,-0.311,2.8985507246376714,7.6,3.1052149475674415,3.124176521133457,0.018961573566015577,0.610636425696381
Re-Ru-Ti-W-Zn,BCC,-0.022,-0.308,2.3424278964210217,7.4,3.134461140210221,3.1241925799573216,-0.010268560252899572,-0.32760209151008596
Ir-Mg-Mn-Ru-Zn,BCC,-0.03,-0.33,4.914731871829902,7.6,3.1532661176468375,3.124208278540785,-0.02905783910605253,-0.9215155975397753
Co-Fe-Hf-Ta-V,BCC,-0.043,-0.056,5.26993998137175,6.2,3.134596844680542,3.1242124168350704,-0.010384427845471667,-0.3312843201221936
Ir-Pt-Re-Rh-Ti,BCC,-0.068,-0.686,1.4705882352941124,7.800000000000001,3.112264972602955,3.124217306435235,0.011952333832280004,0.38403972468589725
Os-Pd-Ti-V-W,BCC,-0.05,-0.377,2.751218666745544,6.6000000000000005,3.121200502293719,3.1242247608956464,0.003024258601927343,0.09689408289229946
Nb-Os-Rh-V-W,BCC,-0.075,-0.423,3.60219079821055,6.6000000000000005,3.1125127282372778,3.1242348700220446,0.011722141784766826,0.3766134569803181
Mn-Nb-Re-Ti-Zn,BCC,-0.045,-0.197,2.6918398465999487,7.0,3.1448357474059687,3.124238088405612,-0.020597659000356927,-0.6549677202488873
Ir-Os-Pd-Ta-V,BCC,-0.081,-0.55,3.721912053717355,7.4,3.102890124683556,3.1242479618466343,0.021357837163078486,0.6883207688592143
Ir-Ni-Ru-Zn-Zr,BCC,-0.059,-0.543,6.317244845711121,8.6,3.1366852114056565,3.1242618715817887,-0.012423339823867785,-0.3960658780388249
Ir-Pt-Ru-Ta-V,BCC,-0.08,-0.609,3.602190798210557,7.4,3.1025161673554282,3.1242722473573914,0.021756080001963163,0.7012398591465827
Ir-Mo-Re-Ru-Ti,BCC,-0.08,-0.632,3.721912053717364,6.800000000000001,3.116457737463273,3.124293126728311,0.007835389265038017,0.2514197183182676
Ir-Mo-Nb-Ni-Ti,BCC,-0.063,-0.444,3.1943828249996984,6.800000000000001,3.1251645779990205,3.1243014607080166,-0.0008631172910038565,-0.02761829879553073
Nb-Ni-Pt-Ti-Zn,BCC,-0.049,-0.428,2.8985507246376714,8.200000000000001,3.1328453543174235,3.124313099249649,-0.008532255067774663,-0.27234842779635543
Ir-Mo-Rh-Ta-V,BCC,-0.078,-0.514,3.5244456730693208,6.800000000000001,3.1117831125844555,3.1243347919646345,0.012551679380178982,0.40335971133137005
Mo-Nb-Os-Rh-Ru,BCC,-0.067,-0.483,4.950605827098735,7.2,3.1053393934422786,3.1243402673232246,0.019000873880945957,0.6118775268516923
Ir-Re-Ti-V-W,BCC,-0.079,-0.537,1.4705882352941169,6.2,3.1235801549905493,3.1243407454350205,0.0007605904444711875,0.024349957636143605
Mo-Os-Ru-Ta-Zn,BCC,-0.067,-0.369,4.95060582709874,7.800000000000001,3.1257924390359344,3.1243466879670274,-0.0014457510689069863,-0.04625230552265617
Ni-Os-Ta-Ti-W,BCC,-0.069,-0.361,3.721912053717364,6.6000000000000005,3.126870133941773,3.1243995352528624,-0.0024705986889106413,-0.07901187395320997
Cr-Mo-Nb-Pt-Re,BCC,-0.04,-0.177,3.1943828249996984,6.800000000000001,3.112416383510904,3.124414853563095,0.011998470052191124,0.3855033701710717
Mn-Pt-Rh-Ta-W,BCC,-0.054,-0.298,2.8985507246376714,7.4,3.106168777826211,3.1244615349117173,0.018292757085506484,0.5889170355484772
Cr-Mo-Nb-Re-W,BCC,-0.054,-0.031,3.1943828249996984,6.0,3.122773667612104,3.1244669083097096,0.0016932406976057912,0.05422233174204278
Al-Rh-Ta-V-Zn,BCC,-0.023,-0.385,4.684855792842043,6.800000000000001,3.14004246227079,3.1245317648859423,-0.01551069738484756,-0.4939645744035787
Cr-Nb-Os-Re-Ti,BCC,-0.04,-0.403,3.6949416765165033,6.0,3.1254102927954523,3.124532931993679,-0.0008773608017733636,-0.028071859998535686
Al-Ir-Mo-Ru-Ti,BCC,-0.072,-0.753,5.23782800878924,6.0,3.142191122151912,3.124558312006996,-0.01763281014491591,-0.5611628783687792
Ir-Nb-Ru-V-W,BCC,-0.078,-0.481,3.60219079821055,6.6000000000000005,3.1124439111842217,3.1245655973895183,0.012121686205296633,0.3894587838752274
Os-Pd-Pt-Ru-Ti,BCC,-0.059,-0.624,3.312693299999688,8.0,3.1073429814039253,3.1245738958151823,0.017230914411257015,0.5545224493844556
Al-Ir-Ni-Ru-Sc,BCC,-0.082,-0.784,8.819741586565383,6.6000000000000005,3.178184953702704,3.124596502842543,-0.05358845086016073,-1.6861338040672613
Nb-Ni-Os-Ti-W,BCC,-0.064,-0.344,3.721912053717364,6.6000000000000005,3.1263791246086994,3.1246257492294944,-0.0017533753792049467,-0.05608326147662596
Cr-Ir-Nb-Ta-V,BCC,-0.04,-0.292,3.1943828249996984,6.0,3.120694016112735,3.1246318019752595,0.003937785862524468,0.12618301705303156
Mo-Nb-Ni-Pt-W,BCC,-0.048,-0.154,3.5244456730693097,7.4,3.113393317881708,3.1246348360676977,0.01124151818598973,0.3610696445394262
Co-Ir-Rh-Ru-Zr,BCC,-0.017,-0.541,6.317244845711118,7.800000000000001,3.118680134257638,3.1246387906184463,0.005958656360808501,0.19106340196144814
Ir-Ni-Os-Ru-Zr,BCC,-0.08,-0.659,6.769064595252338,7.800000000000001,3.119927129571343,3.1246533125381677,0.004726182966824588,0.15148376133624422
Co-Nb-Re-Rh-Ta,BCC,-0.039,-0.317,3.5244456730693208,7.0,3.1145483363765436,3.124659496810366,0.01011116043382243,0.3246429126088223
Ir-Nb-Ni-Ta-Zn,BCC,-0.04,-0.363,3.5244456730693208,8.200000000000001,3.125014399933645,3.124704482869018,-0.00030991706462701885,-0.009917300369355082
Rh-Ru-Ta-W-Zn,BCC,-0.045,-0.318,3.602190798210557,8.0,3.12639276583951,3.1247169003318653,-0.0016758655076447582,-0.05360380582875193
Rh-Ta-V-W-Zn,BCC,-0.046,-0.199,2.919708029197081,7.4,3.129840179381872,3.1247190599320387,-0.005121119449833511,-0.16362239463757242
Al-Mo-Ru-Ta-V,BCC,-0.066,-0.392,5.882352941176473,5.4,3.142650202824641,3.1247379007035954,-0.017912302121045443,-0.5699744153818237
Fe-Pt-Re-Ta-W,BCC,-0.051,-0.195,2.8985507246376714,7.2,3.113393317881708,3.1247621210921768,0.011368803210468847,0.36515794985401845
