pair,structure,omega_sf
Ag-Pd,L12,0.03119027816530482
Ag-Pt,L12,0.023795236071063784
Ag-Re,L12,0.005958841788401749
Ag-Rh,L12,0.028256659946871807
Ag-Ru,L12,0.02227236898458737
Ag-Sc,L12,-0.023359217924866994
Ag-Sn,L12,0.0011745631487935374
Ag-Ta,L12,0.026357454160295873
Ag-Ti,L12,-0.01638591997679195
Ag-V,L12,-0.0009144282809384794
Ag-W,L12,0.019191237970979463
Ag-Zn,L12,-0.005820822555344557
Ag-Zr,L12,-0.008658132403823918
Al-Au,L12,0.007226084681293019
Al-Ca,L12,-0.14263564679590562
Al-Co,L12,-0.08501338184744177
Al-Cr,L12,-0.052411319876140436
Al-Cu,L12,-0.04174916964842232
Al-Fe,L12,-0.07181845334588585
Al-Hf,L12,-0.054116251684729555
Al-Ir,L12,-0.05939140438813609
Al-Mg,L12,-0.029607331051564975
Al-Mn,L12,-0.08627587421403757
Al-Mo,L12,-0.04340052418796552
Al-Nb,L12,-0.027230229832537083
Al-Ni,L12,-0.08723808881037039
Al-Os,L12,-0.05502735074789555
Al-Pb,L12,0.07913236094169984
Al-Pd,L12,-0.038495370331101814
Al-Pt,L12,-0.04039751715906581
Al-Re,L12,-0.053634358093326694
Al-Rh,L12,-0.0618747503737143
Al-Ru,L12,-0.058421413892562314
Al-Sc,L12,-0.0651054856076145
Al-Sn,L12,0.03362591153047795
Al-Ta,L12,-0.0314315081100211
Al-Ti,L12,-0.06712739111838767
Al-V,L12,-0.06253095923356736
Al-W,L12,-0.0449646261113232
Al-Zn,L12,-0.001061512119346297
Al-Zr,L12,-0.04238056485135301
Au-Be,L12,0.09413028469064548
Au-Ca,L12,-0.18350579855735877
Au-Co,L12,0.051795788915405545
Au-Cr,L12,0.041234794374060524
Au-Cu,L12,0.02463087324775875
Au-Fe,L12,0.04824706909157573
Au-Hf,L12,-0.018497693416444343
Au-Ir,L12,0.032630305074884236
Au-Mg,L12,-0.06592169901601254
Au-Mn,L12,0.07725174465629353
Au-Mo,L12,0.03563268500309327
Au-Nb,L12,0.03978397824631467
Au-Ni,L12,0.0414441173640906
Au-Os,L12,0.03800121477819707
Au-Pb,L12,0.02112114563662156
Au-Pd,L12,0.03952891642316565
Au-Pt,L12,0.03752454604322477
Au-Re,L12,0.016973972287470735
Au-Rh,L12,0.032709160729176005
Au-Ru,L12,0.027860618429478283
Au-Sc,L12,-0.04873527032541603
Au-Sn,L12,0.009104389007591725
Au-Ta,L12,0.02383045012951898
Au-Ti,L12,-0.038761884121037274
Au-V,L12,-0.009107681038854551
Au-W,L12,0.024892235052932424
Au-Zn,L12,0.008528133735159033
Au-Zr,L12,0.0011849500133753656
Be-Cr,L12,-0.01918123201402383
Be-Fe,L12,-0.058935623666006194
Be-Mn,L12,-0.059097157188838324
Be-Ni,L12,-0.0236877728709529
Ca-Co,L12,-0.26190344304578883
Ca-Cr,L12,-0.18425728837632604
Ca-Cu,L12,-0.2298035990866637
Ca-Fe,L12,-0.24608788094550588
Ca-Hf,L12,-0.12699197169341336
Ca-Ir,L12,-0.2641275440053281
Ca-Mg,L12,-0.04389748910079444
Ca-Mn,L12,-0.184724722403189
Ca-Mo,L12,-0.20863434635340908
Ca-Nb,L12,-0.16069473053834338
Ca-Ni,L12,-0.25653650299543584
Ca-Os,L12,-0.2655803731241082
Ca-Pb,L12,-0.15207267057682194
Ca-Pd,L12,-0.22542471509776807
Ca-Pt,L12,-0.2450431725377643
Ca-Re,L12,-0.25069674078825416
Ca-Rh,L12,-0.24675047921282603
Ca-Ru,L12,-0.24869191186653672
Ca-Sc,L12,-0.11486024525448156
Ca-Sn,L12,-0.14324939552886573
Ca-Ta,L12,-0.17615226927153974
Ca-Ti,L12,-0.13281753404741864
Ca-V,L12,-0.14313222169224182
Ca-W,L12,-0.2186627815207146
Ca-Zn,L12,-0.10544023288295863
Ca-Zr,L12,-0.15045367650163424
Co-Cr,L12,-0.047418581037109095
Co-Cu,L12,-0.002691120000644815
Co-Fe,L12,-0.01668740457659816
Co-Hf,L12,-0.034033536369460535
Co-Ir,L12,0.002535514493493054
Co-Mg,L12,-0.13412957359810307
Co-Mn,L12,-0.08722042989589578
Co-Mo,L12,-0.05873601068851097
Co-Nb,L12,-0.05917763994240708
Co-Ni,L12,-0.014340139503145553
Co-Os,L12,-0.014741483505149111
Co-Pb,L12,-0.08952898927754388
Co-Pd,L12,0.0337227278568952
Co-Pt,L12,0.03319063292179869
Co-Re,L12,-0.02643878317635385
Co-Rh,L12,0.020907520710335088
Co-Ru,L12,-0.014024593582871895
